system_group,target_motion_mode,method,q,n,success_all_found_mean,time_to_first_detection_mean,time_to_all_found_mean,detection_rate_mean,found_count_mean,known_free_observation_ratio_final_mean,path_length_mean,duplicate_viewpoint_ratio_mean,cross_region_assignment_ratio_mean
single,random_walk,anomaly,0.8,30,0.6,44.63333333333333,150.94444444444446,0.8555555555555556,2.566666666666667,0.6613738716558114,186.56666666666666,,
single,random_walk,anomaly,0.85,30,0.6666666666666666,44.43333333333333,153.55,0.8777777777777779,2.6333333333333333,0.6491579167801576,182.36666666666667,,
single,random_walk,anomaly,0.9,30,0.5333333333333333,45.4,140.4375,0.8222222222222224,2.466666666666667,0.6614872018116119,186.9,,
single,random_walk,anomaly,0.95,30,0.6,44.36666666666667,142.44444444444446,0.8555555555555556,2.566666666666667,0.6459053596816332,181.46666666666667,,
single,random_walk,ucb,,30,0.6333333333333333,45.96551724137931,165.68421052631578,0.8555555555555557,2.566666666666667,0.6898102607630211,192.93333333333334,,
single,static,anomaly,0.8,30,0.43333333333333335,44.3,140.53846153846155,0.7888888888888891,2.3666666666666667,0.6541566505833905,196.9,,
single,static,anomaly,0.85,30,0.4666666666666667,44.3,147.57142857142858,0.8000000000000002,2.4,0.6537556212566764,196.86666666666667,,
single,static,anomaly,0.9,30,0.5333333333333333,45.4,157.0625,0.8222222222222224,2.466666666666667,0.6379422020572888,195.76666666666668,,
single,static,anomaly,0.95,30,0.5333333333333333,45.3,151.0625,0.8222222222222224,2.466666666666667,0.6373995931735562,192.56666666666666,,
single,static,ucb,,30,0.5333333333333333,45.6,158.6875,0.8,2.4,0.63720675752146,196.63333333333333,,
two_coordinated,random_walk,anomaly,0.8,30,0.6333333333333333,62.0,158.1578947368421,0.8222222222222222,2.466666666666667,0.7085376728532037,,0.0,0.027790013702810663
two_coordinated,random_walk,anomaly,0.85,30,0.6666666666666666,62.46666666666667,159.5,0.8333333333333334,2.5,0.7076290443108394,,0.0,0.03170847371502066
two_coordinated,random_walk,anomaly,0.9,30,0.7666666666666667,62.3,165.04347826086956,0.9,2.7,0.6911020083250895,,0.0,0.040371014518603504
two_coordinated,random_walk,anomaly,0.95,30,0.6333333333333333,58.0,153.68421052631578,0.8111111111111111,2.433333333333333,0.7036660200621718,,0.0004166666666666667,0.0325731287910297
two_coordinated,random_walk,ucb,,30,0.6,61.13333333333333,159.88888888888889,0.8333333333333334,2.5,0.7322565174982215,,0.0,0.02265002656680855
two_coordinated,static,anomaly,0.8,30,0.5666666666666667,77.16666666666667,156.23529411764707,0.8111111111111112,2.433333333333333,0.6840253915477162,,0.0,0.0328160605381842
two_coordinated,static,anomaly,0.85,30,0.5666666666666667,67.6896551724138,163.94117647058823,0.7999999999999999,2.4,0.6824424484045241,,0.00013888888888888667,0.03303551262200222
two_coordinated,static,anomaly,0.9,30,0.5,70.10344827586206,160.33333333333334,0.7666666666666667,2.3,0.6890500797969916,,0.00013888888888888667,0.035198689188703086
two_coordinated,static,anomaly,0.95,30,0.5,64.66666666666667,147.26666666666668,0.8111111111111112,2.433333333333333,0.6771923727878377,,0.0,0.02464712635235368
two_coordinated,static,ucb,,30,0.5666666666666667,61.42857142857143,157.47058823529412,0.8,2.4,0.6757008148246423,,0.00013888888888888667,0.014738619028060736
