scene,distance_m,angle_label,angle_deg,scenario_kind,is_calibration_scene,expected_target_present_for_audit,rgb_signature_overlap,rgb_signature_overlap_count,rgb_changed_pixels,rgb_has_target_signature_5c4h_baseline,stronger_rgb_target_signature,target_overlap_min,rgb_changed_pixels_min,rgb_bbox,rgb_signature_bbox_xyxy,rgb_signature_sector_legacy,rgb_target_overlap_bbox_xyxy,rgb_target_angle_deg,rangefinder_raw_beams,rangefinder_hit_beam_indices,rangefinder_hit_sectors,any_rangefinder_hit,rangefinder_min_positive_range_m,old_matched_rangefinder_beam_hit,old_direction_matching_used_for_detection,recalibrated_direction_matches,recalibrated_direction_matching_used_for_detection,selected_recalibrated_direction_tolerance_deg,selected_recalibrated_direction_match,selected_recalibrated_direction_data,distractor_signature_overlap,distractor_signature_overlap_count,distractor_like,distractor_rejection_enabled,found,found_rule,outcome,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,rgb_artifact
target_right_inner_35m,35.0,right_inner,-15.0,target,False,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""96,96,64,255""]",13,58,True,True,7,0,"[195, 121, 211, 129]","[195, 121, 211, 129]",center,"[195, 121, 211, 129]",-12.09375,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.9633674621582, -1.0, -1.0]",[6],"[""right""]",True,33.9633674621582,False,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": -15.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": -15.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": -15.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": -15.0}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255""]",7,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_right_inner_35m_rgb.png
target_right_outer_35m,35.0,right_outer,-25.0,target,False,True,"[""128,128,128,255"", ""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""64,32,32,255"", ""96,64,32,255"", ""96,64,64,255"", ""96,96,64,255""]",16,92,True,True,7,0,"[225, 121, 245, 129]","[225, 121, 245, 129]",right,"[225, 121, 245, 129]",-21.09375,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],"[""right""]",True,39.39585876464844,True,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 1.40625, ""best_hit_beam_yaw_deg"": -22.5}, ""10.0"": {""matched"": true, ""best_delta_deg"": 1.40625, ""best_hit_beam_yaw_deg"": -22.5}, ""12.5"": {""matched"": true, ""best_delta_deg"": 1.40625, ""best_hit_beam_yaw_deg"": -22.5}, ""15.0"": {""matched"": true, ""best_delta_deg"": 1.40625, ""best_hit_beam_yaw_deg"": -22.5}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,192,128,255"", ""224,192,160,255""]",9,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_right_outer_35m_rgb.png
target_left_outer_50m,50.0,left_outer,25.0,target,False,True,"[""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""96,64,64,255"", ""96,96,64,255""]",13,42,True,True,7,0,"[78, 121, 91, 126]","[78, 121, 91, 126]",left,"[78, 121, 91, 126]",21.234375,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,,False,False,"{""7.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""10.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""12.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""15.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,192,160,255""]",8,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,false_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_left_outer_50m_rgb.png
target_left_inner_50m,50.0,left_inner,15.0,target,False,True,"[""128,128,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,160,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255""]",9,58,True,True,7,0,"[27, 121, 286, 154]","[27, 121, 286, 154]",center,"[27, 121, 286, 151]",0.9843749999999999,"[-1.0, -1.0, 49.511112213134766, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],"[""left""]",True,49.511112213134766,False,False,"{""7.5"": {""matched"": false, ""best_delta_deg"": 14.015625, ""best_hit_beam_yaw_deg"": 15.0}, ""10.0"": {""matched"": false, ""best_delta_deg"": 14.015625, ""best_hit_beam_yaw_deg"": 15.0}, ""12.5"": {""matched"": false, ""best_delta_deg"": 14.015625, ""best_hit_beam_yaw_deg"": 15.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 14.015625, ""best_hit_beam_yaw_deg"": 15.0}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,192,128,255"", ""224,192,160,255"", ""224,192,192,255"", ""224,224,192,255""]",10,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_left_inner_50m_rgb.png
target_center_50m,50.0,center,0.0,target,False,True,"[""160,128,128,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255""]",5,19,True,False,7,0,"[156, 122, 164, 127]","[156, 122, 164, 127]",center,"[156, 122, 163, 126]",0.140625,"[-1.0, -1.0, -1.0, -1.0, 47.804100036621094, -1.0, -1.0, -1.0, -1.0]",[4],"[""center""]",True,47.804100036621094,True,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}}",False,,,,"[""160,128,128,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""224,192,128,255"", ""224,192,160,255""]",7,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,false_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_center_50m_rgb.png
target_right_inner_50m,50.0,right_inner,-15.0,target,False,True,"[""128,128,96,255"", ""128,96,96,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255""]",9,30,True,True,7,0,"[198, 121, 208, 126]","[198, 121, 208, 126]",center,"[198, 121, 208, 126]",-12.09375,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 49.50360870361328, -1.0, -1.0]",[6],"[""right""]",True,49.50360870361328,False,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": -15.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": -15.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": -15.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": -15.0}}",False,,,,"[""160,128,96,255"", ""160,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,192,128,255"", ""224,192,160,255""]",7,False,False,True,stronger_rgb_target_signature and any_rangefinder_hit,true_positive,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_right_inner_50m_rgb.png
target_right_outer_50m,50.0,right_outer,-25.0,target,False,True,"[""128,128,96,255"", ""128,96,64,255"", ""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,160,160,255"", ""192,160,128,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,160,96,255"", ""96,64,64,255""]",12,45,True,True,7,0,"[228, 121, 244, 126]","[228, 121, 244, 126]",right,"[228, 121, 241, 126]",-20.953125,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,,False,False,"{""7.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""10.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""12.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""15.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,192,160,255""]",7,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,false_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\target_right_outer_50m_rgb.png
distractor_only_left_outer_20m,20.0,left_outer,25.0,distractor_only,False,False,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255""]",6,57,True,False,7,0,"[81, 129, 89, 136]","[81, 129, 89, 136]",left,"[81, 133, 89, 136]",21.09375,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,,False,False,"{""7.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""10.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""12.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""15.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""224,224,192,255"", ""224,224,224,255""]",8,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\distractor_only_left_outer_20m_rgb.png
distractor_only_left_inner_20m,20.0,left_inner,15.0,distractor_only,False,False,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255""]",6,60,True,False,7,0,"[91, 129, 285, 137]","[91, 129, 285, 137]",center,"[113, 133, 120, 136]",12.234374999999998,"[-1.0, -1.0, 20.26300048828125, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],"[""left""]",True,20.26300048828125,False,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 2.7656250000000018, ""best_hit_beam_yaw_deg"": 15.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 2.7656250000000018, ""best_hit_beam_yaw_deg"": 15.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 2.7656250000000018, ""best_hit_beam_yaw_deg"": 15.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 2.7656250000000018, ""best_hit_beam_yaw_deg"": 15.0}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""224,192,128,255"", ""224,192,160,255"", ""224,192,192,255"", ""224,224,224,255""]",10,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\distractor_only_left_inner_20m_rgb.png
distractor_only_center_20m,20.0,center,0.0,distractor_only,False,False,"[""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255""]",4,43,True,False,7,0,"[156, 129, 163, 136]","[156, 129, 163, 136]",center,"[156, 133, 163, 136]",0.140625,"[-1.0, -1.0, -1.0, -1.0, 19.561161041259766, -1.0, -1.0, -1.0, -1.0]",[4],"[""center""]",True,19.561161041259766,True,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 0.140625, ""best_hit_beam_yaw_deg"": 0.0}}",False,,,,"[""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,224,224,255""]",5,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\distractor_only_center_20m_rgb.png
distractor_only_right_inner_20m,20.0,right_inner,-15.0,distractor_only,False,False,"[""160,128,128,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255""]",6,56,True,False,7,0,"[199, 129, 206, 137]","[199, 129, 206, 137]",center,"[199, 133, 206, 136]",-11.953125,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 20.261938095092773, -1.0, -1.0]",[6],"[""right""]",True,20.261938095092773,False,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 3.046875, ""best_hit_beam_yaw_deg"": -15.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 3.046875, ""best_hit_beam_yaw_deg"": -15.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 3.046875, ""best_hit_beam_yaw_deg"": -15.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 3.046875, ""best_hit_beam_yaw_deg"": -15.0}}",False,,,,"[""160,128,128,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""192,192,160,255"", ""192,192,192,255"", ""224,192,160,255"", ""224,224,224,255""]",8,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\distractor_only_right_inner_20m_rgb.png
distractor_only_right_outer_20m,20.0,right_outer,-25.0,distractor_only,False,False,"[""128,96,96,255"", ""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""160,96,64,255"", ""192,128,96,255"", ""192,160,160,255"", ""224,160,96,255""]",8,63,True,True,7,0,"[230, 129, 238, 137]","[230, 129, 238, 137]",right,"[230, 133, 238, 137]",-20.8125,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,,False,False,"{""7.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""10.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""12.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""15.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}}",False,,,,"[""160,128,128,255"", ""160,128,96,255"", ""160,160,128,255"", ""192,160,160,255"", ""224,192,128,255"", ""224,192,192,255"", ""224,224,192,255"", ""224,224,224,255""]",8,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\distractor_only_right_outer_20m_rgb.png
distractor_only_left_outer_50m,50.0,left_outer,25.0,distractor_only,False,False,"[""128,96,64,255"", ""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255""]",4,9,True,False,7,0,"[83, 125, 269, 136]","[83, 125, 269, 136]",center,"[84, 125, 86, 126]",21.09375,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,,False,False,"{""7.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""10.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""12.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""15.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}}",False,,,,"[""160,160,128,255"", ""192,160,128,255"", ""192,160,160,255"", ""224,192,128,255"", ""224,192,160,255""]",5,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\distractor_only_left_outer_50m_rgb.png
distractor_only_left_inner_50m,50.0,left_inner,15.0,distractor_only,False,False,"[""160,128,96,255"", ""192,160,160,255"", ""192,192,160,255""]",3,8,True,False,7,0,"[116, 124, 118, 126]","[116, 124, 118, 126]",center,"[116, 125, 118, 126]",12.09375,"[-1.0, -1.0, 51.32106018066406, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[2],"[""left""]",True,51.32106018066406,False,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": 15.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": 15.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": 15.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 2.90625, ""best_hit_beam_yaw_deg"": 15.0}}",False,,,,"[""160,128,96,255"", ""192,160,160,255"", ""192,192,160,255"", ""224,224,224,255""]",4,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\distractor_only_left_inner_50m_rgb.png
distractor_only_center_50m,50.0,center,0.0,distractor_only,False,False,"[""192,192,160,255"", ""192,192,192,255"", ""224,160,128,255""]",3,16,True,False,7,0,"[44, 124, 269, 153]","[44, 124, 269, 153]",center,"[159, 125, 269, 132]",-15.187500000000002,"[-1.0, -1.0, -1.0, -1.0, 49.560401916503906, -1.0, -1.0, -1.0, -1.0]",[4],"[""center""]",True,49.560401916503906,True,False,"{""7.5"": {""matched"": false, ""best_delta_deg"": 15.187500000000002, ""best_hit_beam_yaw_deg"": 0.0}, ""10.0"": {""matched"": false, ""best_delta_deg"": 15.187500000000002, ""best_hit_beam_yaw_deg"": 0.0}, ""12.5"": {""matched"": false, ""best_delta_deg"": 15.187500000000002, ""best_hit_beam_yaw_deg"": 0.0}, ""15.0"": {""matched"": false, ""best_delta_deg"": 15.187500000000002, ""best_hit_beam_yaw_deg"": 0.0}}",False,,,,"[""192,192,160,255"", ""192,192,192,255"", ""224,192,128,255"", ""224,192,160,255"", ""224,224,192,255"", ""224,224,224,255""]",6,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\distractor_only_center_50m_rgb.png
distractor_only_right_inner_50m,50.0,right_inner,-15.0,distractor_only,False,False,"[""160,160,128,255"", ""192,160,128,255"", ""192,192,160,255""]",3,6,True,False,7,0,"[201, 124, 203, 126]","[201, 124, 203, 126]",center,"[201, 125, 203, 126]",-11.8125,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 51.32585525512695, -1.0, -1.0]",[6],"[""right""]",True,51.32585525512695,False,False,"{""7.5"": {""matched"": true, ""best_delta_deg"": 3.1875, ""best_hit_beam_yaw_deg"": -15.0}, ""10.0"": {""matched"": true, ""best_delta_deg"": 3.1875, ""best_hit_beam_yaw_deg"": -15.0}, ""12.5"": {""matched"": true, ""best_delta_deg"": 3.1875, ""best_hit_beam_yaw_deg"": -15.0}, ""15.0"": {""matched"": true, ""best_delta_deg"": 3.1875, ""best_hit_beam_yaw_deg"": -15.0}}",False,,,,"[""160,160,128,255"", ""192,160,128,255"", ""192,192,160,255"", ""224,224,224,255""]",4,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\distractor_only_right_inner_50m_rgb.png
distractor_only_right_outer_50m,50.0,right_outer,-25.0,distractor_only,False,False,"[""160,128,96,255"", ""192,160,160,255""]",2,9,True,False,7,0,"[233, 124, 236, 126]","[233, 124, 236, 126]",right,"[233, 125, 235, 126]",-20.8125,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],[],False,,False,False,"{""7.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""10.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""12.5"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}, ""15.0"": {""matched"": false, ""best_delta_deg"": null, ""best_hit_beam_yaw_deg"": null}}",False,,,,"[""160,128,96,255"", ""192,160,160,255"", ""224,192,160,255"", ""224,224,224,255""]",4,False,False,False,stronger_rgb_target_signature and any_rangefinder_hit,true_negative,False,False,False,baseline_GP\results\holoocean_bridge_v1\phase5c4i_direction_matched_distractor_rejection_calibration\visuals\distractor_only_right_outer_50m_rgb.png
