param_name,param_value,n_episodes,success_all_found_rate,time_to_all_found_censored_mean,detection_rate_mean,time_to_first_detection_censored_mean,planning_time_ms_mean
w_s,4.5,15,0.6,193.86666666666667,0.8444444444444444,51.06666666666667,20.826245545809776
w_s,5.5,15,0.4666666666666667,202.26666666666668,0.7999999999999999,51.06666666666667,21.854253201162035
w_s,6.5,135,0.5111111111111111,200.5851851851852,0.8123456790123457,50.36296296296296,22.618064295784055
w_s,7.5,15,0.4,208.86666666666667,0.7777777777777778,50.13333333333333,22.841154761850145
w_s,8.5,15,0.4666666666666667,205.6,0.7999999999999999,50.13333333333333,23.32987566495239
w_r,1.0,15,0.3333333333333333,207.06666666666666,0.7333333333333333,49.8,22.53329343607012
w_r,2.0,15,0.6666666666666666,191.53333333333333,0.8444444444444444,50.2,21.52240003671888
w_r,3.0,135,0.4888888888888889,203.6962962962963,0.8074074074074074,50.36296296296296,22.888329713662202
w_r,4.0,15,0.6,192.8,0.8666666666666667,51.06666666666667,21.46849725116906
w_r,5.0,15,0.5333333333333333,191.2,0.8222222222222222,51.333333333333336,20.894949688912977
w_e,-0.55,15,0.4666666666666667,206.46666666666667,0.7999999999999999,50.2,23.820872352915707
w_e,-0.45,15,0.4666666666666667,206.46666666666667,0.7999999999999999,50.2,23.939838085006144
w_e,-0.35,135,0.5037037037037037,200.02962962962962,0.8098765432098766,50.55555555555556,21.995816008991515
w_e,-0.25,15,0.5333333333333333,201.33333333333334,0.8222222222222222,50.13333333333333,23.14147512758671
w_e,-0.15,15,0.5333333333333333,201.33333333333334,0.8222222222222222,50.13333333333333,23.549578189398666
