tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout
1,0,1,2,-190.0,195.0,-194.3096923828125,194.9872283935547,0.13685625791549683,-194.3096923828125,194.9872283935547,0.13685625791549683,1,1,4.309711306851455,False,False
2,0,1,2,-190.0,195.0,-194.26963806152344,194.98536682128906,0.15934491157531738,-194.26963806152344,194.98536682128906,0.15934491157531738,1,1,4.269663137336341,False,False
3,0,1,2,-190.0,195.0,-194.2315216064453,194.98348999023438,0.18095384538173676,-194.2315216064453,194.98348999023438,0.18095384538173676,1,1,4.23155381464492,False,False
4,0,1,2,-190.0,195.0,-194.1951446533203,194.98158264160156,0.1988324224948883,-194.1951446533203,194.98158264160156,0.1988324224948883,1,1,4.195185080705306,False,False
5,0,1,2,-190.0,195.0,-194.1603546142578,194.97964477539062,0.21094417572021484,-194.1603546142578,194.97964477539062,0.21094417572021484,1,1,4.160404409615148,False,False
6,0,1,2,-190.0,195.0,-194.12701416015625,194.9776611328125,0.21639668941497803,-194.12701416015625,194.9776611328125,0.21639668941497803,1,1,4.127074618069973,False,False
7,0,1,2,-190.0,195.0,-194.0950164794922,194.97561645507812,0.215327188372612,-194.0950164794922,194.97561645507812,0.215327188372612,1,1,4.095089074070984,False,False
8,0,1,2,-190.0,195.0,-194.064208984375,194.97352600097656,0.20862343907356262,-194.064208984375,194.97352600097656,0.20862343907356262,1,1,4.064295208433901,False,False
9,0,1,2,-190.0,195.0,-194.03451538085938,194.9713897705078,0.1975547969341278,-194.03451538085938,194.9713897705078,0.1975547969341278,1,1,4.034616822403642,False,False
10,0,1,2,-190.0,195.0,-194.00584411621094,194.9691925048828,0.18379291892051697,-194.00584411621094,194.9691925048828,0.18379291892051697,1,1,4.005962579098459,False,False
11,0,1,2,-190.0,195.0,-193.97808837890625,194.96693420410156,0.16919514536857605,-193.97808837890625,194.96693420410156,0.16919514536857605,1,1,3.978225797670031,False,False
12,0,1,2,-190.0,195.0,-193.951171875,194.96461486816406,0.15578575432300568,-193.951171875,194.96461486816406,0.15578575432300568,1,1,3.951330319442562,False,False
13,0,1,2,-190.0,195.0,-193.925048828125,194.96224975585938,0.14550399780273438,-193.925048828125,194.96224975585938,0.14550399780273438,1,1,3.9252303606410304,False,False
14,0,1,2,-190.0,195.0,-193.89962768554688,194.95982360839844,0.1393892467021942,-193.89962768554688,194.95982360839844,0.1393892467021942,1,1,3.8998346411515707,False,False
15,0,1,2,-190.0,195.0,-193.87486267089844,194.9573516845703,0.13808272778987885,-193.87486267089844,194.9573516845703,0.13808272778987885,1,1,3.8750973661485157,False,False
16,0,1,2,-190.0,195.0,-193.8507080078125,194.954833984375,0.1411619633436203,-193.8507080078125,194.954833984375,0.1411619633436203,1,1,3.8509728810261374,False,False
17,0,1,2,-190.0,195.0,-193.8271026611328,194.95225524902344,0.1478939950466156,-193.8271026611328,194.95225524902344,0.1478939950466156,1,1,3.827400467692879,False,False
18,0,1,2,-190.0,195.0,-193.80401611328125,194.94964599609375,0.15691369771957397,-193.80401611328125,194.94964599609375,0.15691369771957397,1,1,3.8043493682642735,False,False
19,0,1,2,-190.0,195.0,-193.78140258789062,194.9469757080078,0.16663989424705505,-193.78140258789062,194.9469757080078,0.16663989424705505,1,1,3.781774333199588,False,False
20,0,1,2,-190.0,195.0,-193.75921630859375,194.9442596435547,0.17576728761196136,-193.75921630859375,194.9442596435547,0.17576728761196136,1,1,3.759629535224697,False,False
21,0,1,2,-190.0,195.0,-193.73744201660156,194.94151306152344,0.18276841938495636,-193.73744201660156,194.94151306152344,0.18276841938495636,1,1,3.7378996173561316,False,False
22,0,1,2,-190.0,195.0,-193.71604919433594,194.938720703125,0.18709181249141693,-193.71604919433594,194.938720703125,0.18709181249141693,1,1,3.7165544213626505,False,False
23,0,1,2,-190.0,195.0,-193.69500732421875,194.93588256835938,0.18853503465652466,-193.69500732421875,194.93588256835938,0.18853503465652466,1,1,3.695563579627659,False,False
24,0,1,2,-190.0,195.0,-193.67428588867188,194.93301391601562,0.1872687041759491,-193.67428588867188,194.93301391601562,0.1872687041759491,1,1,3.6748964512133986,False,False
25,0,1,2,-190.0,195.0,-193.65386962890625,194.9300994873047,0.18368151783943176,-193.65386962890625,194.9300994873047,0.18368151783943176,1,1,3.654538185149878,False,False
26,0,1,2,-190.0,195.0,-193.63372802734375,194.92715454101562,0.178299680352211,-193.63372802734375,194.92715454101562,0.178299680352211,1,1,3.6344581215909124,False,False
27,0,1,2,-190.0,195.0,-193.61386108398438,194.9241943359375,0.17194952070713043,-193.61386108398438,194.9241943359375,0.17194952070713043,1,1,3.6146560601308497,False,False
28,0,1,2,-190.0,195.0,-193.59423828125,194.92120361328125,0.16555117070674896,-193.59423828125,194.92120361328125,0.16555117070674896,1,1,3.595101903001205,False,False
29,0,1,2,-190.0,195.0,-193.57485961914062,194.91819763183594,0.16028541326522827,-193.57485961914062,194.91819763183594,0.16028541326522827,1,1,3.5757954253563646,False,False
30,0,1,2,-190.0,195.0,-193.55569458007812,194.9151611328125,0.15662692487239838,-193.55569458007812,194.9151611328125,0.15662692487239838,1,1,3.5567065636881843,False,False
31,0,1,2,-190.0,195.0,-193.53672790527344,194.91212463378906,0.1549440175294876,-193.53672790527344,194.91212463378906,0.1549440175294876,1,1,3.537819435178475,False,False
32,0,1,2,-190.0,195.0,-193.51797485351562,194.90907287597656,0.15545061230659485,-193.51797485351562,194.90907287597656,0.15545061230659485,1,1,3.519149728535496,False,False
33,0,1,2,-190.0,195.0,-193.4993896484375,194.906005859375,0.15792757272720337,-193.4993896484375,194.906005859375,0.15792757272720337,1,1,3.500651769322873,False,False
34,0,1,2,-190.0,195.0,-193.4810028076172,194.90293884277344,0.16170735657215118,-193.4810028076172,194.90293884277344,0.16170735657215118,1,1,3.4823557277913038,False,False
35,0,1,2,-190.0,195.0,-193.4627685546875,194.89987182617188,0.16601283848285675,-193.4627685546875,194.89987182617188,0.16601283848285675,1,1,3.464215887401753,False,False
36,0,1,2,-190.0,195.0,-193.44468688964844,194.89678955078125,0.17020341753959656,-193.44468688964844,194.89678955078125,0.17020341753959656,1,1,3.446232749618598,False,False
37,0,1,2,-190.0,195.0,-193.42677307128906,194.8937225341797,0.17382022738456726,-193.42677307128906,194.8937225341797,0.17382022738456726,1,1,3.4284207124932995,False,False
38,0,1,2,-190.0,195.0,-193.40899658203125,194.89064025878906,0.17615631222724915,-193.40899658203125,194.89064025878906,0.17615631222724915,1,1,3.4107502472767584,False,False
39,0,1,2,-190.0,195.0,-193.39137268066406,194.8875732421875,0.1770457923412323,-193.39137268066406,194.8875732421875,0.1770457923412323,1,1,3.393235688104612,False,False
40,0,1,2,-190.0,195.0,-193.37387084960938,194.88450622558594,0.17663337290287018,-193.37387084960938,194.88450622558594,0.17663337290287018,1,1,3.3758470524850934,False,False
41,0,1,2,-190.0,195.0,-193.3564910888672,194.88145446777344,0.1750493049621582,-193.3564910888672,194.88145446777344,0.1750493049621582,1,1,3.35858384931145,False,False
