map_kind,episode_seed,clue_acquisition_mode,baseline_assignment_mode,challenger_assignment_mode,success_all_found_independent,success_all_found_coordinated,delta_coordinated_minus_independent_success_all_found,time_to_first_detection_independent,time_to_first_detection_coordinated,delta_coordinated_minus_independent_time_to_first_detection,time_to_all_found_independent,time_to_all_found_coordinated,delta_coordinated_minus_independent_time_to_all_found,time_to_next_detection_independent,time_to_next_detection_coordinated,delta_coordinated_minus_independent_time_to_next_detection,detection_rate_independent,detection_rate_coordinated,delta_coordinated_minus_independent_detection_rate,found_count_independent,found_count_coordinated,delta_coordinated_minus_independent_found_count,known_free_observation_ratio_final_independent,known_free_observation_ratio_final_coordinated,delta_coordinated_minus_independent_known_free_observation_ratio_final,path_length_total_independent,path_length_total_coordinated,delta_coordinated_minus_independent_path_length_total,duplicate_viewpoint_ratio_independent,duplicate_viewpoint_ratio_coordinated,delta_coordinated_minus_independent_duplicate_viewpoint_ratio,cross_region_assignment_ratio_independent,cross_region_assignment_ratio_coordinated,delta_coordinated_minus_independent_cross_region_assignment_ratio,reservation_wait_fallback_count_independent,reservation_wait_fallback_count_coordinated,delta_coordinated_minus_independent_reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean_independent,reservation_near_neighbor_step_ratio_mean_coordinated,delta_coordinated_minus_independent_reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count_independent,reservation_same_cell_violation_count_coordinated,delta_coordinated_minus_independent_reservation_same_cell_violation_count,reservation_swap_violation_count_independent,reservation_swap_violation_count_coordinated,delta_coordinated_minus_independent_reservation_swap_violation_count,wait_count_total_independent,wait_count_total_coordinated,delta_coordinated_minus_independent_wait_count_total,anomaly_top_band_selection_ratio_pre_first_detection_independent,anomaly_top_band_selection_ratio_pre_first_detection_coordinated,delta_coordinated_minus_independent_anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_independent,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_coordinated,delta_coordinated_minus_independent_unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
harbor_cove,0,anomaly_upper_tail,independent,coordinated,True,,,86,236,150.0,180,,,47.0,,,1.0,0.3333333333333333,-0.6666666666666667,3,1,-2.0,0.694078947368421,0.8105811403508771,0.11650219298245612,360,,,0.005555555555555556,0.0,-0.005555555555555556,0.08888888888888889,0.022916666666666665,-0.06597222222222222,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3430232558139535,0.24364406779661016,-0.09937918801734333,0.028454350877820382,0.027327071952783524,-0.0011272789250368585
harbor_cove,1,anomaly_upper_tail,independent,coordinated,False,,,76,112,36.0,,,,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,2,1.0,0.6408991228070176,0.8434758771929824,0.2025767543859649,480,,,0.004166666666666667,0.0,-0.004166666666666667,0.33541666666666664,0.04375,-0.29166666666666663,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.34210526315789475,0.33035714285714285,-0.011748120300751896,0.029431151129035705,0.028284125537899146,-0.0011470255911365593
harbor_cove,2,anomaly_upper_tail,independent,coordinated,False,,,51,50,-1.0,,,,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,2,1.0,0.8341557017543859,0.8475877192982456,0.013432017543859698,480,,,0.008333333333333333,0.0,-0.008333333333333333,0.24166666666666667,0.0,-0.24166666666666667,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.27450980392156865,0.27,-0.004509803921568634,0.022459686704487926,0.02295261661039283,0.0004929299059049028
harbor_cove,3,anomaly_upper_tail,independent,coordinated,True,,,13,18,5.0,131,41,-90.0,59.0,,,1.0,1.0,0.0,3,3,0.0,0.5603070175438597,0.26288377192982454,-0.29742324561403516,262,,,0.0,0.0,0.0,0.23282442748091603,0.0,-0.23282442748091603,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.34615384615384615,0.3888888888888889,0.04273504273504275,0.03471266798354915,0.04208453170650718,0.007371863722958033
harbor_cove,4,anomaly_upper_tail,independent,coordinated,True,,,12,12,0.0,227,,,107.5,,,1.0,0.6666666666666666,-0.33333333333333337,3,2,-1.0,0.8404605263157895,0.7705592105263158,-0.06990131578947367,454,,,0.0,0.0,0.0,0.15198237885462554,0.0375,-0.11448237885462553,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.375,0.4166666666666667,0.041666666666666685,0.040443844947943314,0.03732682890597901,-0.0031170160419643003
harbor_cove,5,anomaly_upper_tail,independent,coordinated,False,,,62,45,-17.0,,,,6.0,,,0.6666666666666666,0.6666666666666666,0.0,2,2,0.0,0.7801535087719298,0.8900767543859649,0.1099232456140351,480,,,0.004166666666666667,0.0,-0.004166666666666667,0.35625,0.0125,-0.34375,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.31451612903225806,0.23333333333333334,-0.08118279569892473,0.0280926109584643,0.035203965871937186,0.007111354913472884
harbor_cove,6,anomaly_upper_tail,independent,coordinated,True,,,16,18,2.0,45,235,190.0,14.5,,,1.0,1.0,0.0,3,3,0.0,0.26480263157894735,0.8135964912280702,0.5487938596491229,90,,,0.022222222222222223,0.0,-0.022222222222222223,0.03333333333333333,0.05531914893617021,0.021985815602836876,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.59375,0.19444444444444445,-0.3993055555555556,0.042827191223607286,0.04784926121599446,0.0050220699923871764
harbor_cove,7,anomaly_upper_tail,independent,coordinated,True,,,71,43,-28.0,88,,,8.5,,,1.0,0.6666666666666666,-0.33333333333333337,3,2,-1.0,0.49835526315789475,0.7946820175438597,0.29632675438596495,176,,,0.0,0.0,0.0,0.045454545454545456,0.0,-0.045454545454545456,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.31690140845070425,0.313953488372093,-0.0029479200786112214,0.026981458342072346,0.03382877255285968,0.006847314210787336
harbor_cove,8,anomaly_upper_tail,independent,coordinated,False,,,121,163,42.0,,,,26.0,,,0.6666666666666666,0.6666666666666666,0.0,2,2,0.0,0.8887061403508771,0.8300438596491229,-0.05866228070175428,480,,,0.004166666666666667,0.0,-0.004166666666666667,0.17083333333333334,0.01875,-0.15208333333333335,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.26859504132231404,0.22392638036809817,-0.04466866095421587,0.027232209240538038,0.02746410575073836,0.00023189651020032176
harbor_cove,9,anomaly_upper_tail,independent,coordinated,True,,,11,67,56.0,239,199,-40.0,114.0,,,1.0,1.0,0.0,3,3,0.0,0.5934758771929824,0.8001644736842105,0.20668859649122806,474,,,0.21338912133891214,0.0,-0.21338912133891214,0.3912133891213389,0.04522613065326633,-0.34598725846807254,0,0,0.0,0.012255927475592747,0.0,-0.012255927475592747,0,0,0.0,0,0,0.0,4,0,-4.0,0.2727272727272727,0.291044776119403,0.018317503392130285,0.03575920714630876,0.03598593697193181,0.000226729825623051
peninsula_passage,0,anomaly_upper_tail,independent,coordinated,False,,,91,122,31.0,,,,15.0,,,0.6666666666666666,0.6666666666666666,0.0,2,2,0.0,0.7541311967951928,0.8324987481221833,0.07836755132699047,480,,,0.029166666666666667,0.0,-0.029166666666666667,0.3416666666666667,0.1125,-0.22916666666666669,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3076923076923077,0.2459016393442623,-0.06179066834804542,0.02313402252946744,0.02340758747875817,0.0002735649492907298
peninsula_passage,1,anomaly_upper_tail,independent,coordinated,True,,,25,18,-7.0,209,151,-58.0,92.0,,,1.0,1.0,0.0,3,3,0.0,0.6407110665998998,0.5378067100650976,-0.10290435653480223,418,,,0.03349282296650718,0.0,-0.03349282296650718,0.5358851674641149,0.026490066225165563,-0.5093951012389493,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.28,0.3888888888888889,0.10888888888888887,0.0287397748994706,0.031265036019999984,0.0025252611205293825
peninsula_passage,2,anomaly_upper_tail,independent,coordinated,True,,,16,13,-3.0,206,151,-55.0,95.0,,,1.0,1.0,0.0,3,3,0.0,0.6329494241362043,0.6174261392088132,-0.015523284927391079,412,,,0.0048543689320388345,0.0,-0.0048543689320388345,0.25485436893203883,0.0728476821192053,-0.18200668681283355,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.5,0.6153846153846154,0.11538461538461542,0.03600274365833937,0.03849029695728963,0.002487553298950257
peninsula_passage,3,anomaly_upper_tail,independent,coordinated,False,,,151,71,-80.0,,221,,57.0,,,0.6666666666666666,1.0,0.33333333333333337,2,3,1.0,0.6627441161742614,0.6765147721582374,0.013770655983975977,480,,,0.025,0.0,-0.025,0.5229166666666667,0.10633484162895927,-0.4165818250377074,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3841059602649007,0.2746478873239437,-0.109458072940957,0.02306515053493545,0.024310726670771603,0.001245576135836153
peninsula_passage,4,anomaly_upper_tail,independent,coordinated,True,,,132,41,-91.0,232,,,50.0,,,1.0,0.6666666666666666,-0.33333333333333337,3,2,-1.0,0.6011517275913871,0.8445167751627441,0.24336504757135702,464,,,0.0,0.0,0.0,0.5043103448275862,0.025,-0.47931034482758617,0,0,0.0,0.0009364737274220033,0.0,-0.0009364737274220033,0,0,0.0,0,0,0.0,0,0,0.0,0.3068181818181818,0.23170731707317074,-0.07511086474501108,0.025500461424837893,0.03970951762047017,0.014209056195632275
peninsula_passage,5,anomaly_upper_tail,independent,coordinated,True,,,155,29,-126.0,218,181,-37.0,31.5,,,1.0,1.0,0.0,3,3,0.0,0.6514772158237356,0.7551326990485728,0.1036554832248372,436,,,0.0045871559633027525,0.0,-0.0045871559633027525,0.4059633027522936,0.013812154696132596,-0.39215114805616097,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.36451612903225805,0.2413793103448276,-0.12313681868743045,0.0255603070140282,0.032797457821532566,0.007237150807504367
peninsula_passage,6,anomaly_upper_tail,independent,coordinated,True,,,37,40,3.0,162,208,46.0,62.5,,,1.0,1.0,0.0,3,3,0.0,0.5941412118177266,0.6537305958938407,0.05958938407611414,324,,,0.006172839506172839,0.0,-0.006172839506172839,0.3765432098765432,0.021634615384615384,-0.35490859449192785,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.17567567567567569,0.2625,0.08682432432432433,0.027730974090886592,0.027339519412680348,-0.00039145467820624405
peninsula_passage,7,anomaly_upper_tail,independent,coordinated,False,,,197,162,-35.0,,,,30.0,,,0.6666666666666666,0.3333333333333333,-0.3333333333333333,2,1,-1.0,0.6970455683525288,0.7010515773660491,0.0040060090135202175,480,,,0.004166666666666667,0.0,-0.004166666666666667,0.30416666666666664,0.010416666666666666,-0.29374999999999996,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.31725888324873097,0.30246913580246915,-0.014789747446261825,0.026510141774803927,0.0255068948955734,-0.001003246879230528
peninsula_passage,8,anomaly_upper_tail,independent,coordinated,True,,,144,49,-95.0,210,157,-53.0,33.0,,,1.0,1.0,0.0,3,3,0.0,0.6705057586379569,0.6039058587881823,-0.06659989984977466,420,,,0.01904761904761905,0.0,-0.01904761904761905,0.4095238095238095,0.01592356687898089,-0.3936002426448286,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.2326388888888889,0.12244897959183673,-0.11018990929705216,0.02478225806096976,0.025457675832777592,0.000675417771807834
peninsula_passage,9,anomaly_upper_tail,independent,coordinated,False,,,88,,,,,,5.0,,,0.6666666666666666,0.0,-0.6666666666666666,2,0,-2.0,0.5065097646469705,0.599148723084627,0.09263895843765646,480,,,0.0375,0.004166666666666667,-0.03333333333333333,0.42083333333333334,0.020833333333333332,-0.4,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.36363636363636365,0.20416666666666666,-0.15946969696969698,0.021736515428832495,0.02078514998362333,-0.0009513654452091638
