system_name,episode_seed,map_kind,target_motion_mode,assignment_mode,clue_acquisition_mode,success_all_found,time_to_first_detection,time_to_all_found,time_to_next_detection,detection_rate,found_count,known_free_observation_ratio_final,path_length_total,path_length_by_usv,duplicate_viewpoint_ratio,cross_region_assignment_ratio,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,wait_count_total,wait_count_by_usv,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
two_usv_independent,5,peninsula_passage,static,independent,ucb,False,101,,119.0,0.6666666666666666,2,0.6529794692038057,480,"[240, 240]",0.041666666666666664,0.45,0,0.0,0,0,0,"[0, 0]",0.3316831683168317,0.0268304363141755
two_usv_independent,6,peninsula_passage,static,independent,ucb,False,39,,25.0,0.6666666666666666,2,0.5262894341512269,480,"[240, 240]",0.1125,0.5,0,0.0,0,0,0,"[0, 0]",0.28205128205128205,0.028115798803924695
two_usv_independent,7,peninsula_passage,static,independent,ucb,False,189,,,0.3333333333333333,1,0.6211817726589884,480,"[240, 240]",0.025,0.4083333333333333,0,0.0005208333333333333,0,0,0,"[0, 0]",0.3915343915343915,0.027407209203363855
two_usv_independent,8,peninsula_passage,static,independent,ucb,True,140,237,48.5,1.0,3,0.7085628442663996,474,"[237, 237]",0.004219409282700422,0.5253164556962026,0,0.0,0,0,0,"[0, 0]",0.26785714285714285,0.024438177451496405
two_usv_independent,9,peninsula_passage,static,independent,ucb,False,82,,10.0,0.6666666666666666,2,0.670756134201302,480,"[240, 240]",0.020833333333333332,0.42916666666666664,0,0.0,0,0,0,"[0, 0]",0.2804878048780488,0.021919619358010265
two_usv_independent,0,open_water,static,independent,anomaly_upper_tail,True,6,182,88.0,1.0,3,0.5873121131741822,364,"[182, 182]",0.005494505494505495,0.5521978021978022,0,0.0,0,0,0,"[0, 0]",1.0,0.03348879371769503
two_usv_independent,1,open_water,static,independent,anomaly_upper_tail,True,18,139,60.5,1.0,3,0.5192307692307693,278,"[139, 139]",0.18705035971223022,0.32014388489208634,0,0.0,0,0,0,"[0, 0]",0.19444444444444445,0.027846293014795218
two_usv_independent,2,open_water,static,independent,anomaly_upper_tail,False,153,,,0.3333333333333333,1,0.6633510167992926,480,"[240, 240]",0.0125,0.32916666666666666,0,0.0,0,0,0,"[0, 0]",0.37254901960784315,0.02224217423014372
two_usv_independent,3,open_water,static,independent,anomaly_upper_tail,False,161,,,0.3333333333333333,1,0.7336427939876216,477,"[239, 238]",0.025,0.48333333333333334,0,0.007291666666666667,0,0,3,"[1, 2]",0.36335403726708076,0.01753346165729943
two_usv_independent,4,open_water,static,independent,anomaly_upper_tail,False,232,,,0.3333333333333333,1,0.650972590627763,480,"[240, 240]",0.0375,0.3958333333333333,0,0.000992063492063492,0,0,0,"[0, 0]",0.30387931034482757,0.02122150230547728
