episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,41,,0.3333333333333333,1,0.34858532272325377,28.664247368492635,240,0.0026041666666666665,0.0026041666666666665,15.425,0,0.2926829268292683,0.022475905208455948
1,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,119,,0.6666666666666666,2,0.4336870026525199,30.779383783787175,240,0.0026041666666666665,0.0026041666666666665,14.904166666666667,0,0.3949579831932773,0.021759854902558683
2,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,224,,0.3333333333333333,1,0.3737842617152962,28.852497297201488,240,0.0026041666666666665,0.0026041666666666665,16.995833333333334,0,0.3482142857142857,0.020572819269212297
3,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,7,,0.3333333333333333,1,0.42108753315649866,32.13596388892862,240,0.0026041666666666665,0.0026041666666666665,12.779166666666667,0,0.2857142857142857,0.030926583029110017
4,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,23,,0.6666666666666666,2,0.4374447391688771,28.890913888820553,240,0.0026041666666666665,0.0026041666666666665,14.283333333333333,0,0.6521739130434783,0.020168976652487836
5,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,164,,0.6666666666666666,2,0.47413793103448276,31.825108571397973,240,0.0026041666666666665,0.0026041666666666665,11.2,0,0.4329268292682927,0.02294887296229619
6,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,93,,0.6666666666666666,2,0.38417329796640143,32.6902368420681,240,0.0026041666666666665,0.0026041666666666665,15.845833333333333,0,0.25806451612903225,0.026158186549572533
7,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,67,,0.6666666666666666,2,0.39235190097259065,33.1657461539903,240,0.0026041666666666665,0.0026041666666666665,13.416666666666666,0,0.11940298507462686,0.02406348364489367
8,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,44,,0.3333333333333333,1,0.3253757736516357,27.402534146437198,240,0.0026041666666666665,0.0026041666666666665,14.820833333333333,0,0.1590909090909091,0.02447699541461381
9,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,200,,0.3333333333333333,1,0.3271441202475685,28.299518421040137,240,0.0026041666666666665,0.0026041666666666665,13.941666666666666,0,0.345,0.0206746984647131
0,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.45614035087719296,39.68619459450368,240,0.0026041666666666665,0.0026041666666666665,6.2875,0,0.23333333333333334,0.019933629262692917
1,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,7,,0.6666666666666666,2,0.5233004385964912,35.24031621627482,240,0.0026041666666666665,0.0026041666666666665,7.995833333333334,0,1.0,0.040687227814261956
2,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,74,,0.6666666666666666,2,0.4536732456140351,32.55418648648235,240,0.0067708333333333336,0.0067708333333333336,5.866666666666666,0,0.4594594594594595,0.023704614620800132
3,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,104,195,1.0,3,0.44709429824561403,31.268724137934722,195,0.003205128205128205,0.003205128205128205,9.04102564102564,0,0.625,0.03165878138960985
4,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,49,,0.6666666666666666,2,0.5263157894736842,36.34591388885787,240,0.0026041666666666665,0.0026041666666666665,9.691666666666666,0,0.24489795918367346,0.032886616134794135
5,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,17,211,1.0,3,0.4745065789473684,38.852731250131,211,0.002962085308056872,0.002962085308056872,7.914691943127962,0,0.29411764705882354,0.03001377007977813
6,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.42406798245614036,35.43932222212081,240,0.0026041666666666665,0.0026041666666666665,6.4375,0,0.2625,0.024501717284664114
7,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,15,,0.3333333333333333,1,0.4986293859649123,37.287897222187084,240,0.0026041666666666665,0.0026041666666666665,9.533333333333333,0,0.0,0.028087609397531896
8,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,169,,0.3333333333333333,1,0.4602521929824561,39.118055555566876,240,0.0026041666666666665,0.0026041666666666665,6.7375,0,0.14792899408284024,0.023914989085062874
9,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,11,,0.3333333333333333,1,0.4882127192982456,36.78951388891013,240,0.0026041666666666665,0.0026041666666666665,5.975,0,0.5454545454545454,0.031810665432798486
