map_kind,baseline_clue_acquisition_mode,challenger_clue_acquisition_mode,target_motion_mode,policy_name,path_safety_mode,time_to_first_detection_delta_mean,time_to_all_found_delta_mean,detection_rate_delta_mean,found_count_delta_mean,known_free_observation_ratio_final_delta_mean,planning_time_ms_mean_delta_mean,path_length_delta_mean,clearance_penalty_raw_mean_delta_mean,near_obstacle_step_ratio_delta_mean,min_clearance_cells_mean_delta_mean,path_invalidations_per_episode_delta_mean,anomaly_top_band_selection_ratio_pre_first_detection_delta_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_delta_mean
ALL,ucb,anomaly_upper_tail,random_walk,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,2.875,39.0,-0.13333333333333333,-0.4,0.021500547172962903,0.4232906887867985,5.4,0.006371096551003075,0.006371096551003075,-0.14752432039627134,0.0,0.03463613079223223,-0.0008440949365569262
open_water,ucb,anomaly_upper_tail,random_walk,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,-1.8888888888888888,,-0.1,-0.3,0.020247568523430588,0.024629329954471403,0.0,0.0,0.0,-0.44666666666666666,0.0,0.0494403180934183,1.4888736205873749e-05
harbor_cove,ucb,anomaly_upper_tail,random_walk,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,10.75,,-0.1,-0.3,0.011129385964912291,-0.10896670370769712,7.4,-0.0005125546846518411,-0.0005125546846518411,0.1002615749179732,0.0,0.02103625284026451,-0.0006648253652735949
peninsula_passage,ucb,anomaly_upper_tail,random_walk,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,0.0,39.0,-0.2,-0.6,0.03312468703054583,1.354209440113621,8.8,0.01962584433766107,0.01962584433766107,-0.09616786944012054,0.0,0.03343182144301386,-0.0018823481806030575
