map_kind,system_name,target_motion_mode,clue_acquisition_mode,policy_name,path_safety_mode,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,path_length_mean,path_length_std,clearance_penalty_raw_mean_mean,clearance_penalty_raw_mean_std,near_obstacle_step_ratio_mean,near_obstacle_step_ratio_std,min_clearance_cells_mean_mean,min_clearance_cells_mean_std,path_invalidations_per_episode_mean,path_invalidations_per_episode_std
ALL,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,79.48148148148148,64.43392847363843,176.5,39.68311983702894,0.5222222222222221,0.2813108644704925,1.5666666666666667,0.8439325934114776,0.42929260285250037,0.05929030135461317,35.93741048696973,5.327063808011361,231.53333333333333,25.998376017658398,0.004359946992540468,0.007852116029605791,0.004359946992540468,0.007852116029605791,8.890039335411284,4.22683897225694,0.0,0.0
open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,98.2,72.20360101823177,,,0.4999999999999999,0.16666666666666666,1.5,0.5,0.39177718832891245,0.04724231096794972,30.27061503621642,1.9747743193239853,240.0,0.0,0.002604166666666667,4.336808689942018e-19,0.002604166666666667,4.336808689942018e-19,14.361249999999998,1.5605577372814148,0.0,0.0
harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,55.75,53.70463201624232,203.0,8.0,0.4999999999999999,0.3415650255319866,1.5,1.02469507659596,0.47521929824561404,0.031780091611538754,36.25828554629693,2.6140583642362207,232.6,15.226293048539425,0.0031167213513185075,0.0012338252950920684,0.0031167213513185075,0.0012338252950920684,7.548071758415359,1.410006735404719,0.0,0.0
peninsula_passage,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,79.77777777777777,56.64661954762031,150.0,41.0,0.5666666666666667,0.3,1.7,0.9,0.4208813219829744,0.06096549854842281,41.28333087839585,3.688549224849312,222.0,40.400495046471896,0.007358952959636229,0.013031594001885357,0.007358952959636229,0.013031594001885357,4.760796247818499,0.6239968400916276,0.0,0.0
ALL,single_usv_infosampled,random_walk,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,85.44,63.640917655231846,148.0,0.0,0.3888888888888889,0.24469683939494713,1.1666666666666667,0.7340905181848414,0.4507931500254632,0.04953876742839866,36.36070117575653,5.90195118117743,236.93333333333334,16.514505408545812,0.010731043543543544,0.018065857514429306,0.010731043543543544,0.018065857514429306,8.742515015015014,4.1537269391796565,0.0,0.0
open_water,single_usv_infosampled,random_walk,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,85.0,58.746158266827216,,,0.39999999999999997,0.19999999999999998,1.2,0.6,0.4120247568523431,0.04136700471463235,30.29524436617089,1.7572310001940032,240.0,0.0,0.002604166666666667,4.336808689942018e-19,0.002604166666666667,4.336808689942018e-19,13.914583333333335,1.9563085720730937,0.0,0.0
harbor_cove,single_usv_infosampled,random_walk,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,66.5,61.14327436439759,,,0.4,0.24944382578492943,1.2,0.7483314773547883,0.4863486842105263,0.033606785360066976,36.14931884258924,3.8517556679471445,240.0,0.0,0.002604166666666667,4.336808689942018e-19,0.002604166666666667,4.336808689942018e-19,7.648333333333333,1.7489095809166988,0.0,0.0
peninsula_passage,single_usv_infosampled,random_walk,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,104.875,65.56759393938441,148.0,0.0,0.36666666666666664,0.27688746209726917,1.1,0.8306623862918076,0.4540060090135203,0.04176262145015479,42.63754031850946,3.2159045846666143,230.8,27.6,0.026984797297297296,0.024142262871642523,0.026984797297297296,0.024142262871642523,4.664628378378379,0.5457388031577152,0.0,0.0
