map_kind,system_name,assignment_mode,target_motion_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,duplicate_viewpoint_ratio_mean,duplicate_viewpoint_ratio_std,cross_region_assignment_ratio_mean,cross_region_assignment_ratio_std,conflict_intervention_count_mean,conflict_intervention_count_std,wait_count_total_mean,wait_count_total_std,reservation_wait_fallback_count_mean,reservation_wait_fallback_count_std,reservation_near_neighbor_step_ratio_mean_mean,reservation_near_neighbor_step_ratio_mean_std,reservation_same_cell_violation_count_mean,reservation_same_cell_violation_count_std,reservation_swap_violation_count_mean,reservation_swap_violation_count_std
ALL,two_usv_independent,independent,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,85.43333333333334,56.841113836924606,172.25,43.86556166288082,0.7333333333333335,0.24944382578492943,2.2,0.7483314773547883,0.7295507889982903,0.1396527618779143,107.41647927086134,12.743256929189558,0.022825158712255485,0.04930882789370383,0.2771686327951286,0.15957228488707353,0.16666666666666666,0.6368324391514268,0.16666666666666666,0.6368324391514268,0.0,0.0,0.0003133718133718134,0.0008705975982556243,0.0,0.0,0.0,0.0
open_water,two_usv_independent,independent,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,84.6,62.69481637264759,177.66666666666666,45.18726467588947,0.8333333333333333,0.22360679774997896,2.5,0.6708203932499369,0.6508178603006188,0.08065471096475413,98.99249163896789,8.625124502488463,0.024308809470099793,0.027616203493525962,0.3168222969933435,0.12640751908036366,0.0,0.0,0.0,0.0,0.0,0.0,5.445075757575758e-05,0.00010903010359535468,0.0,0.0,0.0,0.0
harbor_cove,two_usv_independent,independent,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,78.7,41.95962344921603,186.0,24.829418035870273,0.7333333333333333,0.24944382578492943,2.2,0.7483314773547882,0.8222861842105262,0.09138072391308646,112.53861740572498,13.97914384980492,0.0062499999999999995,0.012254534308210618,0.13795361023197159,0.12016061097357754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peninsula_passage,two_usv_independent,independent,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,93.0,62.43556678688838,128.5,42.5,0.6333333333333334,0.23333333333333334,1.9,0.7,0.7155483224837256,0.16928752447161255,110.71832876789117,10.452773758055482,0.03791666666666667,0.07665874053230981,0.3767299911600707,0.12290976092878297,0.5,1.02469507659596,0.5,1.02469507659596,0.0,0.0,0.0008856646825396825,0.001330102190105894,0.0,0.0,0.0,0.0
ALL,two_usv_independent,independent,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,75.6,53.07077036059178,174.07692307692307,33.896815231526354,0.7666666666666665,0.23013683530231088,2.3,0.6904105059069326,0.7376163920908897,0.1225972196055859,102.47438500623005,10.595181077995527,0.030499285968420144,0.0596976727700766,0.2753886179694676,0.13301959472364333,0.06666666666666667,0.35901098714230023,0.06666666666666667,0.35901098714230023,0.0,0.0,0.00016334878249545435,0.0003946115810185446,0.0,0.0,0.0,0.0
open_water,two_usv_independent,independent,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,65.1,40.628684448305734,181.0,28.928483245015506,0.8666666666666666,0.22110831935702666,2.6,0.66332495807108,0.6583112290008842,0.11610090147156074,100.49249581397224,11.791637427696728,0.021544179229480737,0.034903262987274065,0.25275689119767286,0.11994378801795695,0.0,0.0,0.0,0.0,0.0,0.0,0.00013910388716890264,0.00023067832651063963,0.0,0.0,0.0,0.0
harbor_cove,two_usv_independent,independent,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,68.3,46.27753234562102,136.66666666666666,32.396844839514166,0.7333333333333334,0.20000000000000004,2.2,0.6,0.8061403508771929,0.1210367393585353,102.25989775479322,11.094889745739797,0.011620345342446357,0.0124184225191712,0.2265934841230001,0.15183233898277265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peninsula_passage,two_usv_independent,independent,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,93.4,64.62847669564864,195.33333333333334,3.6817870057290873,0.7,0.23333333333333334,2.1,0.7,0.7483975963945919,0.07654963736875674,104.67076144992473,8.113959298414596,0.05833333333333333,0.0900424282707263,0.3468154785877299,0.08745347182760821,0.2,0.6000000000000001,0.2,0.6000000000000001,0.0,0.0,0.0003509424603174603,0.0005928578089636565,0.0,0.0,0.0,0.0
