episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
5,harbor_cove,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,19,215,1.0,3,0.6407657657657657,22.666347368421587,215,0.0029069767441860465,0.0029069767441860465,4.474418604651163,0,0.0,0.06414031235102911
6,harbor_cove,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,44,,0.6666666666666666,2,0.6779279279279279,23.496409523843234,240,0.0026041666666666665,0.0026041666666666665,5.2375,0,0.36363636363636365,0.05601173701408703
7,harbor_cove,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,51,224,1.0,3,0.7308558558558559,22.228959459474986,224,0.007254464285714286,0.007254464285714286,4.879464285714286,0,0.47058823529411764,0.06954497552831548
8,harbor_cove,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,12,163,1.0,3,0.6283783783783784,20.853281481457223,163,0.003834355828220859,0.003834355828220859,7.110429447852761,0,1.0,0.09037161315277616
9,harbor_cove,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,18,,0.6666666666666666,2,0.7640765765765766,25.438076315798465,240,0.0026041666666666665,0.0026041666666666665,5.833333333333333,0,0.0,0.05851385633273638
0,peninsula_passage,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,66,,0.6666666666666666,2,0.6878552971576227,32.61867567569523,240,0.0026041666666666665,0.0026041666666666665,3.2416666666666667,0,0.3333333333333333,0.04746223373457724
1,peninsula_passage,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,34,,0.3333333333333333,1,0.6356589147286822,31.438581579047757,240,0.005729166666666666,0.005729166666666666,3.316666666666667,0,0.5294117647058824,0.05458748806669546
2,peninsula_passage,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,58,230,1.0,3,0.7255813953488373,26.458370270193956,230,0.002717391304347826,0.002717391304347826,3.1565217391304348,0,0.1206896551724138,0.05731336287636223
3,peninsula_passage,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,82,,0.6666666666666666,2,0.6997416020671835,33.941370270268465,240,0.005729166666666666,0.005729166666666666,3.0375,0,0.2073170731707317,0.05299106862756386
4,peninsula_passage,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,33,162,1.0,3,0.524031007751938,25.92385200005083,162,0.0038580246913580245,0.0038580246913580245,3.537037037037037,0,0.15151515151515152,0.06329832770406016
5,peninsula_passage,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,87,,0.6666666666666666,2,0.7452196382428941,35.203408108041124,240,0.0026041666666666665,0.0026041666666666665,3.8625,0,0.08045977011494253,0.04508629989554135
6,peninsula_passage,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,93,,0.6666666666666666,2,0.7090439276485788,34.8833459460169,240,0.0026041666666666665,0.0026041666666666665,3.7125,0,0.3655913978494624,0.05551262379665458
7,peninsula_passage,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,19,,0.3333333333333333,1,0.7095607235142118,31.906216216255515,240,0.0026041666666666665,0.0026041666666666665,3.7,0,0.0,0.04820237678803954
8,peninsula_passage,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,42,,0.6666666666666666,2,0.6795865633074936,33.717467567569386,240,0.0026041666666666665,0.0026041666666666665,3.8,0,0.30952380952380953,0.04401947240834231
9,peninsula_passage,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,37,182,1.0,3,0.7354005167958656,32.96166666667786,182,0.003434065934065934,0.003434065934065934,3.9450549450549453,0,0.6486486486486487,0.04317265177139875
0,open_water,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,66,89,1.0,3,0.37568058076225047,19.256964285692188,89,0.007022471910112359,0.007022471910112359,7.359550561797753,0,0.15151515151515152,0.051457584626676614
1,open_water,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,59,,0.6666666666666666,2,0.6878402903811253,22.326381578846178,240,0.0026041666666666665,0.0026041666666666665,6.629166666666666,0,0.4745762711864407,0.04890491592383987
2,open_water,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,54,,0.3333333333333333,1,0.6751361161524501,21.826246153861387,240,0.0026041666666666665,0.0026041666666666665,7.3125,0,0.18518518518518517,0.05230235381326602
3,open_water,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,51,239,1.0,3,0.7173321234119783,20.866200000072194,239,0.002615062761506276,0.002615062761506276,10.02092050209205,0,0.17647058823529413,0.05418553453413443
4,open_water,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,37,110,1.0,3,0.426043557168784,26.843735294171303,110,0.005681818181818182,0.005681818181818182,7.336363636363636,0,0.43243243243243246,0.05105170368153453
5,open_water,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,12,89,1.0,3,0.3720508166969147,22.124230769315126,89,0.007022471910112359,0.007022471910112359,7.955056179775281,0,0.0,0.05486022763092142
6,open_water,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,71,,0.6666666666666666,2,0.7177858439201452,23.735008108102388,240,0.0026041666666666665,0.0026041666666666665,6.195833333333334,0,0.16901408450704225,0.06107177005492121
7,open_water,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,43,125,1.0,3,0.46597096188747733,21.530510526310152,125,0.005,0.005,8.128,0,0.18604651162790697,0.050883030642712115
8,open_water,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,73,,0.6666666666666666,2,0.6742286751361162,26.45252051264927,240,0.0026041666666666665,0.0026041666666666665,6.4625,0,0.4520547945205479,0.0470991703076924
9,open_water,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,50,75,1.0,3,0.31669691470054445,20.87200909086691,75,0.008333333333333333,0.008333333333333333,7.64,0,0.44,0.04878667280432122
0,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,58,173,1.0,3,0.6576576576576577,20.787444444438194,173,0.0036127167630057803,0.0036127167630057803,6.38728323699422,0,0.15517241379310345,0.08812559040200865
1,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,39,178,1.0,3,0.6289414414414415,22.639848275910733,178,0.0035112359550561797,0.0035112359550561797,5.99438202247191,0,0.4358974358974359,0.05933124483660547
2,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,38,,0.6666666666666666,2,0.7781531531531531,19.444735897475486,240,0.0026041666666666665,0.0026041666666666665,6.241666666666666,0,0.07894736842105263,0.04804127281999995
3,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,37,,0.6666666666666666,2,0.7122747747747747,24.651402564114296,240,0.0026041666666666665,0.0026041666666666665,5.9,0,0.24324324324324326,0.0533949402579752
4,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,39,,0.6666666666666666,2,0.8113738738738738,24.412783783854803,240,0.0026041666666666665,0.0026041666666666665,4.370833333333334,0,0.10256410256410256,0.0692358942640006
5,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,19,208,1.0,3,0.6266891891891891,35.80077499998424,208,0.0030048076923076925,0.0030048076923076925,4.6201923076923075,0,0.0,0.06414031235102911
6,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,44,,0.6666666666666666,2,0.7393018018018018,22.45872307685204,240,0.0026041666666666665,0.0026041666666666665,4.979166666666667,0,0.36363636363636365,0.05601173701408703
7,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,51,,0.6666666666666666,2,0.7663288288288288,26.745664102492857,240,0.0026041666666666665,0.0026041666666666665,5.254166666666666,0,0.47058823529411764,0.06911254587079761
8,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,5,,0.6666666666666666,2,0.7775900900900901,22.589535135183894,240,0.0026041666666666665,0.0026041666666666665,5.741666666666666,0,1.0,0.08176000449610644
9,harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,18,104,1.0,3,0.45326576576576577,22.3130750001701,104,0.006009615384615385,0.006009615384615385,3.9038461538461537,0,0.0,0.05851385633273638
0,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,66,,0.6666666666666666,2,0.6961240310077519,32.322751351367096,240,0.0026041666666666665,0.0026041666666666665,3.1958333333333333,0,0.3333333333333333,0.047282798509283054
1,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,34,,0.3333333333333333,1,0.6925064599483204,34.05333513507464,240,0.005729166666666666,0.005729166666666666,3.2125,0,0.5294117647058824,0.05458748806669546
2,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,58,178,1.0,3,0.7198966408268734,24.57213571428188,178,0.0035112359550561797,0.0035112359550561797,3.9831460674157304,0,0.1206896551724138,0.05611751099847723
3,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,106,,0.6666666666666666,2,0.6609819121447028,29.07289729734436,240,0.0026041666666666665,0.0026041666666666665,3.470833333333333,0,0.19811320754716982,0.06168266429226954
4,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,33,231,1.0,3,0.6392764857881137,33.06603888886962,231,0.0027056277056277055,0.0027056277056277055,2.7965367965367967,0,0.3939393939393939,0.06844203714495088
5,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,87,,0.6666666666666666,2,0.7483204134366925,38.05368055544831,240,0.0026041666666666665,0.0026041666666666665,3.629166666666667,0,0.08045977011494253,0.04508629989554135
6,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,88,,0.6666666666666666,2,0.6914728682170542,29.955230555540563,240,0.005729166666666666,0.005729166666666666,3.225,0,0.25,0.05150171059744732
7,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,19,222,1.0,3,0.7426356589147287,29.605041176583814,222,0.002815315315315315,0.002815315315315315,3.9054054054054053,0,0.0,0.04820237678803954
8,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,42,,0.6666666666666666,2,0.8770025839793282,35.78153055562123,240,0.0026041666666666665,0.0026041666666666665,3.75,0,0.30952380952380953,0.04401947240834231
9,peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,37,146,1.0,3,0.5710594315245479,26.61758636370657,146,0.004280821917808219,0.004280821917808219,3.691780821917808,0,0.6486486486486487,0.04317265177139875
