map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,path_safety_mode,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,path_length_mean,path_length_std,clearance_penalty_raw_mean_mean,clearance_penalty_raw_mean_std,near_obstacle_step_ratio_mean,near_obstacle_step_ratio_std,min_clearance_cells_mean_mean,min_clearance_cells_mean_std,path_invalidations_per_episode_mean,path_invalidations_per_episode_std
ALL,single_usv_infosampled,static,ucb,no_alpha_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,62.68181818181818,57.61501253511526,195.0,0.0,0.3444444444444444,0.26504134315281247,1.0333333333333334,0.7951240294584375,0.35912933844590866,0.06908067181756407,46.17932716092438,5.166207704262316,238.5,8.077747210701755,0.008619569088319089,0.01580178961030251,0.008619569088319089,0.01580178961030251,10.086260683760681,5.3773768041094385,0.0,0.0
open_water,single_usv_infosampled,static,ucb,no_alpha_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,52.857142857142854,33.26700884586741,195.0,0.0,0.3,0.2768874620972691,0.9,0.8306623862918076,0.3196507515473033,0.01941597303179458,44.303726601028565,1.5822080537883372,235.5,13.5,0.0026642628205128206,0.00018028846153846155,0.0026642628205128206,0.00018028846153846155,16.702115384615382,1.7227013658469248,0.0,0.0
harbor_cove,single_usv_infosampled,static,ucb,no_alpha_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,76.77777777777777,80.2742213745107,,,0.4333333333333333,0.21343747458109494,1.3,0.6403124237432849,0.43815789473684214,0.03659148288770918,48.744595031429654,5.197680007533421,240.0,0.0,0.002604166666666667,4.336808689942018e-19,0.002604166666666667,4.336808689942018e-19,9.5125,1.7437198822568314,0.0,0.0
peninsula_passage,single_usv_infosampled,static,ucb,no_alpha_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,53.0,26.645825188948457,,,0.3,0.27688746209726917,0.9,0.8306623862918076,0.31957936905358036,0.05685269928271662,45.489659850314965,6.322636209485822,240.0,0.0,0.020590277777777777,0.023110788718037147,0.020590277777777777,0.023110788718037147,4.0441666666666665,0.3669468626381754,0.0,0.0
ALL,single_usv_infosampled,static,anomaly_upper_tail,no_alpha_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,75.1923076923077,65.76240405415733,226.4,13.169662106523463,0.45555555555555555,0.30408738185342243,1.3666666666666667,0.9122621455602672,0.37552788041342733,0.07052977042091269,43.32904408926255,4.911475735426881,237.73333333333332,7.388880534665284,0.0038132694784599724,0.002833492463931141,0.0038132694784599724,0.002833492463931141,9.496714187465477,4.608621042539949,0.0,0.0
open_water,single_usv_infosampled,static,anomaly_upper_tail,no_alpha_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,90.11111111111111,76.62092032923363,219.0,16.0,0.4666666666666666,0.3055050463303894,1.4,0.9165151389911681,0.3483863837312113,0.040453398435502476,46.01794082732472,3.949831584143747,235.8,11.034491379306978,0.002657172553540859,0.00014151587180812929,0.002657172553540859,0.00014151587180812929,14.607032194389125,2.6086344781815596,0.0,0.0
harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,no_alpha_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,72.22222222222223,65.2069828874481,230.0,9.0,0.4999999999999999,0.3073181485764296,1.5,0.9219544457292888,0.4627741228070176,0.0315957424423242,43.31751832910657,4.896583702957345,238.0,5.674504383644443,0.0026276450393482144,6.688202807688977e-05,0.0026276450393482144,6.688202807688977e-05,9.779018487665423,1.2114215807677435,0.0,0.0
peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,no_alpha_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,61.75,47.18249145604755,234.0,0.0,0.4,0.2905932629027116,1.2,0.8717797887081347,0.3154231347020531,0.018095000702844543,40.651673111356374,4.28852729167616,239.4,1.8,0.006154990842490842,0.00397939873908425,0.006154990842490842,0.00397939873908425,4.104091880341881,0.4125850906565895,0.0,0.0
