case_name,case_source,source_policy_step,source_tick_global,source_capture_phase,observer_world_location,observer_heading_deg,target_world_location,nominal_target_range_m,nominal_world_bearing_deg,nominal_relative_bearing_deg,source_5d10_rgb_changed_pixels,source_5d10_local_candidate_count,source_5d10_rangefinder_hit_beam_indices,baseline_launch_ok,target_launch_ok,baseline_error,target_error,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,tick,rgb_changed_pixels,rgb_change_bbox_xyxy,sphere_blob_candidate_count,sphere_blob_local_candidate_count,sphere_blob_white_neutral_changed_pixels,sphere_blob_largest,sphere_blob_local_best,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,matched,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,matched_range_m,beam_yaw_error_deg,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,roi_xyxy,diff_ge_threshold_roi_pixels,bright_roi_pixels,neutral_roi_pixels,diff_and_bright_roi_pixels,diff_and_neutral_roi_pixels,white_neutral_mask_pixels,max_diff_roi,target_rgb_preview_path,baseline_rgb_preview_path,diff_preview_path,white_neutral_mask_preview_path,overlay_preview_path
control_5d9_planner_front_center_30m,phase5d9_known_good_static_geometry,,,static_control,"[-300.0, 221.0, 0.0]",0.0,"[-270.0, 221.0, 0.5]",30.0,0.0,0.0,,,,True,True,,,False,False,False,False,7,91,"[27, 126, 293, 185]",1,1,22,"{""area"": 21, ""aspect"": 1.2, ""cx"": 159.42857142857142, ""cy"": 128.1904761904762, ""fill"": 0.7, ""h"": 5, ""w"": 6, ""x"": 157, ""y"": 126}","{""area"": 21, ""aspect"": 1.2, ""cx"": 159.42857142857142, ""cy"": 128.1904761904762, ""fill"": 0.7, ""h"": 5, ""w"": 6, ""x"": 157, ""y"": 126}",True,21,18395.21819331772,True,0.18928571428571833,30,0.0,29.596668243408203,0.18928571428571833,[30],29.596668243408203,"[25, 43, 294, 196]",284,41157,15150,284,22,22,68.0,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_control_5d9_planner_front_center_30m_tick7_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_control_5d9_planner_front_center_30m_tick7_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_control_5d9_planner_front_center_30m_tick7_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_control_5d9_planner_front_center_30m_tick7_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_control_5d9_planner_front_center_30m_tick7_overlay.png
target_range_hit_failure_1,phase5d10_target_event,16,5305,post_arrival_scan,"[-293.0906677246094, 222.17359924316406, 0.16645634174346924]",23.104952575595107,"[-270.0, 221.0, 0.5]",23.120472987200593,-2.909594153544118,-26.014546729139226,0,0,[56],True,True,,,False,False,False,False,13,56,"[234, 129, 291, 150]",1,1,38,"{""area"": 38, ""aspect"": 1.3333333333333333, ""cx"": 237.1578947368421, ""cy"": 131.6578947368421, ""fill"": 0.7916666666666666, ""h"": 6, ""w"": 8, ""x"": 234, ""y"": 129}","{""area"": 38, ""aspect"": 1.3333333333333333, ""cx"": 237.1578947368421, ""cy"": 131.6578947368421, ""fill"": 0.7916666666666666, ""h"": 6, ""w"": 8, ""x"": 234, ""y"": 129}",True,38,19578.839737055205,True,-25.558552631578948,56,-26.0,22.6987361907959,0.44144736842105203,"[55, 56, 57]",22.6987361907959,"[25, 43, 294, 196]",86,41149,16264,78,37,37,113.0,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_1_tick13_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_1_tick13_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_1_tick13_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_1_tick13_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_1_tick13_overlay.png
target_range_hit_failure_2,phase5d10_target_event,16,5306,post_arrival_scan,"[-293.0903015136719, 222.1725616455078, 0.16640707850456238]",25.10841511638483,"[-270.0, 221.0, 0.5]",23.12005460211532,-2.907072175909986,-28.015487292294807,0,0,[58],True,True,,,False,False,False,False,13,56,"[241, 129, 249, 136]",1,1,40,"{""area"": 40, ""aspect"": 1.5, ""cx"": 244.55, ""cy"": 131.65, ""fill"": 0.7407407407407407, ""h"": 6, ""w"": 9, ""x"": 241, ""y"": 129}","{""area"": 40, ""aspect"": 1.5, ""cx"": 244.55, ""cy"": 131.65, ""fill"": 0.7407407407407407, ""h"": 6, ""w"": 9, ""x"": 241, ""y"": 129}",True,40,20607.978467198554,True,-28.007187500000004,58,-28.0,22.69800567626953,0.007187500000004121,"[57, 58, 59]",22.69800567626953,"[25, 43, 294, 196]",60,41148,16430,51,39,39,118.0,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_2_tick13_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_2_tick13_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_2_tick13_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_2_tick13_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_2_tick13_overlay.png
target_range_hit_failure_3,phase5d10_target_event,16,5307,post_arrival_scan,"[-293.0898742675781, 222.1715087890625, 0.16643591225147247]",27.16575867515015,"[-270.0, 221.0, 0.5]",23.119574531885686,-2.904520005353138,-30.070278680503293,0,0,[60],True,True,,,False,False,False,False,13,68,"[248, 129, 256, 137]",1,1,42,"{""area"": 42, ""aspect"": 1.5, ""cx"": 251.88095238095238, ""cy"": 131.76190476190476, ""fill"": 0.7777777777777778, ""h"": 6, ""w"": 9, ""x"": 248, ""y"": 129}","{""area"": 42, ""aspect"": 1.5, ""cx"": 251.88095238095238, ""cy"": 131.76190476190476, ""fill"": 0.7777777777777778, ""h"": 6, ""w"": 9, ""x"": 248, ""y"": 129}",True,42,21638.72287015801,True,-30.435565476190476,60,-30.0,22.69818687438965,0.4355654761904759,[60],22.69818687438965,"[25, 43, 294, 196]",81,41137,16617,61,45,42,120.0,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_3_tick13_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_3_tick13_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_3_tick13_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_3_tick13_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_range_hit_failure_3_tick13_overlay.png
target_best_candidate_failure,phase5d10_target_event,19,6216,standoff_viewpoint_hold,"[-268.19439697265625, 212.72540283203125, 0.2446833848953247]",241.81635079764115,"[-270.0, 221.0, 0.5]",8.4693069719139,102.30957814933655,-139.5067726483046,9509,6,[],True,True,,,False,False,False,False,13,361,"[25, 127, 293, 181]",0,0,6,"{""area"": 3, ""aspect"": 3.0, ""cx"": 275.0, ""cy"": 120.0, ""fill"": 1.0, ""h"": 1, ""w"": 3, ""x"": 274, ""y"": 120}",,False,0,,False,,,,,,[],,"[25, 43, 294, 196]",878,41157,15385,878,6,6,56.0,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_best_candidate_failure_tick13_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_best_candidate_failure_tick13_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_best_candidate_failure_tick13_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_best_candidate_failure_tick13_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_best_candidate_failure_tick13_overlay.png
target_large_diff_failure,phase5d10_target_event,18,6084,post_arrival_scan,"[-269.8313903808594, 218.09617614746094, 0.9978574514389038]",0.10278148468099978,"[-270.0, 221.0, 0.5]",2.9087148657511186,93.32313012454753,93.22034863986653,24542,0,[],True,True,,,False,False,False,False,13,2,"[26, 153, 33, 178]",0,0,1,"{""area"": 1, ""aspect"": 1.0, ""cx"": 144.0, ""cy"": 131.0, ""fill"": 1.0, ""h"": 1, ""w"": 1, ""x"": 144, ""y"": 131}",,False,0,,False,,,,,,[],,"[25, 43, 294, 196]",25,41157,15184,25,1,1,29.0,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_large_diff_failure_tick13_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_large_diff_failure_tick13_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_large_diff_failure_tick13_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_large_diff_failure_tick13_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_large_diff_failure_tick13_overlay.png
target_standoff_candidate_failure,phase5d10_target_event,19,6216,standoff_viewpoint_hold,"[-268.19439697265625, 212.72540283203125, 0.2446833848953247]",241.81635079764115,"[-270.0, 221.0, 0.5]",8.4693069719139,102.30957814933655,-139.5067726483046,9509,6,[],True,True,,,False,False,False,False,7,93,"[26, 128, 293, 173]",0,0,4,"{""area"": 3, ""aspect"": 3.0, ""cx"": 174.0, ""cy"": 130.0, ""fill"": 1.0, ""h"": 1, ""w"": 3, ""x"": 173, ""y"": 130}",,False,0,,False,,,,,,[],,"[25, 43, 294, 196]",351,41157,15127,351,4,4,50.0,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_standoff_candidate_failure_tick7_target_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_standoff_candidate_failure_tick7_baseline_rgb.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_standoff_candidate_failure_tick7_diff.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_standoff_candidate_failure_tick7_white_neutral_mask.png,baseline_GP\results\holoocean_bridge_v1\phase5d11_live_target_rgb_range_sync_diagnostic\visuals\phase5d11_target_standoff_candidate_failure_tick7_overlay.png
