phase_name,run_kind,policy_step,observation_phase,sensor_id,sensor_role,sensor_footprint,source_model,reporter_usv_id,observer_world_location,observer_grid_cell,sample_index,sample_grid_cell,sample_world_xy,clue_value,noise_std,signal_without_noise,distance_to_registered_source_m,registered_source_world_location_for_audit,registered_source_not_exposed_to_planner,used_for_gp_observation,used_for_detection,directly_updates_found_mask,detected_mask_from_clue,found_mask_from_clue,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
phase5e_bridge_clue_sensor_realized_search,teammate_only,11,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-383.68194580078125, -56.63567352294922, 0.17153041064739227]","[46, 2]",3,"[48, 6]","[-340.0, -80.0]",0.02465999706081941,0.03,2.356302755248023e-17,309.0323607650176,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,11,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-383.68194580078125, -56.63567352294922, 0.17153041064739227]","[46, 2]",4,"[43, 6]","[-340.0, -30.0]",0.0,0.03,1.8394643570432175e-12,260.578203232734,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,11,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-383.68194580078125, -56.63567352294922, 0.17153041064739227]","[46, 2]",5,"[47, 1]","[-390.0, -70.0]",0.025672400247909365,0.03,5.465493200403556e-18,314.77134558278965,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-334.2372131347656, 221.6486053466797, 0.17112615704536438]","[18, 7]",0,"[14, 9]","[-310.0, 260.0]",0.5920377384101534,0.03,0.5594895826376259,55.86591089385369,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-334.2372131347656, 221.6486053466797, 0.17112615704536438]","[18, 7]",1,"[19, 11]","[-290.0, 210.0]",1.610410832589209,0.03,1.6168731331204982,22.825424421026653,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-334.2372131347656, 221.6486053466797, 0.17112615704536438]","[18, 7]",2,"[17, 3]","[-370.0, 230.0]",0.04116382816925371,0.03,0.03266187782267759,100.4041831797859,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-334.2372131347656, 221.6486053466797, 0.17112615704536438]","[18, 7]",3,"[18, 10]","[-300.0, 220.0]",1.4517665210824815,0.03,1.3845734010612079,30.01666203960727,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-334.2372131347656, 221.6486053466797, 0.17112615704536438]","[18, 7]",4,"[18, 3]","[-370.0, 220.0]",0.06275507476171163,0.03,0.03374599161207529,100.00499987500623,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-334.2372131347656, 221.6486053466797, 0.17112615704536438]","[18, 7]",5,"[22, 5]","[-350.0, 180.0]",0.06815755288394157,0.03,0.07388686800248556,89.89438247187641,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-378.7476806640625, -65.17676544189453, 0.17788361012935638]","[47, 2]",0,"[49, 1]","[-390.0, -90.0]",0.0,0.03,4.0121964574431186e-20,333.3481663366397,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
