run_kind,step_index,detected_mask,shared_found,accepted_candidate_count,fused_candidate_count,fused_candidates,new_found_candidate_count,found_update_trace,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection,adapter_module,mainline_step,detected_mask_returned_to_mainline,live_capture_primary_detection_source,replay_events_used_for_detection,planned_path_source
target,11,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5e_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5e_target"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 784, ""source_policy_step"": 11, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,baseline_GP.holoocean_bridge.mainline_perception_adapter,11,[false],True,False,baseline_GP_mainline_planner
target,12,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5e_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5e_target"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 672, ""source_policy_step"": 12, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,baseline_GP.holoocean_bridge.mainline_perception_adapter,12,[false],True,False,baseline_GP_mainline_planner
target,13,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5e_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5e_target"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 664, ""source_policy_step"": 13, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,baseline_GP.holoocean_bridge.mainline_perception_adapter,13,[false],True,False,baseline_GP_mainline_planner
target,14,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5e_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5e_target"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 664, ""source_policy_step"": 14, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,baseline_GP.holoocean_bridge.mainline_perception_adapter,14,[false],True,False,baseline_GP_mainline_planner
target,15,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5e_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5e_target"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 592, ""source_policy_step"": 15, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,baseline_GP.holoocean_bridge.mainline_perception_adapter,15,[false],True,False,baseline_GP_mainline_planner
target,16,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5e_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5e_target"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 736, ""source_policy_step"": 16, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,baseline_GP.holoocean_bridge.mainline_perception_adapter,16,[false],True,False,baseline_GP_mainline_planner
target,17,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5e_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5e_target"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 704, ""source_policy_step"": 17, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,baseline_GP.holoocean_bridge.mainline_perception_adapter,17,[false],True,False,baseline_GP_mainline_planner
target,18,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5e_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5e_target"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 568, ""source_policy_step"": 18, ""source_raw_sensor_detection_count"": 0, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 0, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,baseline_GP.holoocean_bridge.mainline_perception_adapter,18,[false],True,False,baseline_GP_mainline_planner
target,19,[false],False,0,0,[],0,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5e_target"", ""detected_mask_from_adapter"": [false], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5e_target"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 0, ""source_accepted_event_count"": 0, ""source_fused_candidate_count"": 0, ""source_fused_world_position_first_cluster"": null, ""source_per_agent_event_count"": 800, ""source_policy_step"": 19, ""source_raw_sensor_detection_count"": 28, ""source_reporter_usv_ids_first_cluster"": [], ""source_shared_found"": false, ""source_teammate_rejected_count"": 28, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,baseline_GP.holoocean_bridge.mainline_perception_adapter,19,[false],True,False,baseline_GP_mainline_planner
target,20,[true],True,31,1,"[{""candidate_count"": 31, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [-269.68930868387724, 221.05921739961553, 0.0], ""positions"": [[-269.53159240369666, 220.95920578734004, 0.0], [-269.52570059003807, 220.9975661199057, 0.0], [-269.5230965450115, 221.03862396781693, 0.0], [-269.524508518724, 221.08249705954344, 0.0], [-269.53076990872995, 221.12931644441593, 0.0], [-269.5431125596193, 221.1792997062761, 0.0], [-269.563386117491, 221.23282818327164, 0.0], [-269.5947649683053, 221.29059298855174, 0.0], [-269.6439391129667, 221.35419960028295, 0.0], [-269.73449496177443, 221.4299236616684, 0.0], [-269.597113333418, 220.91945281575673, 0.0], [-269.71045279656335, 221.25471656450895, 0.0], [-269.7979856114133, 220.6784063133687, 0.0], [-269.6264665032853, 221.00689221199303, 0.0], [-269.662178217713, 221.10989166591344, 0.0], [-269.746966875397, 221.2126612406014, 0.0], [-269.67780871889784, 221.07440628846922, 0.0], [-269.7434838124779, 221.16762085196996, 0.0], [-269.69163443264887, 221.01753142754862, 0.0], [-269.7294226244844, 220.8599712229232, 0.0], [-269.80767628374286, 221.1747984986174, 0.0], [-269.72545861887744, 221.00088614840465, 0.0], [-269.79750448291014, 220.81632149111365, 0.0], [-269.7710277929713, 220.86941759774572, 0.0], [-269.7630338305945, 220.91526548241987, 0.0], [-269.7661572357036, 220.95399147973427, 0.0], [-269.7765207717013, 220.98563827016244, 0.0], [-269.7910570636813, 221.01035400681718, 0.0], [-269.80758519298126, 221.02832468294713, 0.0], [-269.8244097680408, 221.03984609364235, 0.0], [-269.8392595463339, 221.04529151435005, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 0.31628435676036293}]",1,"{""actor_truth_used_for_detection"": false, ""adapter_id"": ""phase5e_target"", ""detected_mask_from_adapter"": [true], ""detection_source"": ""holoocean_sensor_event_candidate_fusion"", ""episode_id"": ""phase5e_target"", ""found_mask_before_adapter"": [false], ""known_teammate_count"": 2, ""recommended_rule_id"": ""sphere_blob_local_range_scaled_any_hit"", ""source_accepted_candidate_count"": 31, ""source_accepted_event_count"": 31, ""source_fused_candidate_count"": 1, ""source_fused_world_position_first_cluster"": [-269.68930868387724, 221.05921739961553, 0.0], ""source_per_agent_event_count"": 680, ""source_policy_step"": 20, ""source_raw_sensor_detection_count"": 55, ""source_reporter_usv_ids_first_cluster"": [""sv0""], ""source_shared_found"": true, ""source_teammate_rejected_count"": 24, ""target_truth_used_for_detection"": false, ""teammate_truth_used_for_detection"": false, ""truth_used_for_detection"": false}",False,False,False,False,baseline_GP.holoocean_bridge.mainline_perception_adapter,20,[true],True,False,baseline_GP_mainline_planner
