map_kind,system_name,assignment_mode,target_motion_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
ALL,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,0.2758406991838897,0.15441832218333257,0.02739930958014489,0.005185861117308655
open_water,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,0.28731893968252087,0.23868715094398665,0.02481998321422583,0.004318345938837579
harbor_cove,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,0.2542409022857606,0.08980445912277323,0.03089882543399004,0.005228485705869787
peninsula_passage,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,0.2859622555833875,0.0761440124942342,0.0264791200922188,0.003866265349552866
ALL,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,0.27875762383380087,0.16461162036556237,0.027399348446547154,0.005531740233413131
open_water,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,0.2934243295512771,0.2574160342477989,0.02474059725259214,0.004327761051767515
harbor_cove,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,0.25624887527701834,0.09029391665590822,0.03064176837858857,0.0052787890100205225
peninsula_passage,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,0.2865996666731073,0.07804932383506588,0.026815679708460743,0.0052232563380997625
