scene,tick,rgb_present,rangefinder_raw_beams,rangefinder_hit_beam_indices,any_rangefinder_hit,rangefinder_min_positive_range_m
target_front_center_15m,12,False,"[-1.0, -1.0, -1.0, -1.0, 12.808148384094238, -1.0, -1.0, -1.0, -1.0]",[4],True,12.808148384094238
target_front_center_20m,1,True,"[-1.0, -1.0, -1.0, -1.0, 17.8178768157959, -1.0, -1.0, -1.0, -1.0]",[4],True,17.8178768157959
target_front_center_20m,2,False,"[-1.0, -1.0, -1.0, -1.0, 17.820011138916016, -1.0, -1.0, -1.0, -1.0]",[4],True,17.820011138916016
target_front_center_20m,3,False,"[-1.0, -1.0, -1.0, -1.0, 17.822755813598633, -1.0, -1.0, -1.0, -1.0]",[4],True,17.822755813598633
target_front_center_20m,4,False,"[-1.0, -1.0, -1.0, -1.0, 17.825105667114258, -1.0, -1.0, -1.0, -1.0]",[4],True,17.825105667114258
target_front_center_20m,5,False,"[-1.0, -1.0, -1.0, -1.0, 17.827104568481445, -1.0, -1.0, -1.0, -1.0]",[4],True,17.827104568481445
target_front_center_20m,6,False,"[-1.0, -1.0, -1.0, -1.0, 17.82872772216797, -1.0, -1.0, -1.0, -1.0]",[4],True,17.82872772216797
target_front_center_20m,7,True,"[-1.0, -1.0, -1.0, -1.0, 17.829069137573242, -1.0, -1.0, -1.0, -1.0]",[4],True,17.829069137573242
target_front_center_20m,8,False,"[-1.0, -1.0, -1.0, -1.0, 17.828319549560547, -1.0, -1.0, -1.0, -1.0]",[4],True,17.828319549560547
target_front_center_20m,9,False,"[-1.0, -1.0, -1.0, -1.0, 17.827116012573242, -1.0, -1.0, -1.0, -1.0]",[4],True,17.827116012573242
target_front_center_20m,10,False,"[-1.0, -1.0, -1.0, -1.0, 17.825620651245117, -1.0, -1.0, -1.0, -1.0]",[4],True,17.825620651245117
target_front_center_20m,11,False,"[-1.0, -1.0, -1.0, -1.0, 17.823688507080078, -1.0, -1.0, -1.0, -1.0]",[4],True,17.823688507080078
target_front_center_20m,12,False,"[-1.0, -1.0, -1.0, -1.0, 17.821712493896484, -1.0, -1.0, -1.0, -1.0]",[4],True,17.821712493896484
target_front_center_25m,1,True,"[-1.0, -1.0, -1.0, -1.0, 22.812698364257812, -1.0, -1.0, -1.0, -1.0]",[4],True,22.812698364257812
target_front_center_25m,2,False,"[-1.0, -1.0, -1.0, -1.0, 22.811243057250977, -1.0, -1.0, -1.0, -1.0]",[4],True,22.811243057250977
target_front_center_25m,3,False,"[-1.0, -1.0, -1.0, -1.0, 22.810165405273438, -1.0, -1.0, -1.0, -1.0]",[4],True,22.810165405273438
target_front_center_25m,4,False,"[-1.0, -1.0, -1.0, -1.0, 22.8089656829834, -1.0, -1.0, -1.0, -1.0]",[4],True,22.8089656829834
target_front_center_25m,5,False,"[-1.0, -1.0, -1.0, -1.0, 22.807764053344727, -1.0, -1.0, -1.0, -1.0]",[4],True,22.807764053344727
target_front_center_25m,6,False,"[-1.0, -1.0, -1.0, -1.0, 22.806564331054688, -1.0, -1.0, -1.0, -1.0]",[4],True,22.806564331054688
target_front_center_25m,7,True,"[-1.0, -1.0, -1.0, -1.0, 22.805959701538086, -1.0, -1.0, -1.0, -1.0]",[4],True,22.805959701538086
target_front_center_25m,8,False,"[-1.0, -1.0, -1.0, -1.0, 22.80588150024414, -1.0, -1.0, -1.0, -1.0]",[4],True,22.80588150024414
target_front_center_25m,9,False,"[-1.0, -1.0, -1.0, -1.0, 22.80563735961914, -1.0, -1.0, -1.0, -1.0]",[4],True,22.80563735961914
target_front_center_25m,10,False,"[-1.0, -1.0, -1.0, -1.0, 22.80547523498535, -1.0, -1.0, -1.0, -1.0]",[4],True,22.80547523498535
target_front_center_25m,11,False,"[-1.0, -1.0, -1.0, -1.0, 22.805564880371094, -1.0, -1.0, -1.0, -1.0]",[4],True,22.805564880371094
target_front_center_25m,12,False,"[-1.0, -1.0, -1.0, -1.0, 22.8068790435791, -1.0, -1.0, -1.0, -1.0]",[4],True,22.8068790435791
target_front_center_30m,1,True,"[-1.0, -1.0, -1.0, -1.0, 27.801712036132812, -1.0, -1.0, -1.0, -1.0]",[4],True,27.801712036132812
target_front_center_30m,2,False,"[-1.0, -1.0, -1.0, -1.0, 27.798473358154297, -1.0, -1.0, -1.0, -1.0]",[4],True,27.798473358154297
target_front_center_30m,3,False,"[-1.0, -1.0, -1.0, -1.0, 27.796560287475586, -1.0, -1.0, -1.0, -1.0]",[4],True,27.796560287475586
target_front_center_30m,4,False,"[-1.0, -1.0, -1.0, -1.0, 27.79583740234375, -1.0, -1.0, -1.0, -1.0]",[4],True,27.79583740234375
target_front_center_30m,5,False,"[-1.0, -1.0, -1.0, -1.0, 27.796306610107422, -1.0, -1.0, -1.0, -1.0]",[4],True,27.796306610107422
target_front_center_30m,6,False,"[-1.0, -1.0, -1.0, -1.0, 27.798019409179688, -1.0, -1.0, -1.0, -1.0]",[4],True,27.798019409179688
target_front_center_30m,7,True,"[-1.0, -1.0, -1.0, -1.0, 27.800912857055664, -1.0, -1.0, -1.0, -1.0]",[4],True,27.800912857055664
target_front_center_30m,8,False,"[-1.0, -1.0, -1.0, -1.0, 27.80504608154297, -1.0, -1.0, -1.0, -1.0]",[4],True,27.80504608154297
target_front_center_30m,9,False,"[-1.0, -1.0, -1.0, -1.0, 27.809589385986328, -1.0, -1.0, -1.0, -1.0]",[4],True,27.809589385986328
target_front_center_30m,10,False,"[-1.0, -1.0, -1.0, -1.0, 27.813621520996094, -1.0, -1.0, -1.0, -1.0]",[4],True,27.813621520996094
target_front_center_30m,11,False,"[-1.0, -1.0, -1.0, -1.0, 27.81624984741211, -1.0, -1.0, -1.0, -1.0]",[4],True,27.81624984741211
target_front_center_30m,12,False,"[-1.0, -1.0, -1.0, -1.0, 27.817495346069336, -1.0, -1.0, -1.0, -1.0]",[4],True,27.817495346069336
