map_kind,system_name,assignment_mode,viewpoint_generation_mode,target_motion_mode,clue_acquisition_mode,anomaly_tail_quantile,anomaly_weight_lambda,path_safety_mode,team_path_avoidance_mode,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,duplicate_viewpoint_ratio_mean,duplicate_viewpoint_ratio_std,cross_region_assignment_ratio_mean,cross_region_assignment_ratio_std,conflict_intervention_count_mean,conflict_intervention_count_std,wait_count_total_mean,wait_count_total_std,reservation_wait_fallback_count_mean,reservation_wait_fallback_count_std,reservation_near_neighbor_step_ratio_mean_mean,reservation_near_neighbor_step_ratio_mean_std,reservation_same_cell_violation_count_mean,reservation_same_cell_violation_count_std,reservation_swap_violation_count_mean,reservation_swap_violation_count_std
ALL,two_usv_independent,independent,simple_ring_v1,static,ucb,,,soft_clearance_astar_v1,reservation_v1,83.03571428571429,65.2869939699528,142.77777777777777,49.80356474920641,0.611111111111111,0.31130946058048664,1.8333333333333333,0.93392838174146,0.5954056491922957,0.13452973792157175,81.87703187623649,26.413039739965225,0.0321193574868019,0.04317893074733928,0.3042659009576679,0.147579164949128,0.3,0.8621678104251709,0.3,0.8621678104251709,0.0,0.0,0.0008765459697009572,0.0017588337232597477,0.0,0.0,0.0,0.0
open_water,two_usv_independent,independent,simple_ring_v1,static,ucb,,,soft_clearance_astar_v1,reservation_v1,76.875,65.97430844654608,141.75,58.84035604922866,0.6,0.38873012632302006,1.8,1.16619037896906,0.4961096374889479,0.12378754574398272,65.2692435885617,15.031807042094853,0.008785822021116139,0.013091392947916678,0.2810662043629004,0.14718250430843072,0.6,1.2806248474865698,0.6,1.2806248474865698,0.0,0.0,0.0013466366133464735,0.0019348132812216576,0.0,0.0,0.0,0.0
harbor_cove,two_usv_independent,independent,simple_ring_v1,static,ucb,,,soft_clearance_astar_v1,reservation_v1,59.1,41.498072244382634,126.5,25.588083163847973,0.7,0.27688746209726917,2.1,0.8306623862918074,0.6846491228070175,0.13116203137396848,98.69373310623965,30.15179338764471,0.02754866553362918,0.054852548050815894,0.21083527209500916,0.1239562625310454,0.0,0.0,0.0,0.0,0.0,0.0,0.0005587949465500486,0.0016763848396501456,0.0,0.0,0.0,0.0
peninsula_passage,two_usv_independent,independent,simple_ring_v1,static,ucb,,,soft_clearance_astar_v1,reservation_v1,111.9,72.76049752441224,212.0,0.0,0.5333333333333333,0.22110831935702666,1.6,0.66332495807108,0.6054581872809214,0.06199005690624603,81.66811893390806,19.979900419873694,0.06002358490566038,0.03269682820036444,0.42089622641509433,0.07376207723493648,0.3,0.6403124237432849,0.3,0.6403124237432849,0.0,0.0,0.0007242063492063492,0.0015432308150428217,0.0,0.0,0.0,0.0
ALL,two_usv_independent,independent,simple_ring_v1,static,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,83.55172413793103,67.48414179330632,132.9,61.493820827787246,0.6444444444444443,0.2973130702279923,1.9333333333333333,0.891939210683977,0.6168109237897635,0.15131654049947676,90.3533172410126,24.25390707679551,0.017644005371416985,0.022939149148912177,0.30189375100768523,0.17008446794353585,0.3333333333333333,1.1925695879998883,0.3333333333333333,1.1925695879998883,0.0,0.0,0.0004885085978835979,0.0011583598954192698,0.0,0.0,0.0,0.0
open_water,two_usv_independent,independent,simple_ring_v1,static,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,55.55555555555556,47.953938804998906,126.6,46.59871242856394,0.7,0.348010216963685,2.1,1.0440306508910548,0.5366268788682581,0.1266724465106865,83.72070188430446,28.621944740868134,0.008488095238095237,0.012031592247834056,0.2799706794576752,0.176974086118146,0.6,1.8000000000000003,0.6,1.8000000000000003,0.0,0.0,0.0006666666666666668,0.0016817030058842138,0.0,0.0,0.0,0.0
harbor_cove,two_usv_independent,independent,simple_ring_v1,static,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,81.8,74.79010629755783,114.75,60.42505688867823,0.7,0.27688746209726917,2.1,0.8306623862918074,0.6781524122807017,0.19490738610787642,96.44684684922642,22.11650567880418,0.01815700104493208,0.028204480895676426,0.1729864174472372,0.08434617221829531,0.0,0.0,0.0,0.0,0.0,0.0,0.00012847222222222223,0.00038541666666666667,0.0,0.0,0.0,0.0
peninsula_passage,two_usv_independent,independent,simple_ring_v1,static,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,110.5,64.10187204754632,237.0,0.0,0.5333333333333333,0.22110831935702666,1.6,0.66332495807108,0.6356534802203304,0.06409358172769572,90.89240298950693,19.364585672798665,0.026286919831223627,0.02189903904570595,0.4527241561181435,0.09222007354171502,0.4,0.9165151389911681,0.4,0.9165151389911681,0.0,0.0,0.0006703869047619047,0.0009242703756033568,0.0,0.0,0.0,0.0
