target_motion_mode,map_kind,planner_adaptation_mode,n_episodes,success_all_found_rate,time_to_first_detection_censored_mean,time_to_first_detection_censored_std,time_to_all_found_censored_mean,time_to_all_found_censored_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,path_length_total_mean,path_length_total_std,duplicate_viewpoint_ratio_mean,duplicate_viewpoint_ratio_std,cross_region_assignment_ratio_mean,cross_region_assignment_ratio_std,conflict_intervention_count_mean,conflict_intervention_count_std,wait_count_total_mean,wait_count_total_std,reservation_wait_fallback_count_mean,reservation_wait_fallback_count_std,reservation_near_neighbor_step_ratio_mean_mean,reservation_near_neighbor_step_ratio_mean_std,reservation_same_cell_violation_count_mean,reservation_same_cell_violation_count_std,reservation_swap_violation_count_mean,reservation_swap_violation_count_std,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
random_walk,harbor_cove,adaptive,10,0.5,84.0,70.4315270315787,198.9,61.29184285041526,0.7666666666666666,0.3,2.3,0.9,0.7489035087719298,0.14064354080776303,114.31469071530246,4.2492900407991145,396.8,121.89897456500609,0.0,0.0,0.021857249626307924,0.0303343672875126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20330458208734445,0.10796691553899311,0.03451624137703612,0.00752882989192877
random_walk,harbor_cove,no_kappa,10,0.7,44.4,32.99151406043681,165.6,62.89069883536038,0.9,0.1527525231651947,2.7,0.458257569495584,0.6908168859649123,0.18122094571168423,112.01564442359752,5.438921618403297,330.6,125.0633439501759,0.0,0.0,0.01844144385374392,0.017330406010640058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21503489586263946,0.0798300025515809,0.034928156768239155,0.0064206850596875776
random_walk,open_water,adaptive,10,0.6,54.8,46.57424180810676,194.7,49.042940368619824,0.8666666666666667,0.16329931618554522,2.6,0.4898979485566356,0.7212864721485411,0.15026044768322722,117.20419434922104,9.474387346553423,388.6,97.33262556820297,0.0,0.0,0.018717105263157896,0.03720290030636034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468982648698772,0.11689062347521059,0.027526501632206116,0.004875273267185053
random_walk,open_water,no_kappa,10,0.5,54.4,38.68126161334452,206.5,48.18765402050612,0.8333333333333333,0.16666666666666669,2.5,0.5,0.756078691423519,0.13305428377992184,113.8026170476597,6.485275824410184,412.0,95.66190464338456,0.0,0.0,0.02278863045885317,0.027532584843901056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22814840122000718,0.10143597774818836,0.027012992619316195,0.004299949293599384
random_walk,peninsula_passage,adaptive,10,0.5,64.5,45.0538566606678,204.3,44.67225089471091,0.8333333333333333,0.16666666666666669,2.5,0.5,0.7469454181271907,0.1447468338913199,147.8328218815195,10.173018861364113,407.6,88.52479878542509,0.0,0.0,0.057469952163875716,0.047379818905439186,0.0,0.0,0.0,0.0,0.0,0.0,0.0003125,0.0009375000000000001,0.0,0.0,0.0,0.0,0.20123427440514347,0.09917655236693446,0.0326279795835338,0.0076764331051212015
random_walk,peninsula_passage,no_kappa,10,0.6,57.9,40.170760510600246,208.6,37.4758588960947,0.8333333333333334,0.223606797749979,2.5,0.6708203932499369,0.757235853780671,0.10156617968728017,149.48344137970835,10.35520275992104,416.4,74.26331530439508,0.0,0.0,0.06397532741620558,0.03854989001779056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3053346798540584,0.10686255753139977,0.03197761081629063,0.007657838373711458
static,harbor_cove,adaptive,10,0.8,50.0,32.09672880528481,168.5,65.92154427802795,0.9333333333333333,0.13333333333333336,2.8,0.4,0.6870065789473684,0.19154440936273207,121.94834332267135,17.86751432150796,336.6,131.40487053378197,0.0,0.0,0.020420688545688546,0.042739692219419916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1983452340625986,0.10838465016127667,0.03536108559496929,0.0072218897125229005
static,harbor_cove,no_kappa,10,0.6,44.3,40.02511711413222,196.6,63.771780592986424,0.8666666666666667,0.16329931618554522,2.6,0.4898979485566356,0.7567708333333333,0.1856288344250025,129.27660044032638,15.213914829800153,392.4,126.98913339337346,0.0,0.0,0.013440475851109607,0.019579093495889804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29071478038113374,0.08899254085194364,0.03726207726191801,0.0077108634058164266
static,open_water,adaptive,10,0.6,53.4,36.34336253017874,190.7,53.76811322707911,0.8333333333333334,0.223606797749979,2.5,0.6708203932499369,0.6835322723253757,0.14904238691132396,128.57515047725678,9.997197761484859,380.6,106.78969987784403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2236161404080202,0.11355054396313084,0.030413168066415485,0.008048807431054942
static,open_water,no_kappa,10,0.5,42.8,24.538948632734858,189.0,63.50905447257107,0.8333333333333333,0.16666666666666669,2.5,0.5,0.6754420866489832,0.17458617057262024,130.53541187359536,13.175117411566086,377.0,126.20063391282946,0.0,0.0,0.016797658862876253,0.01548412368535622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2443399074063026,0.14602494583024725,0.027830684174353866,0.005404346303190188
static,peninsula_passage,adaptive,10,0.3,72.5,56.077178959002566,222.1,33.99838231445726,0.7,0.23333333333333334,2.1,0.7,0.7528042063094642,0.09598336217088774,203.65558858818557,34.8577772225405,442.8,67.22023504868159,0.0,0.0,0.020202228327228327,0.013330108199700407,0.0,0.0,0.0,0.0,0.0,0.0,7.638888888888889e-05,0.0002291666666666667,0.0,0.0,0.0,0.0,0.1918971831011032,0.07188880123883093,0.03100017340930343,0.005967972402884875
static,peninsula_passage,no_kappa,10,0.3,64.3,50.66369508829769,208.1,53.41245173178255,0.7,0.23333333333333334,2.1,0.7,0.6777165748622934,0.11623472430712867,176.21759178280436,19.243709278101054,414.8,105.96301241471006,0.0,0.0,0.026118028393452123,0.02043319616718247,0.0,0.0,0.0,0.0,0.0,0.0,0.00023313492063492064,0.0006994047619047619,0.0,0.0,0.0,0.0,0.253894167190203,0.12593565809372026,0.030858147186392747,0.006146981152929748
