planner_adaptation_mode,target_motion_mode,map_kind,episode_seed,policy_name,assignment_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length_total,path_length_u0,path_length_u1,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,wait_count_u0,wait_count_u1,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
adaptive,static,harbor_cove,5,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,65,65,150,150,1.0,3,0.678453947368421,122.07383866659559,300,150,150,0.0,0.0,0,0,0,0,0,0.0,0,0,0.2153846153846154,0.035849547323776404
adaptive,static,harbor_cove,6,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,19,19,224,224,1.0,3,0.8355263157894737,133.8579125000641,448,224,224,0.0,0.05803571428571429,0,0,0,0,0,0.0,0,0,0.0,0.05160494974398485
adaptive,static,harbor_cove,7,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,16,16,79,79,1.0,3,0.43914473684210525,101.12256708853698,158,79,79,0.0,0.0,0,0,0,0,0,0.0,0,0,0.28125,0.03683226528953085
adaptive,static,harbor_cove,8,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,65,65,227,227,1.0,3,0.8900767543859649,121.58972422925305,454,227,227,0.0,0.0,0,0,0,0,0,0.0,0,0,0.23846153846153847,0.02947872324395252
adaptive,static,harbor_cove,9,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,87,87,168,168,1.0,3,0.721765350877193,115.03848749994393,336,168,168,0.0,0.0,0,0,0,0,0,0.0,0,0,0.20114942528735633,0.038816917831545734
adaptive,static,peninsula_passage,0,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,92,92,,241,0.3333333333333333,1,0.8204807210816224,248.8725587500388,480,240,240,0.0,0.008333333333333333,0,0,0,0,0,0.0,0,0,0.21195652173913043,0.02574424329910173
adaptive,static,peninsula_passage,1,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,18,18,,241,0.6666666666666666,2,0.8868302453680521,201.12028125001112,480,240,240,0.0,0.022916666666666665,0,0,0,0,0,0.0,0,0,0.2777777777777778,0.033701461244785715
adaptive,static,peninsula_passage,2,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,13,13,,241,0.6666666666666666,2,0.6755132699048573,179.487209583264,480,240,240,0.0,0.008333333333333333,0,0,0,0,0,0.0,0,0,0.07692307692307693,0.03983599320062805
adaptive,static,peninsula_passage,3,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,165,165,,241,0.3333333333333333,1,0.7613920881321983,173.26063458313,480,240,240,0.0,0.022916666666666665,0,0,0,0,0,0.0007638888888888889,0,0,0.2545454545454545,0.023769004697544765
adaptive,static,peninsula_passage,4,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,39,39,216,216,1.0,3,0.6970455683525288,243.13508796310796,432,216,216,0.0,0.027777777777777776,0,0,0,0,0,0.0,0,0,0.23076923076923078,0.04331669815746858
