target_motion_mode,map_kind,delta_direction,success_all_found_rate_delta,time_to_first_detection_censored_delta,time_to_all_found_censored_delta,detection_rate_delta,found_count_delta,known_free_observation_ratio_final_delta,planning_time_ms_mean_delta,path_length_total_delta,duplicate_viewpoint_ratio_delta,cross_region_assignment_ratio_delta,conflict_intervention_count_delta,wait_count_total_delta,reservation_wait_fallback_count_delta,reservation_near_neighbor_step_ratio_mean_delta,reservation_same_cell_violation_count_delta,reservation_swap_violation_count_delta,anomaly_top_band_selection_ratio_pre_first_detection_delta,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_delta
static,open_water,no_kappa_minus_adaptive,-0.09999999999999998,-10.600000000000001,-1.6999999999999886,-1.1102230246251565e-16,0.0,-0.008090185676392525,1.9602613963385807,-3.6000000000000227,0.0,0.016797658862876253,0.0,0.0,0.0,0.0,0.0,0.0,0.020723766998282406,-0.002582483892061619
static,harbor_cove,no_kappa_minus_adaptive,-0.20000000000000007,-5.700000000000003,28.099999999999994,-0.06666666666666665,-0.19999999999999973,0.0697642543859649,7.328257117655028,55.799999999999955,0.0,-0.006980212694578939,0.0,0.0,0.0,0.0,0.0,0.0,0.09236954631853514,0.0019009916669487231
static,peninsula_passage,no_kappa_minus_adaptive,0.0,-8.200000000000003,-14.0,0.0,0.0,-0.07508763144717079,-27.437996805381204,-28.0,0.0,0.005915800066223796,0.0,0.0,0.0,0.00015674603174603175,0.0,0.0,0.061996984089099816,-0.00014202622291068293
random_walk,open_water,no_kappa_minus_adaptive,-0.09999999999999998,-0.3999999999999986,11.800000000000011,-0.03333333333333344,-0.10000000000000009,0.03479221927497789,-3.401577301561346,23.399999999999977,0.0,0.004071525195695275,0.0,0.0,0.0,0.0,0.0,0.0,0.08125013635012998,-0.0005135090128899206
random_walk,harbor_cove,no_kappa_minus_adaptive,0.19999999999999996,-39.6,-33.30000000000001,0.13333333333333341,0.40000000000000036,-0.058086622807017485,-2.29904629170494,-66.19999999999999,0.0,-0.0034158057725640033,0.0,0.0,0.0,0.0,0.0,0.0,0.011730313775295015,0.00041191539120303405
random_walk,peninsula_passage,no_kappa_minus_adaptive,0.09999999999999998,-6.600000000000001,4.299999999999983,1.1102230246251565e-16,0.0,0.010290435653480312,1.6506194981888598,8.799999999999955,0.0,0.006505375252329866,0.0,0.0,0.0,-0.0003125,0.0,0.0,0.10410040544891491,-0.0006503687672431702
