map_kind,baseline_clue_acquisition_mode,challenger_clue_acquisition_mode,assignment_mode,target_motion_mode,path_safety_mode,team_path_avoidance_mode,time_to_first_detection_delta_mean,time_to_all_found_delta_mean,detection_rate_delta_mean,found_count_delta_mean,known_free_observation_ratio_final_delta_mean,planning_time_ms_mean_delta_mean,anomaly_top_band_selection_ratio_pre_first_detection_delta_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_delta_mean,duplicate_viewpoint_ratio_delta_mean,cross_region_assignment_ratio_delta_mean,conflict_intervention_count_delta_mean,wait_count_total_delta_mean
ALL,ucb,anomaly_upper_tail,coordinated,random_walk,soft_clearance_astar_v1,reservation_v1,1.0,,0.0,0.0,0.0017683465959327932,-0.9087166666480044,0.0954545454545454,0.004098771455616181,0.0,0.0,0.0,0.0
open_water,ucb,anomaly_upper_tail,coordinated,random_walk,soft_clearance_astar_v1,reservation_v1,1.0,,0.0,0.0,0.0017683465959327932,-0.9087166666480044,0.0954545454545454,0.004098771455616181,0.0,0.0,0.0,0.0
