map_kind,delta_time_to_first_detection_mean,delta_time_to_all_found_mean,delta_success_all_found_mean,delta_detection_rate_mean,delta_found_count_mean,delta_known_free_observation_ratio_final_mean
ALL,-7.800,-25.375,-0.033,0.000,0.000,-0.030
open_water,-10.700,-9.500,0.000,0.033,0.100,-0.020
harbor_cove,-6.300,-54.500,-0.100,0.000,0.000,0.018
peninsula_passage,-6.400,-18.750,0.000,-0.033,-0.100,-0.089
