policy_step,tick_in_policy_step,tick_global,sv0_target_cell,sv1_target_cell,sv0_wait_applied,sv1_wait_applied,sv0_target_world,sv1_target_world,sv0_loc_x,sv0_loc_y,sv0_loc_z,sv0_proj_row,sv0_proj_col,sv0_dist_m,sv0_heading_deg,sv0_target_heading_deg,sv0_heading_error_deg,sv0_cmd_l,sv0_cmd_r,sv0_arrived,sv0_loc_avail,sv0_gps_avail,sv0_selected_sensor,sv1_loc_x,sv1_loc_y,sv1_loc_z,sv1_proj_row,sv1_proj_col,sv1_dist_m,sv1_heading_deg,sv1_target_heading_deg,sv1_heading_error_deg,sv1_cmd_l,sv1_cmd_r,sv1_arrived,sv1_loc_avail,sv1_gps_avail,sv1_selected_sensor,inter_vessel_distance_m
1,11,11,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9997863769531,149.99659729003906,-0.029742034152150154,25,2,10.0034027122419,6.643600940704346,90.0012235535593,83.35762261285493,-8000.0,8000.0,False,True,True,LocationSensor,-379.3799133300781,50.0,-0.03089919686317444,35,2,9.379913330078125,0.0,0.0,0.0,6580.786387125651,6580.786387125651,False,True,True,LocationSensor,99.99851854992897
1,12,12,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.99969482421875,149.9958953857422,-0.0015211171703413129,25,2,10.004104618912514,7.908227443695068,90.00174781101798,82.09352036732292,-8000.0,8000.0,False,True,True,LocationSensor,-379.2773132324219,50.0,-0.00260376650840044,35,2,9.277313232421875,0.0,0.0,0.0,6525.211334228516,6525.211334228516,False,True,True,LocationSensor,99.99850463462172
1,13,13,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9996032714844,149.99513244628906,0.04387834295630455,25,2,10.004867561576784,9.271244049072266,90.00227198105561,80.73102793198336,-7903.254515053113,8000.0,False,True,True,LocationSensor,-379.1700744628906,50.0,0.04308049753308296,35,2,9.170074462890625,0.0,0.0,0.0,6467.123667399089,6467.123667399089,False,True,True,LocationSensor,99.99857314479631
1,14,14,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.99945068359375,149.9943084716797,0.09849783778190613,25,2,10.005691543399156,10.730180740356445,90.00314556086151,79.27296482050508,-7566.90048652299,8000.0,False,True,True,LocationSensor,-379.05865478515625,50.0,0.09817107021808624,35,2,9.05865478515625,0.0,0.0,0.0,6406.771341959636,6406.771341959636,False,True,True,LocationSensor,99.99873411024736
1,15,15,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.999267578125,149.99343872070312,0.15535756945610046,25,2,10.006561306101377,12.28262710571289,90.00419371660396,77.72156661089105,-7209.9101684645775,8000.0,False,True,True,LocationSensor,-378.9434509277344,50.0,0.15590746700763702,35,2,8.943450927734375,0.0,0.0,0.0,6344.369252522786,6344.369252522786,False,True,True,LocationSensor,99.99901267507721
1,16,16,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9990539550781,149.9925079345703,0.20735913515090942,25,2,10.007492110146234,13.926231384277344,90.00541638012176,76.0791849958444,-6833.13383979457,8000.0,False,True,True,LocationSensor,-378.8247985839844,50.0,0.20909945666790009,35,2,8.824798583984375,0.0,0.0,0.0,6280.099232991536,6280.099232991536,False,True,True,LocationSensor,99.99940259182378
1,17,17,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9988098144531,149.9915313720703,0.24993713200092316,25,2,10.008468698696838,15.658700942993164,90.0068134907434,74.34811254775025,-6437.465254375745,8000.0,False,True,True,LocationSensor,-378.70306396484375,50.0,0.25139713287353516,35,2,8.70306396484375,0.0,0.0,0.0,6214.159647623698,6214.159647623698,False,True,True,LocationSensor,99.9999265171655
1,18,18,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9985046386719,149.99053955078125,0.27962756156921387,25,2,10.009460560918352,17.47779655456543,90.00855969137857,72.53076313681314,-6023.885993075548,8000.0,False,True,True,LocationSensor,-378.5784912109375,50.0,0.27966544032096863,35,2,8.5784912109375,0.0,0.0,0.0,6146.6827392578125,6146.6827392578125,False,True,True,LocationSensor,100.00062218702088
1,19,19,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9981689453125,149.98951721191406,0.29654327034950256,25,2,10.010482955548452,19.381328582763672,90.01048018429303,70.62915160152937,-5593.340384455581,8000.0,False,True,True,LocationSensor,-378.45135498046875,50.0,0.29530730843544006,35,2,8.45135498046875,0.0,0.0,0.0,6077.817281087239,6077.817281087239,False,True,True,LocationSensor,100.00148091760188
1,20,20,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9977722167969,149.98846435546875,0.30196115374565125,25,2,10.01153589239622,21.367149353027344,90.0127495498827,68.64560019685536,-5146.9067735492345,8000.0,False,True,True,LocationSensor,-378.32196044921875,50.0,0.29958537220954895,35,2,8.32196044921875,0.0,0.0,0.0,6007.728576660156,6007.728576660156,False,True,True,LocationSensor,100.0025067148079
