target_motion_mode,map_kind,delta_direction,success_all_found_rate_delta,time_to_first_detection_censored_delta,time_to_all_found_censored_delta,detection_rate_delta,found_count_delta,known_free_observation_ratio_final_delta,planning_time_ms_mean_delta,path_length_delta,switch_count_delta,anchor_switch_count_delta,replan_count_delta,path_invalidations_per_episode_delta,clearance_penalty_raw_mean_delta,near_obstacle_step_ratio_delta,min_clearance_cells_mean_delta
static,open_water,no_kappa_minus_adaptive,0.19999999999999996,-3.200000000000003,17.0,0.10000000000000009,0.30000000000000027,0.05063520871143379,0.48486445595352023,17.200000000000017,11.5,4.200000000000001,11.399999999999999,0.0,-0.0005613883014835338,-0.0005613883014835338,0.32177920035497465
static,harbor_cove,no_kappa_minus_adaptive,0.0,-8.7,-40.79999999999998,0.0,0.0,-0.06323198198198199,1.0836960907089832,-40.79999999999998,5.199999999999999,4.4,2.299999999999997,0.0,0.0032959450635683825,0.0032959450635683825,0.27613405077435704
static,peninsula_passage,no_kappa_minus_adaptive,0.10000000000000003,-0.8999999999999986,-6.099999999999994,0.033333333333333326,0.09999999999999964,-0.04609819121447023,2.1043163155963747,-6.0,12.2,7.5,10.400000000000006,0.0,-0.00036092025843065386,-0.00036092025843065386,0.08068050090983592
random_walk,open_water,no_kappa_minus_adaptive,0.19999999999999996,-18.799999999999997,-15.699999999999989,0.06666666666666676,0.20000000000000018,-0.04804900181488192,0.8007580132539225,-15.5,8.0,2.5,5.799999999999997,0.0,0.0006274501143581999,0.0006274501143581999,-0.4627660180792166
random_walk,harbor_cove,no_kappa_minus_adaptive,0.0,-0.6999999999999993,-10.100000000000023,0.0,0.0,-0.005292792792792711,-0.7487798223755178,-10.100000000000023,10.5,7.2,8.299999999999997,0.0,0.0005327997218772624,0.0005327997218772624,0.16857207148228515
random_walk,peninsula_passage,no_kappa_minus_adaptive,0.2,-8.0,-17.400000000000006,0.09999999999999998,0.2999999999999998,0.010904392764857995,-1.8396961581390592,-17.19999999999999,10.700000000000003,6.9,7.399999999999999,0.0,0.0005783759855021368,0.0005783759855021368,-0.14907220325408188
