planner_adaptation_mode,target_motion_mode,map_kind,episode_seed,policy_name,clue_acquisition_mode,path_safety_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,switch_count,anchor_switch_count,replan_count,path_invalidations_per_episode,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean
adaptive,static,peninsula_passage,3,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,106,106,,241,0.6666666666666666,2,0.6609819121447028,27.56552432421469,240,27,11,37,0,0.0026041666666666665,0.0026041666666666665,3.470833333333333
adaptive,static,peninsula_passage,4,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,33,33,231,231,1.0,3,0.6392764857881137,29.32293888908235,231,28,11,36,0,0.0027056277056277055,0.0027056277056277055,2.7965367965367967
adaptive,static,peninsula_passage,5,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,87,87,,241,0.6666666666666666,2,0.7385012919896641,31.8668540539629,240,24,11,37,0,0.005729166666666666,0.005729166666666666,3.575
adaptive,static,peninsula_passage,6,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,88,88,,241,0.6666666666666666,2,0.6914728682170542,29.083630555558354,240,26,10,36,0,0.005729166666666666,0.005729166666666666,3.225
adaptive,static,peninsula_passage,7,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,19,19,,241,0.6666666666666666,2,0.59328165374677,25.083305405624323,240,24,14,37,0,0.0026041666666666665,0.0026041666666666665,3.6791666666666667
adaptive,static,peninsula_passage,8,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,42,42,,241,0.6666666666666666,2,0.8744186046511628,34.65784166676005,240,23,8,36,0,0.0026041666666666665,0.0026041666666666665,3.775
adaptive,static,peninsula_passage,9,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,37,37,146,146,1.0,3,0.5710594315245479,25.66784090909509,146,17,5,22,0,0.004280821917808219,0.004280821917808219,3.691780821917808
adaptive,random_walk,open_water,0,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,84,84,,241,0.6666666666666666,2,0.8139745916515426,18.35661315750545,240,31,11,38,0,0.0026041666666666665,0.0026041666666666665,6.3625
adaptive,random_walk,open_water,1,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,65,65,,241,0.6666666666666666,2,0.8280399274047187,16.772643243343367,240,30,15,37,0,0.0026041666666666665,0.0026041666666666665,7.466666666666667
adaptive,random_walk,open_water,2,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,65,65,,241,0.6666666666666666,2,0.676497277676951,17.296386842453533,240,27,8,38,0,0.0026041666666666665,0.0026041666666666665,8.3875
