target_motion_mode,map_kind,n,time_to_first_detection_baseline_mean,time_to_first_detection_simple_ring_mean,time_to_first_detection_delta,time_to_all_found_baseline_mean,time_to_all_found_simple_ring_mean,time_to_all_found_delta,success_all_found_baseline_mean,success_all_found_simple_ring_mean,success_all_found_delta,detection_rate_baseline_mean,detection_rate_simple_ring_mean,detection_rate_delta,found_count_baseline_mean,found_count_simple_ring_mean,found_count_delta,known_free_observation_ratio_final_baseline_mean,known_free_observation_ratio_final_simple_ring_mean,known_free_observation_ratio_final_delta,path_length_baseline_mean,path_length_simple_ring_mean,path_length_delta,planning_time_ms_mean_baseline_mean,planning_time_ms_mean_simple_ring_mean,planning_time_ms_mean_delta,candidate_pool_size_mean_baseline_mean,candidate_pool_size_mean_simple_ring_mean,candidate_pool_size_mean_delta,reachable_pool_size_mean_baseline_mean,reachable_pool_size_mean_simple_ring_mean,reachable_pool_size_mean_delta,a_star_checked_pool_size_mean_baseline_mean,a_star_checked_pool_size_mean_simple_ring_mean,a_star_checked_pool_size_mean_delta,selected_viewpoint_rank_mean_baseline_mean,selected_viewpoint_rank_mean_simple_ring_mean,selected_viewpoint_rank_mean_delta
random_walk,harbor_cove,10,30.3,30.1,-0.1999999999999993,158.71428571428572,151.0,-7.714285714285722,0.7,0.7,0.0,0.9,0.9,0.0,2.7,2.7,0.0,0.6809121621621621,0.6413288288288288,-0.039583333333333304,183.1,177.7,-5.400000000000006,20.11916952183497,17.30200242904009,-2.817167092794879,22.362996495567923,23.578441449247457,1.2154449536795333,22.362996495567923,23.578441449247457,1.2154449536795333,17.71990476190476,23.578441449247457,5.858536687342696,2.534287569573284,2.6834447484681987,0.14915717889491464
random_walk,open_water,10,55.666666666666664,57.2,1.5333333333333385,156.57142857142858,111.28571428571429,-45.28571428571429,0.7,0.7,0.0,0.8333333333333334,0.9,0.06666666666666665,2.5,2.7,0.20000000000000018,0.6416969147005445,0.5447368421052632,-0.09696007259528128,181.6,149.9,-31.69999999999999,19.17429406527234,17.285336983743637,-1.8889570815287016,22.97545968329032,23.65013319011815,0.6746735068278298,22.97545968329032,23.65013319011815,0.6746735068278298,17.837254126456784,23.65013319011815,5.8128790636613665,2.4952814927766007,2.634313275188725,0.1390317824121241
random_walk,peninsula_passage,10,52.9,44.6,-8.299999999999997,188.2,149.4,-38.79999999999998,0.5,0.5,0.0,0.8333333333333333,0.8333333333333333,0.0,2.5,2.5,0.0,0.7468217054263566,0.6875452196382429,-0.05927648578811373,214.1,194.7,-19.400000000000006,24.35506795048466,20.60403970785926,-3.7510282426253987,22.53054932247454,23.610864345738296,1.0803150232637577,22.53054932247454,23.610864345738296,1.0803150232637577,17.744232273937243,23.610864345738296,5.866632071801053,2.5739181804304025,2.5605801926865137,-0.013337987743888835
static,harbor_cove,10,31.8,29.1,-2.6999999999999993,140.0,115.0,-25.0,0.4,0.7,0.29999999999999993,0.7666666666666666,0.9,0.13333333333333341,2.3,2.7,0.40000000000000036,0.6413851351351351,0.5649774774774775,-0.07640765765765756,200.0,152.5,-47.5,25.109132659708493,18.820813336910984,-6.288319322797509,22.599217002753072,23.639597683937307,1.040380681184235,22.599217002753072,23.639597683937307,1.040380681184235,17.959173669467788,23.639597683937307,5.680424014469519,2.612127828146696,2.6843028198216876,0.07217499167499142
static,open_water,10,48.2,47.8,-0.4000000000000057,160.0,132.71428571428572,-27.285714285714278,0.8,0.7,-0.10000000000000009,0.9,0.9,0.0,2.7,2.7,0.0,0.5661524500907441,0.5634301270417423,-0.0027223230490017736,176.0,164.9,-11.099999999999994,23.262715680405865,18.17583765695742,-5.086878023448445,22.763187477205335,23.487562422539867,0.7243749453345316,22.763187477205335,23.487562422539867,0.7243749453345316,17.68798546691404,23.487562422539867,5.799576955625827,2.7723810514881944,2.505719928457213,-0.26666112303098144
static,peninsula_passage,10,56.8,56.8,0.0,174.75,163.0,-11.75,0.4,0.6,0.19999999999999996,0.7333333333333333,0.8333333333333334,0.10000000000000009,2.2,2.5,0.2999999999999998,0.7040826873385013,0.6355038759689923,-0.06857881136950905,213.9,193.8,-20.099999999999994,34.16935512753794,22.848114657943757,-11.321240469594184,22.45637930266676,23.36304031046381,0.9066610077970481,22.45637930266676,23.36304031046381,0.9066610077970481,17.78259628466771,23.36304031046381,5.580444025796098,2.630467441040612,2.843050191774823,0.21258275073421107
