episode_seed,map_kind,target_motion_mode,policy_name,clue_acquisition_mode,path_safety_mode,viewpoint_generation_mode,terminated_reason,completed_steps,time_to_first_detection,time_to_all_found,success_all_found,detection_rate,found_count,known_free_observation_ratio_final,path_length,planning_time_ms_mean,candidate_pool_size_mean,reachable_pool_size_mean,a_star_checked_pool_size_mean,selected_viewpoint_rank_mean
,peninsula_passage,static,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,160,82,160,True,1.0,3,0.5937984496124031,160,17.69857500011085,24.0,24.0,24.0,3.46875
,peninsula_passage,static,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,103,,False,0.3333333333333333,1,0.5457364341085271,240,22.458658490578735,23.547169811320753,23.547169811320753,23.547169811320753,2.7358490566037736
,peninsula_passage,static,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,191,24,191,True,1.0,3,0.5819121447028424,191,20.495592857211403,23.142857142857142,23.142857142857142,23.142857142857142,3.119047619047619
,peninsula_passage,static,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,82,,False,0.6666666666666666,2,0.7488372093023256,240,25.564895918343645,24.0,24.0,24.0,2.63265306122449
,peninsula_passage,static,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,159,76,159,True,1.0,3,0.6273901808785529,159,20.488603125102145,24.0,24.0,24.0,2.84375
,peninsula_passage,static,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,28,,False,0.6666666666666666,2,0.7359173126614987,240,24.680883673589015,23.020408163265305,23.020408163265305,23.020408163265305,2.5918367346938775
,peninsula_passage,static,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,41,,False,0.6666666666666666,2,0.7002583979328165,240,24.906167346875453,22.53061224489796,22.53061224489796,22.53061224489796,2.877551020408163
,peninsula_passage,static,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,168,35,168,True,1.0,3,0.662015503875969,168,26.310905882168942,23.294117647058822,23.294117647058822,23.294117647058822,2.9705882352941178
,open_water,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,130,,False,0.6666666666666666,2,0.823502722323049,240,17.38537346938422,23.510204081632654,23.510204081632654,23.510204081632654,3.0
,open_water,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,163,66,163,True,1.0,3,0.5970961887477314,163,17.743812121394015,24.0,24.0,24.0,3.4242424242424243
,open_water,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,114,53,114,True,1.0,3,0.4791288566243194,114,17.34090869554759,24.0,24.0,24.0,2.347826086956522
,open_water,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,174,39,174,True,1.0,3,0.5980036297640653,174,17.21837714285357,23.314285714285713,23.314285714285713,23.314285714285713,2.6
