target_motion_mode,map_kind,n,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,success_all_found_mean,success_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,path_length_mean,path_length_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,candidate_pool_size_mean_mean,candidate_pool_size_mean_std,reachable_pool_size_mean_mean,reachable_pool_size_mean_std,a_star_checked_pool_size_mean_mean,a_star_checked_pool_size_mean_std,selected_viewpoint_rank_mean_mean,selected_viewpoint_rank_mean_std
random_walk,harbor_cove,10,30.1,14.038874598770374,151.0,47.40705191665657,0.7,0.458257569495584,0.9,0.1527525231651947,2.7,0.458257569495584,0.6413288288288288,0.1207323280859151,177.7,56.89121197513725,17.30200242904009,2.7578175877314663,23.578441449247457,0.4307908590003753,23.578441449247457,0.4307908590003753,23.578441449247457,0.4307908590003753,2.6834447484681987,0.4737896081147608
random_walk,open_water,10,57.2,31.49857139617605,111.28571428571429,40.04894964099481,0.7,0.458257569495584,0.9,0.1527525231651947,2.7,0.458257569495584,0.5447368421052632,0.20383215950996678,149.9,67.83723166521465,17.285336983743637,1.1725609452593593,23.65013319011815,0.44868743505350916,23.65013319011815,0.44868743505350916,23.65013319011815,0.44868743505350916,2.634313275188725,0.4736181119523446
random_walk,peninsula_passage,10,44.6,21.703455946000858,149.4,46.59012770963394,0.5,0.5,0.8333333333333333,0.16666666666666669,2.5,0.5,0.6875452196382429,0.1559662524182154,194.7,56.01258787094201,20.60403970785926,2.1334054494411183,23.610864345738296,0.469958944366086,23.610864345738296,0.469958944366086,23.610864345738296,0.469958944366086,2.5605801926865137,0.33593216798454684
static,harbor_cove,10,29.1,12.413299319681292,115.0,30.50995153809889,0.7,0.458257569495584,0.9,0.1527525231651947,2.7,0.458257569495584,0.5649774774774775,0.14565521837059092,152.5,62.71243895751464,18.820813336910984,1.7978615871858146,23.639597683937307,0.5504002969399902,23.639597683937307,0.5504002969399902,23.639597683937307,0.5504002969399902,2.6843028198216876,0.23075595836991616
static,open_water,10,47.8,16.957594168985175,132.71428571428572,62.15352946124457,0.7,0.458257569495584,0.9,0.1527525231651947,2.7,0.458257569495584,0.5634301270417423,0.18356242099256279,164.9,71.56318886131332,18.17583765695742,2.0934653367953873,23.487562422539867,0.5297032331996828,23.487562422539867,0.5297032331996828,23.487562422539867,0.5297032331996828,2.505719928457213,0.4056599331865619
static,peninsula_passage,10,56.8,26.618790355686713,163.0,37.35416085703617,0.6,0.4898979485566356,0.8333333333333334,0.223606797749979,2.5,0.6708203932499369,0.6355038759689923,0.11847595659258216,193.8,47.54114007888326,22.848114657943757,3.380016659946367,23.36304031046381,0.5102794748025237,23.36304031046381,0.5102794748025237,23.36304031046381,0.5102794748025237,2.843050191774823,0.27148196409407016
