stage,w_s,w_r,w_e,map_kind,episode_seed,policy_name,target_motion_mode,clue_acquisition_mode,path_safety_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,switch_count,anchor_switch_count
stage2_ws_wr_grid,4.5,3.0,-0.35,peninsula_passage,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,58,58,,241,0.6666666666666666,2,0.6,24.134324324640566,240,30,10
stage2_ws_wr_grid,4.5,3.0,-0.35,peninsula_passage,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,82,82,159,159,1.0,3,0.5875968992248062,23.2741458333597,159,14,4
stage2_ws_wr_grid,4.5,3.0,-0.35,peninsula_passage,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,34,34,169,169,1.0,3,0.5348837209302325,24.456526923061645,169,16,5
stage2_ws_wr_grid,4.5,4.0,-0.35,open_water,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,101,101,127,127,1.0,3,0.4823049001814882,16.772530000162078,127,16,6
stage2_ws_wr_grid,4.5,4.0,-0.35,open_water,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,80,80,143,143,1.0,3,0.5685117967332124,17.835145454393402,143,18,6
stage2_ws_wr_grid,4.5,4.0,-0.35,open_water,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,54,54,200,200,1.0,3,0.6138838475499092,16.676981249929668,200,25,9
stage2_ws_wr_grid,4.5,4.0,-0.35,open_water,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,39,39,,241,0.6666666666666666,2,0.7840290381125227,19.339702702701608,240,28,11
stage2_ws_wr_grid,4.5,4.0,-0.35,open_water,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,37,37,118,118,1.0,3,0.426497277676951,17.272911111326216,118,14,3
stage2_ws_wr_grid,4.5,4.0,-0.35,harbor_cove,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,43,43,,241,0.6666666666666666,2,0.6244369369369369,17.341378947381408,240,23,7
stage2_ws_wr_grid,4.5,4.0,-0.35,harbor_cove,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,39,39,,241,0.6666666666666666,2,0.661036036036036,17.185121621780027,240,28,12
stage2_ws_wr_grid,4.5,4.0,-0.35,harbor_cove,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,38,38,,241,0.3333333333333333,1,0.7077702702702703,24.58700277758099,240,27,9
stage2_ws_wr_grid,4.5,4.0,-0.35,harbor_cove,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,38,38,,241,0.6666666666666666,2,0.7719594594594594,22.6259615389072,240,29,12
stage2_ws_wr_grid,4.5,4.0,-0.35,harbor_cove,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,40,40,103,103,1.0,3,0.40596846846846846,17.83798125006797,103,11,6
stage2_ws_wr_grid,4.5,4.0,-0.35,peninsula_passage,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,70,70,,241,0.6666666666666666,2,0.7762273901808786,24.908341666863027,240,26,9
stage2_ws_wr_grid,4.5,4.0,-0.35,peninsula_passage,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,34,34,117,117,1.0,3,0.4289405684754522,25.237583333364455,117,15,6
stage2_ws_wr_grid,4.5,4.0,-0.35,peninsula_passage,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,58,58,,241,0.6666666666666666,2,0.6,25.064670270079954,240,30,10
stage2_ws_wr_grid,4.5,4.0,-0.35,peninsula_passage,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,82,82,168,168,1.0,3,0.6031007751937985,21.134903999918606,168,14,5
stage2_ws_wr_grid,4.5,4.0,-0.35,peninsula_passage,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,34,34,141,141,1.0,3,0.44651162790697674,22.728754545493178,141,16,6
stage2_ws_wr_grid,5.5,2.0,-0.35,open_water,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,60,60,,241,0.6666666666666666,2,0.7382032667876588,25.839669230593316,240,31,11
stage2_ws_wr_grid,5.5,2.0,-0.35,open_water,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,60,60,120,120,1.0,3,0.4809437386569873,19.192984210301226,120,14,6
stage2_ws_wr_grid,5.5,2.0,-0.35,open_water,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,54,54,201,201,1.0,3,0.6361161524500908,17.150371875118253,201,28,13
stage2_ws_wr_grid,5.5,2.0,-0.35,open_water,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,52,52,,241,0.6666666666666666,2,0.7803992740471869,19.151610526214906,240,29,14
stage2_ws_wr_grid,5.5,2.0,-0.35,open_water,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,37,37,124,124,1.0,3,0.46823956442831216,16.702778947786243,124,15,4
stage2_ws_wr_grid,5.5,2.0,-0.35,harbor_cove,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,57,57,192,192,1.0,3,0.5692567567567568,18.490249999672415,192,26,8
stage2_ws_wr_grid,5.5,2.0,-0.35,harbor_cove,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,39,39,206,206,1.0,3,0.6807432432432432,18.10216060601471,206,26,8
stage2_ws_wr_grid,5.5,2.0,-0.35,harbor_cove,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,38,38,,241,0.6666666666666666,2,0.7978603603603603,19.840128204892746,240,30,10
stage2_ws_wr_grid,5.5,2.0,-0.35,harbor_cove,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,38,38,,241,0.6666666666666666,2,0.793918918918919,18.805494871906912,240,29,10
stage2_ws_wr_grid,5.5,2.0,-0.35,harbor_cove,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,40,40,102,102,1.0,3,0.46396396396396394,16.563412500545382,102,12,2
stage2_ws_wr_grid,5.5,2.0,-0.35,peninsula_passage,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,70,70,,241,0.6666666666666666,2,0.8191214470284238,29.93718157928302,240,28,10
stage2_ws_wr_grid,5.5,2.0,-0.35,peninsula_passage,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,34,34,,241,0.3333333333333333,1,0.8046511627906977,26.69655945922116,240,28,12
stage2_ws_wr_grid,5.5,2.0,-0.35,peninsula_passage,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,58,58,,241,0.6666666666666666,2,0.7943152454780362,27.411186841881747,240,27,10
stage2_ws_wr_grid,5.5,2.0,-0.35,peninsula_passage,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,82,82,,241,0.6666666666666666,2,0.6997416020671835,31.94321891891918,240,23,10
stage2_ws_wr_grid,5.5,2.0,-0.35,peninsula_passage,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,34,34,,241,0.6666666666666666,2,0.6382428940568475,25.684402564272602,240,31,9
stage2_ws_wr_grid,5.5,3.0,-0.35,open_water,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,72,72,103,103,1.0,3,0.4305807622504537,17.644418750933255,103,12,5
stage2_ws_wr_grid,5.5,3.0,-0.35,open_water,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,61,61,125,125,1.0,3,0.4904718693284936,18.696999999902847,125,15,5
stage2_ws_wr_grid,5.5,3.0,-0.35,open_water,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,54,54,161,161,1.0,3,0.5676043557168784,16.906684615325783,161,22,9
stage2_ws_wr_grid,5.5,3.0,-0.35,open_water,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,52,52,,241,0.6666666666666666,2,0.7599818511796733,18.863689189193128,240,29,11
stage2_ws_wr_grid,5.5,3.0,-0.35,open_water,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,37,37,116,116,1.0,3,0.43103448275862066,17.51368333296139,116,14,3
stage2_ws_wr_grid,5.5,3.0,-0.35,harbor_cove,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,57,57,,241,0.6666666666666666,2,0.6407657657657657,17.61578139561353,240,33,7
stage2_ws_wr_grid,5.5,3.0,-0.35,harbor_cove,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,39,39,,241,0.6666666666666666,2,0.7111486486486487,19.528900000113936,240,27,9
stage2_ws_wr_grid,5.5,3.0,-0.35,harbor_cove,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,38,38,198,198,1.0,3,0.6722972972972973,22.094680644635623,198,25,11
stage2_ws_wr_grid,5.5,3.0,-0.35,harbor_cove,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,38,38,236,236,1.0,3,0.7668918918918919,27.775821621027127,236,30,9
stage2_ws_wr_grid,5.5,3.0,-0.35,harbor_cove,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,40,40,,241,0.6666666666666666,2,0.7635135135135135,21.89638684266308,240,26,9
stage2_ws_wr_grid,5.5,3.0,-0.35,peninsula_passage,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,70,70,,241,0.6666666666666666,2,0.7813953488372093,23.717102777785232,240,26,10
stage2_ws_wr_grid,5.5,3.0,-0.35,peninsula_passage,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,34,34,,241,0.3333333333333333,1,0.6837209302325581,29.395756756924595,240,28,10
stage2_ws_wr_grid,5.5,3.0,-0.35,peninsula_passage,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,58,58,,241,0.6666666666666666,2,0.6005167958656331,23.89780263164491,240,27,13
stage2_ws_wr_grid,5.5,3.0,-0.35,peninsula_passage,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,82,82,167,167,1.0,3,0.6031007751937985,20.71154799996293,167,14,6
stage2_ws_wr_grid,5.5,3.0,-0.35,peninsula_passage,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,34,34,,241,0.6666666666666666,2,0.6382428940568475,26.2215743587615,240,31,9
stage2_ws_wr_grid,5.5,4.0,-0.35,open_water,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,90,90,110,110,1.0,3,0.44646098003629764,18.880570587712366,110,14,6
stage2_ws_wr_grid,5.5,4.0,-0.35,open_water,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,61,61,,241,0.6666666666666666,2,0.7472776769509982,23.708489189015676,240,27,11
stage2_ws_wr_grid,5.5,4.0,-0.35,open_water,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,54,54,161,161,1.0,3,0.5676043557168784,17.272884615522344,161,22,9
stage2_ws_wr_grid,5.5,4.0,-0.35,open_water,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,52,52,,241,0.6666666666666666,2,0.6333938294010889,19.105425640867534,240,31,12
stage2_ws_wr_grid,5.5,4.0,-0.35,open_water,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,37,37,112,112,1.0,3,0.4160617059891107,17.716582353493912,112,13,4
stage2_ws_wr_grid,5.5,4.0,-0.35,harbor_cove,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,57,57,,241,0.6666666666666666,2,0.6644144144144144,17.54069736814831,240,28,7
stage2_ws_wr_grid,5.5,4.0,-0.35,harbor_cove,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,39,39,,241,0.6666666666666666,2,0.6683558558558559,21.909415000118315,240,28,10
stage2_ws_wr_grid,5.5,4.0,-0.35,harbor_cove,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,38,38,,241,0.3333333333333333,1,0.7094594594594594,23.701625000184222,240,24,10
stage2_ws_wr_grid,5.5,4.0,-0.35,harbor_cove,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,38,38,,241,0.6666666666666666,2,0.6385135135135135,22.443502703075914,240,25,9
stage2_ws_wr_grid,5.5,4.0,-0.35,harbor_cove,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,40,40,174,174,1.0,3,0.5208333333333334,17.81853846156222,174,19,4
stage2_ws_wr_grid,5.5,4.0,-0.35,peninsula_passage,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,70,70,,241,0.6666666666666666,2,0.7813953488372093,23.822680555895204,240,26,10
stage2_ws_wr_grid,5.5,4.0,-0.35,peninsula_passage,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,34,34,114,114,1.0,3,0.4268733850129199,23.2486999997895,114,15,4
stage2_ws_wr_grid,5.5,4.0,-0.35,peninsula_passage,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,58,58,,241,0.6666666666666666,2,0.7638242894056848,28.67953611085896,240,24,10
stage2_ws_wr_grid,5.5,4.0,-0.35,peninsula_passage,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,82,82,168,168,1.0,3,0.6031007751937985,21.20141199993668,168,14,5
