system,target_motion_mode,map_kind,clue_acquisition_mode,anomaly_tail_quantile,anomaly_weight_lambda,n,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,duplicate_viewpoint_ratio_mean,duplicate_viewpoint_ratio_std,cross_region_assignment_ratio_mean,cross_region_assignment_ratio_std,conflict_intervention_count_mean,conflict_intervention_count_std,wait_count_total_mean,wait_count_total_std,reservation_wait_fallback_count_mean,reservation_wait_fallback_count_std,reservation_near_neighbor_step_ratio_mean_mean,reservation_near_neighbor_step_ratio_mean_std,reservation_same_cell_violation_count_mean,reservation_same_cell_violation_count_std,reservation_swap_violation_count_mean,reservation_swap_violation_count_std,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
two,random_walk,open_water,anomaly_upper_tail,0.8,1.0,10,60.8,57.47312415381645,120.5,50.74035212070698,0.8,0.26666666666666666,2.4,0.8,0.6303492484526968,0.1829732512955459,178.20450060779234,8.995343467677218,0.0,0.0,0.020028019625981754,0.020736871542402724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485564886735392,0.141267384606573,0.024709291296050706,0.0032064835349866565
two,random_walk,harbor_cove,anomaly_upper_tail,0.8,1.0,10,45.9,29.951460732324893,161.42857142857142,50.332770191020096,0.8333333333333334,0.26874192494328497,2.5,0.806225774829855,0.7482182017543859,0.1519160921805644,142.97689477363272,24.093598599582347,0.0,0.0,0.019614362552205094,0.016483052177268052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3957635689427072,0.09137305186028445,0.032601440171401215,0.003990600616450021
two,random_walk,peninsula_passage,anomaly_upper_tail,0.8,1.0,10,79.3,65.37132398842783,192.0,28.786570943178813,0.8333333333333333,0.223606797749979,2.5,0.6708203932499369,0.7470455683525288,0.10475338060121482,190.5899590906418,16.437627830875822,0.0,0.0,0.0437276589302452,0.026980442243670105,0.2,0.6000000000000001,0.2,0.6000000000000001,0.0,0.0,0.00028844246031746034,0.0005793876403012439,0.0,0.0,0.0,0.0,0.4751955172950274,0.1276250119638777,0.02961576670587761,0.007554350337960115
two,random_walk,open_water,anomaly_upper_tail,0.85,1.0,10,64.1,62.482717610552115,129.28571428571428,51.67125281379327,0.8666666666666666,0.22110831935702666,2.6,0.66332495807108,0.6255968169761273,0.17861894904813394,136.1890505976115,18.940343301348932,0.0,0.0,0.02416721376517589,0.021712060146416107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35377066365658316,0.12172733901380585,0.024821373507243213,0.0031315717685365795
two,random_walk,harbor_cove,anomaly_upper_tail,0.85,1.0,10,44.0,26.623298067669978,161.42857142857142,50.332770191020096,0.8333333333333334,0.26874192494328497,2.5,0.806225774829855,0.7490679824561404,0.15239177927557013,141.31309743558865,15.460052805603759,0.0,0.0,0.017947695885538427,0.016695474963371305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3250053020399354,0.12231363488389059,0.03284409558975971,0.00396229182273099
two,random_walk,peninsula_passage,anomaly_upper_tail,0.85,1.0,10,79.3,65.37132398842783,192.5,28.808274274358514,0.7999999999999999,0.2666666666666667,2.4,0.8,0.7482223335002505,0.10719590491912329,169.11703491320685,26.259141624303343,0.0,0.0,0.05301051149434778,0.03640436662879171,0.0,0.0,0.0,0.0,0.0,0.0,0.0001202876984126984,0.00036086309523809525,0.0,0.0,0.0,0.0,0.3715906924538622,0.12640187602585726,0.029659621299717775,0.007581393071831916
two,random_walk,open_water,anomaly_upper_tail,0.95,1.0,10,57.5,51.571794616825194,140.0,64.44266554742396,0.8666666666666666,0.22110831935702666,2.6,0.66332495807108,0.6374889478337754,0.20246241254726388,156.90803768263692,9.829053858985922,0.0,0.0,0.03309707096222066,0.032347735632931515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1841971677068995,0.12105898911975357,0.024504017862141753,0.0034460479030888305
two,random_walk,harbor_cove,anomaly_upper_tail,0.95,1.0,10,47.3,31.62609681892471,156.0,47.43416490252569,0.8333333333333334,0.26874192494328497,2.5,0.806225774829855,0.7332236842105263,0.15032219911722178,157.62564874878146,10.273479958179566,0.0,0.0,0.010195981554677205,0.013450706630793662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19175031954343852,0.08102610532292336,0.03273161375848967,0.005006599760069254
two,random_walk,peninsula_passage,anomaly_upper_tail,0.95,1.0,10,70.44444444444444,67.16168072662187,169.6,36.516297731287054,0.7333333333333333,0.3265986323710904,2.2,0.9797958971132712,0.7402854281422134,0.12737710311555187,192.92269340833158,46.42812564325107,0.00125,0.00375,0.05442633385619132,0.04388608977232862,0.0,0.0,0.0,0.0,0.0,0.0,7.8125e-05,0.00016674802701648043,0.0,0.0,0.0,0.0,0.21165284305255216,0.08991233555877784,0.029476166121739616,0.008420800373637675
