system,target_motion_mode,map_kind,clue_acquisition_mode,anomaly_tail_quantile,anomaly_weight_lambda,n,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,duplicate_viewpoint_ratio_mean,duplicate_viewpoint_ratio_std,cross_region_assignment_ratio_mean,cross_region_assignment_ratio_std,conflict_intervention_count_mean,conflict_intervention_count_std,wait_count_total_mean,wait_count_total_std,reservation_wait_fallback_count_mean,reservation_wait_fallback_count_std,reservation_near_neighbor_step_ratio_mean_mean,reservation_near_neighbor_step_ratio_mean_std,reservation_same_cell_violation_count_mean,reservation_same_cell_violation_count_std,reservation_swap_violation_count_mean,reservation_swap_violation_count_std,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
two,random_walk,ALL,anomaly_upper_tail,0.8,1.0,30,62.0,54.874402046856055,158.1578947368421,53.11780666632943,0.8222222222222222,0.25434495871687995,2.466666666666667,0.7630348761506398,0.7085376728532037,0.15989768874748003,170.5904514906889,26.783551351840178,0.0,0.0,0.027790013702810687,0.024567943023985298,0.06666666666666667,0.35901098714230023,0.06666666666666667,0.35901098714230023,0.0,0.0,9.614748677248677e-05,0.00036108912704475827,0.0,0.0,0.0,0.0,0.45217465765770887,0.12834943259832596,0.028975499391109848,0.006192268277340649
two,random_walk,ALL,anomaly_upper_tail,0.85,1.0,30,62.46666666666667,56.31265892812694,159.5,52.13108477674333,0.8333333333333334,0.25458753860865774,2.5,0.7637626158259734,0.7076290443108394,0.15990959156617507,148.87306098213566,25.266235735674055,0.0,0.0,0.0317084737150207,0.030416206049588182,0.0,0.0,0.0,0.0,0.0,0.0,4.0095899470899464e-05,0.00021592302674109079,0.0,0.0,0.0,0.0,0.3501222193834602,0.12498089270388231,0.02910836346557356,0.006208109796757898
two,random_walk,ALL,anomaly_upper_tail,0.95,1.0,30,58.0,52.43583928363606,153.68421052631578,53.36177681052919,0.8111111111111111,0.2813108644704925,2.433333333333333,0.8439325934114774,0.7036660200621718,0.1697122661907186,169.15212661324998,32.688136443363014,0.0004166666666666667,0.002243818669639377,0.03257312879102973,0.03711181388905131,0.0,0.0,0.0,0.0,0.0,0.0,2.604166666666667e-05,0.00010307588617220414,0.0,0.0,0.0,0.0,0.19586677676763006,0.0995105715666987,0.028903932580790336,0.006884499744485103
