step,step_targets_called,target_motion_mode,target_positions_before_step_targets,target_positions_after_step_targets,target_positions_static_after_step_targets,predict_intensity_called,joint_assignment_called,assignment_count,assignment_mode,apply_assignment_called,resolve_conflict_called,conflict_type,conflict_penalty,wait_applied_map,holo_target_cells,physical_execution_called,physical_step_success,physical_result,local_update_called_count,local_before,local_after,exec_results,last_seen_refreshed,staleness_rebuilt,apply_known_occupancy_constraints_called,remaining_target_mass_before,detect_targets_called,detected_by_usv,detection_masks_by_usv,team_detected_mask,update_found_mask_called,new_found_indices,team_detected_count,team_miss_update_called,hit_update_called,team_gp_update_called,team_search_info_update_called,team_trace_row_written,local_trace_rows_written,found_count_after,found_mask_after,find_times_after,remaining_intensity_mass_after,peak_intensity_ratio_after,known_free_observation_ratio_after,planning_time_ms,step_elapsed_ms,terminated_reason_after_step,gp_n_obs,gp_x_obs_len,gp_y_obs_len,gp_count_consistent,search_info_shape,search_info_expected_shape,search_info_has_nan,search_info_free_valid_count,search_info_map_peak,search_info_map_mean,search_info_shape_ok,search_info_valid
1,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}","{""0"": [24, 2], ""1"": [35, 3]}",True,True,"{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 4.9887251303816615, ""final_projected_cell"": [24, 2], ""last_known_world"": [-379.46661376953125, 155.0398712158203, 0.2269003689289093], ""projection_matches_target"": true, ""target_cell"": [24, 2]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 0.13616943359375, ""final_projected_cell"": [35, 3], ""last_known_world"": [-370.13616943359375, 50.0, 0.16591978073120117], ""projection_matches_target"": true, ""target_cell"": [35, 3]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""per_step_sensor_counts"": {""0"": {""GPSSensor"": 0, ""LocationSensor"": 76, ""last_known"": 0}, ""1"": {""GPSSensor"": 0, ""LocationSensor"": 76, ""last_known"": 0}}, ""policy_step"": 1, ""step_min_inter_vessel_distance_m"": 99.99850463462172, ""step_ticks"": 76, ""target_cells"": {""0"": [24, 2], ""1"": [35, 3]}, ""target_world"": {""0"": [-380.0, 160.0, 0.0], ""1"": [-370.0, 50.0, 0.0]}, ""timeout"": false}",2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[25, 2], [24, 2], [23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [17, 2]], ""robot_pos"": [25, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 2], [35, 3], [35, 4], [35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10]], ""robot_pos"": [35, 2]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[24, 2], [23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [17, 2]], ""robot_pos"": [24, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 3], [35, 4], [35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10]], ""robot_pos"": [35, 3]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [24, 2], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 3], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],1.0000000000000004,1.0147606447439264,0.020349302996314694,194.2012000000002,2794.5813000000007,running,96,96,96,True,"[81, 81]","[81, 81]",False,6241,1.0,0.962330820103602,True,True
2,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}","{""0"": [23, 2], ""1"": [35, 4]}",True,True,"{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 4.962050847092217, ""final_projected_cell"": [23, 2], ""last_known_world"": [-383.8279113769531, 166.84262084960938, 0.19472146034240723], ""projection_matches_target"": true, ""target_cell"": [23, 2]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 1.3809496676101276, ""final_projected_cell"": [35, 4], ""last_known_world"": [-358.6194763183594, 50.034297943115234, 0.18446844816207886], ""projection_matches_target"": true, ""target_cell"": [35, 4]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""per_step_sensor_counts"": {""0"": {""GPSSensor"": 0, ""LocationSensor"": 111, ""last_known"": 0}, ""1"": {""GPSSensor"": 0, ""LocationSensor"": 111, ""last_known"": 0}}, ""policy_step"": 2, ""step_min_inter_vessel_distance_m"": 105.60405496038108, ""step_ticks"": 111, ""target_cells"": {""0"": [23, 2], ""1"": [35, 4]}, ""target_world"": {""0"": [-380.0, 170.0, 0.0], ""1"": [-360.0, 50.0, 0.0]}, ""timeout"": false}",2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[24, 2], [23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4]], ""robot_pos"": [24, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 3], [35, 4], [35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11]], ""robot_pos"": [35, 3]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4]], ""robot_pos"": [23, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 4], [35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11]], ""robot_pos"": [35, 4]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [23, 2], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 4], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],1.0,1.0182625378376318,0.023233456176894728,298.12169999999935,4025.2455999999997,running,144,144,144,True,"[81, 81]","[81, 81]",False,6241,1.0,0.9401085807497638,True,True
3,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}","{""0"": [22, 2], ""1"": [35, 5]}",True,True,"{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 3.975781685520305, ""final_projected_cell"": [22, 2], ""last_known_world"": [-378.1934814453125, 176.45834350585938, 0.1802254468202591], ""projection_matches_target"": true, ""target_cell"": [22, 2]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 4.961136377570531, ""final_projected_cell"": [35, 5], ""last_known_world"": [-354.9573974609375, 49.80742645263672, 0.2184256613254547], ""projection_matches_target"": true, ""target_cell"": [35, 5]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""per_step_sensor_counts"": {""0"": {""GPSSensor"": 0, ""LocationSensor"": 98, ""last_known"": 0}, ""1"": {""GPSSensor"": 0, ""LocationSensor"": 98, ""last_known"": 0}}, ""policy_step"": 3, ""step_min_inter_vessel_distance_m"": 119.59319773985675, ""step_ticks"": 98, ""target_cells"": {""0"": [22, 2], ""1"": [35, 5]}, ""target_world"": {""0"": [-380.0, 180.0, 0.0], ""1"": [-350.0, 50.0, 0.0]}, ""timeout"": false}",2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[23, 2], [22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5]], ""robot_pos"": [23, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 4], [35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11], [35, 12]], ""robot_pos"": [35, 4]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5]], ""robot_pos"": [22, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11], [35, 12]], ""robot_pos"": [35, 5]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [22, 2], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 5], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],0.9999999999999997,1.0212144196711532,0.026117609357474765,201.9878999999989,3597.7400999999995,running,192,192,192,True,"[81, 81]","[81, 81]",False,6241,1.0,0.9505931127833614,True,True
4,True,static,"[[23, 21]]","[[23, 21]]",True,True,True,2,coordinated,True,True,,0.0,"{""0"": false, ""1"": false}","{""0"": [21, 2], ""1"": [35, 6]}",True,True,"{""arrived"": {""0"": true, ""1"": true}, ""final_by_usv"": {""0"": {""arrived"": true, ""final_distance_to_target_m"": 0.9770927653712318, ""final_projected_cell"": [21, 2], ""last_known_world"": [-380.87432861328125, 189.56381225585938, 0.184651181101799], ""projection_matches_target"": true, ""target_cell"": [21, 2]}, ""1"": {""arrived"": true, ""final_distance_to_target_m"": 4.949266091533035, ""final_projected_cell"": [35, 6], ""last_known_world"": [-342.9956970214844, 53.939674377441406, 0.18366828560829163], ""projection_matches_target"": true, ""target_cell"": [35, 6]}}, ""per_step_fallback_counts"": {""0"": 0, ""1"": 0}, ""per_step_sensor_counts"": {""0"": {""GPSSensor"": 0, ""LocationSensor"": 118, ""last_known"": 0}, ""1"": {""GPSSensor"": 0, ""LocationSensor"": 118, ""last_known"": 0}}, ""policy_step"": 4, ""step_min_inter_vessel_distance_m"": 128.85355103194865, ""step_ticks"": 118, ""target_cells"": {""0"": [21, 2], ""1"": [35, 6]}, ""target_world"": {""0"": [-380.0, 190.0, 0.0], ""1"": [-340.0, 50.0, 0.0]}, ""timeout"": false}",2,"{""0"": {""commit_remaining"": 4, ""committed_segment"": [[22, 2], [21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6]], ""robot_pos"": [22, 2]}, ""1"": {""commit_remaining"": 4, ""committed_segment"": [[35, 5], [35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11], [35, 12], [35, 13]], ""robot_pos"": [35, 5]}}","{""0"": {""commit_remaining"": 3, ""committed_segment"": [[21, 2], [20, 2], [19, 2], [18, 2], [18, 3], [18, 4], [18, 5], [18, 6]], ""robot_pos"": [21, 2]}, ""1"": {""commit_remaining"": 3, ""committed_segment"": [[35, 6], [35, 7], [35, 8], [35, 9], [35, 10], [35, 11], [35, 12], [35, 13]], ""robot_pos"": [35, 6]}}","{""0"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [21, 2], ""exec_result_present"": true}, ""1"": {""exec_collision"": false, ""exec_collision_cell"": null, ""exec_move_success"": true, ""exec_new_robot_pos"": [35, 6], ""exec_result_present"": true}}",True,True,True,1.0,True,"{""0"": 0, ""1"": 0}","{""0"": [false], ""1"": [false]}",[false],True,[],0,True,False,True,True,True,2,0,[false],[null],1.0,1.0239777049750958,0.0290017625380548,412.7857000000006,4408.4021,running,240,240,240,True,"[81, 81]","[81, 81]",False,6241,1.0,0.9578895683648534,True,True
