episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,49,,0.3333333333333333,1,0.3547745358090186,43.37302972969671,240,0.0026041666666666665,0.0026041666666666665,16.1625,0,0.24489795918367346,0.021756815582512804
1,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,70,,0.3333333333333333,1,0.3010610079575597,47.136165789532626,240,0.0026041666666666665,0.0026041666666666665,16.8125,0,0.42857142857142855,0.02180491709577043
2,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.3249336870026525,48.07985263153712,240,0.0026041666666666665,0.0026041666666666665,18.15,0,0.26666666666666666,0.020497072760090124
3,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,5,,0.3333333333333333,1,0.3052608311229001,44.01894736845765,240,0.0026041666666666665,0.0026041666666666665,17.120833333333334,0,0.0,0.02518044046044339
4,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,26,,0.3333333333333333,1,0.3353227232537577,46.43680256408399,240,0.0026041666666666665,0.0026041666666666665,15.025,0,0.6923076923076923,0.02175042004632963
5,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.3068081343943413,44.716163157892495,240,0.0026041666666666665,0.0026041666666666665,17.529166666666665,0,0.44166666666666665,0.018895302446915375
6,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,74,,0.6666666666666666,2,0.36693191865605657,46.34688918921145,240,0.0026041666666666665,0.0026041666666666665,15.879166666666666,0,0.47297297297297297,0.025679033491266982
7,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,76,229,1.0,3,0.34880636604774534,41.645250000050915,229,0.0027292576419213972,0.0027292576419213972,15.729257641921397,0,0.42105263157894735,0.025197327361864863
8,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,43,,0.3333333333333333,1,0.30437665782493367,44.70874000001004,240,0.0026041666666666665,0.0026041666666666665,16.791666666666668,0,0.16279069767441862,0.02672455977205067
9,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.33355437665782495,40.808267567504,240,0.0026041666666666665,0.0026041666666666665,16.820833333333333,0,0.4041666666666667,0.022705409670775677
0,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.4380482456140351,45.85595945944668,240,0.0026041666666666665,0.0026041666666666665,11.558333333333334,0,0.25,0.025610636595085303
1,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.4440789473684211,48.02713888893272,240,0.0026041666666666665,0.0026041666666666665,10.233333333333333,0,0.24583333333333332,0.025240735043640113
2,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,126,,0.3333333333333333,1,0.4786184210526316,52.18819459460556,240,0.0026041666666666665,0.0026041666666666665,9.320833333333333,0,0.5,0.02252415033416155
3,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,74,,0.6666666666666666,2,0.4166666666666667,45.44970250003644,240,0.0067708333333333336,0.0067708333333333336,5.166666666666667,0,0.3108108108108108,0.0281213809326652
4,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,149,,0.6666666666666666,2,0.4616228070175439,42.70714102567115,240,0.0026041666666666665,0.0026041666666666665,11.054166666666667,0,0.3624161073825503,0.02995504127419661
5,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,15,,0.3333333333333333,1,0.5243969298245614,63.06436388892204,240,0.0026041666666666665,0.0026041666666666665,8.645833333333334,0,0.2,0.03480236216415672
6,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.3834978070175439,45.70832702697894,240,0.0026041666666666665,0.0026041666666666665,8.1125,0,0.20416666666666666,0.026772422808405222
7,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,16,,0.3333333333333333,1,0.3996710526315789,65.28408055550648,240,0.0026041666666666665,0.0026041666666666665,6.879166666666666,0,0.0,0.028272765469355685
8,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,121,,0.3333333333333333,1,0.5093201754385965,50.29518888884215,240,0.0026041666666666665,0.0026041666666666665,8.645833333333334,0,0.5702479338842975,0.026622106250079207
9,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,15,,0.6666666666666666,2,0.5397478070175439,62.64030263166301,240,0.0026041666666666665,0.0026041666666666665,8.475,0,0.6666666666666666,0.039540616142681694
