map_kind,assignment_mode,clue_acquisition_mode,episode_count,success_all_found_mean,time_to_first_detection_mean,time_to_all_found_mean,time_to_next_detection_mean,detection_rate_mean,found_count_mean,known_free_observation_ratio_final_mean,path_length_total_mean,duplicate_viewpoint_ratio_mean,cross_region_assignment_ratio_mean,reservation_wait_fallback_count_mean,reservation_near_neighbor_step_ratio_mean_mean,reservation_same_cell_violation_count_mean,reservation_swap_violation_count_mean,wait_count_total_mean,anomaly_top_band_selection_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean
ALL,independent,ucb,30,0.36666666666666664,76.06666666666666,153.63636363636363,50.06,0.7333333333333333,2.2,0.7132005635198847,416.6,0.038261677385420044,0.2621152409070228,0.0,0.00014855884109916368,0.0,0.0,0.06666666666666667,0.30351446377309454,0.029124887306564408
open_water,independent,ucb,10,0.4,59.7,158.0,59.9375,0.7333333333333333,2.2,0.6731874447391689,414.2,0.04858360555328706,0.3142926972872869,0.0,0.0003524305555555556,0.0,0.0,0.2,0.31442579727500264,0.0251607889985662
harbor_cove,independent,ucb,10,0.5,68.9,144.4,38.94444444444444,0.7999999999999999,2.4,0.735718201754386,384.4,0.009563364055299539,0.14017516502188215,0.0,6.720430107526882e-05,0.0,0.0,0.0,0.30371379245442215,0.03367888117375121
peninsula_passage,independent,ucb,10,0.2,99.6,168.0,52.6875,0.6666666666666666,2.0,0.7306960440660991,451.2,0.056638062547673534,0.3318778604118993,0.0,2.6041666666666665e-05,0.0,0.0,0.0,0.29240380158985885,0.028534991747375817
ALL,independent,anomaly_upper_tail,30,0.6666666666666666,69.63333333333334,161.2,56.86538461538461,0.8444444444444444,2.533333333333333,0.6765725106824111,374.93333333333334,0.013013045716918071,0.238310788689273,0.0,9.957573454913881e-05,0.0,0.0,0.0,0.32314359517400276,0.02933713637590982
open_water,independent,anomaly_upper_tail,10,0.7,57.7,165.28571428571428,52.611111111111114,0.8666666666666667,2.6,0.662842617152962,375.4,0.003041055507621513,0.2253775225277864,0.0,0.0,0.0,0.0,0.0,0.30551695492973385,0.02617551058122415
harbor_cove,independent,anomaly_upper_tail,10,0.9,52.9,158.77777777777777,54.27777777777778,0.9333333333333333,2.8,0.6644462719298245,333.8,0.008153510303958736,0.14331281733046886,0.0,0.0,0.0,0.0,0.0,0.34241921724680346,0.0330718088477329
peninsula_passage,independent,anomaly_upper_tail,10,0.4,98.3,159.5,64.5625,0.7333333333333333,2.2,0.7024286429644466,415.6,0.027844571339173965,0.3462420262095638,0.0,0.0002987272036474164,0.0,0.0,0.0,0.3214946133454709,0.028764089698772418
