map_kind,episode_seed,clue_acquisition_mode,baseline_assignment_mode,challenger_assignment_mode,success_all_found_independent,success_all_found_coordinated,delta_coordinated_minus_independent_success_all_found,time_to_first_detection_independent,time_to_first_detection_coordinated,delta_coordinated_minus_independent_time_to_first_detection,time_to_all_found_independent,time_to_all_found_coordinated,delta_coordinated_minus_independent_time_to_all_found,time_to_next_detection_independent,time_to_next_detection_coordinated,delta_coordinated_minus_independent_time_to_next_detection,detection_rate_independent,detection_rate_coordinated,delta_coordinated_minus_independent_detection_rate,found_count_independent,found_count_coordinated,delta_coordinated_minus_independent_found_count,known_free_observation_ratio_final_independent,known_free_observation_ratio_final_coordinated,delta_coordinated_minus_independent_known_free_observation_ratio_final,path_length_total_independent,path_length_total_coordinated,delta_coordinated_minus_independent_path_length_total,duplicate_viewpoint_ratio_independent,duplicate_viewpoint_ratio_coordinated,delta_coordinated_minus_independent_duplicate_viewpoint_ratio,cross_region_assignment_ratio_independent,cross_region_assignment_ratio_coordinated,delta_coordinated_minus_independent_cross_region_assignment_ratio,reservation_wait_fallback_count_independent,reservation_wait_fallback_count_coordinated,delta_coordinated_minus_independent_reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean_independent,reservation_near_neighbor_step_ratio_mean_coordinated,delta_coordinated_minus_independent_reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count_independent,reservation_same_cell_violation_count_coordinated,delta_coordinated_minus_independent_reservation_same_cell_violation_count,reservation_swap_violation_count_independent,reservation_swap_violation_count_coordinated,delta_coordinated_minus_independent_reservation_swap_violation_count,wait_count_total_independent,wait_count_total_coordinated,delta_coordinated_minus_independent_wait_count_total,anomaly_top_band_selection_ratio_pre_first_detection_independent,anomaly_top_band_selection_ratio_pre_first_detection_coordinated,delta_coordinated_minus_independent_anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_independent,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_coordinated,delta_coordinated_minus_independent_unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
open_water,0,ucb,independent,coordinated,False,,,11,11,0.0,,,,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,2,1.0,0.8357648099027409,0.832449160035367,-0.003315649867373982,480,,,0.1,0.0,-0.1,0.21666666666666667,0.0,-0.21666666666666667,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.6363636363636364,0.5,-0.13636363636363635,0.030127664679312518,0.029589431637524685,-0.0005382330417878327
open_water,1,ucb,independent,coordinated,False,,,20,21,1.0,,232,,,,,0.3333333333333333,1.0,0.6666666666666667,1,3,2.0,0.6511936339522546,0.8236074270557029,0.1724137931034483,480,,,0.008333333333333333,0.0,-0.008333333333333333,0.31666666666666665,0.017241379310344827,-0.29942528735632185,0,0,0.0,0.0012847222222222223,0.0,-0.0012847222222222223,0,0,0.0,0,0,0.0,0,0,0.0,0.425,0.19047619047619047,-0.23452380952380952,0.032364752922469965,0.02533641070577062,-0.007028342216699346
open_water,2,ucb,independent,coordinated,True,,,66,80,14.0,155,173,18.0,44.5,,,1.0,1.0,0.0,3,3,0.0,0.7031388152077808,0.7130857648099027,0.009946949602121946,310,,,0.12903225806451613,0.0,-0.12903225806451613,0.13548387096774195,0.0,-0.13548387096774195,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3484848484848485,0.2375,-0.11098484848484852,0.024125790635009005,0.023942835645766866,-0.00018295498924213865
open_water,3,ucb,independent,coordinated,False,,,135,171,36.0,,,,87.0,,,0.6666666666666666,0.3333333333333333,-0.3333333333333333,2,1,-1.0,0.846816976127321,0.7891246684350133,-0.05769230769230771,480,,,0.0,0.0,0.0,0.46458333333333335,0.0375,-0.42708333333333337,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.29259259259259257,0.27485380116959063,-0.017738791423001943,0.02131822876067453,0.022117509423264573,0.0007992806625900448
open_water,4,ucb,independent,coordinated,False,,,103,158,55.0,,,,18.0,,,0.6666666666666666,0.6666666666666666,0.0,2,2,0.0,0.6297524314765695,0.8366489832007074,0.2068965517241379,480,,,0.075,0.0,-0.075,0.40625,0.0,-0.40625,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.32524271844660196,0.22784810126582278,-0.09739461718077919,0.019324577881524512,0.020408031187927483,0.0010834533064029706
open_water,5,ucb,independent,coordinated,False,,,44,71,27.0,,159,,33.0,,,0.6666666666666666,1.0,0.33333333333333337,2,3,1.0,0.6450044208664898,0.6456675508399646,0.0006631299734748408,478,,,0.09166666666666666,0.0,-0.09166666666666666,0.44583333333333336,0.03773584905660377,-0.4080974842767296,0,0,0.0,0.0022395833333333334,0.0,-0.0022395833333333334,0,0,0.0,0,0,0.0,2,0,-2.0,0.23863636363636365,0.1619718309859155,-0.07666453265044815,0.021672076606670462,0.025556396145666946,0.0038843195389964835
open_water,6,ucb,independent,coordinated,True,,,23,44,21.0,158,,,67.5,,,1.0,0.6666666666666666,-0.33333333333333337,3,2,-1.0,0.5755968169761273,0.8868258178603006,0.31122900088417327,316,,,0.04430379746835443,0.0,-0.04430379746835443,0.2974683544303797,0.008333333333333333,-0.28913502109704636,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.15217391304347827,0.26136363636363635,0.10918972332015808,0.027598051086563515,0.03500889840064015,0.007410847314076634
open_water,7,ucb,independent,coordinated,True,,,43,43,0.0,99,75,-24.0,28.0,,,1.0,1.0,0.0,3,3,0.0,0.46905393457117595,0.3713527851458886,-0.09770114942528735,198,,,0.0,0.0,0.0,0.12626262626262627,0.06666666666666667,-0.059595959595959605,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.313953488372093,0.1744186046511628,-0.13953488372093023,0.023437904693635783,0.023274061741002418,-0.0001638429526333654
open_water,8,ucb,independent,coordinated,True,,,9,20,11.0,220,187,-33.0,105.5,,,1.0,1.0,0.0,3,3,0.0,0.7223695844385499,0.6710875331564987,-0.05128205128205121,440,,,0.0,0.0,0.0,0.47954545454545455,0.008021390374331552,-0.471524064171123,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.1111111111111111,0.35,0.23888888888888887,0.0295234868604133,0.028673956728238775,-0.0008495301321745259
open_water,9,ucb,independent,coordinated,False,,,143,29,-114.0,,160,,96.0,,,0.6666666666666666,1.0,0.33333333333333337,2,3,1.0,0.653183023872679,0.6646772767462422,0.011494252873563204,480,,,0.0375,0.0,-0.0375,0.25416666666666665,0.0,-0.25416666666666665,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3006993006993007,0.06896551724137931,-0.23173378345792137,0.022115355859388387,0.023859243063678384,0.0017438872042899976
