map_kind,episode_seed,clue_acquisition_mode,baseline_assignment_mode,challenger_assignment_mode,success_all_found_independent,success_all_found_coordinated,delta_coordinated_minus_independent_success_all_found,time_to_first_detection_independent,time_to_first_detection_coordinated,delta_coordinated_minus_independent_time_to_first_detection,time_to_all_found_independent,time_to_all_found_coordinated,delta_coordinated_minus_independent_time_to_all_found,time_to_next_detection_independent,time_to_next_detection_coordinated,delta_coordinated_minus_independent_time_to_next_detection,detection_rate_independent,detection_rate_coordinated,delta_coordinated_minus_independent_detection_rate,found_count_independent,found_count_coordinated,delta_coordinated_minus_independent_found_count,known_free_observation_ratio_final_independent,known_free_observation_ratio_final_coordinated,delta_coordinated_minus_independent_known_free_observation_ratio_final,path_length_total_independent,path_length_total_coordinated,delta_coordinated_minus_independent_path_length_total,duplicate_viewpoint_ratio_independent,duplicate_viewpoint_ratio_coordinated,delta_coordinated_minus_independent_duplicate_viewpoint_ratio,cross_region_assignment_ratio_independent,cross_region_assignment_ratio_coordinated,delta_coordinated_minus_independent_cross_region_assignment_ratio,reservation_wait_fallback_count_independent,reservation_wait_fallback_count_coordinated,delta_coordinated_minus_independent_reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean_independent,reservation_near_neighbor_step_ratio_mean_coordinated,delta_coordinated_minus_independent_reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count_independent,reservation_same_cell_violation_count_coordinated,delta_coordinated_minus_independent_reservation_same_cell_violation_count,reservation_swap_violation_count_independent,reservation_swap_violation_count_coordinated,delta_coordinated_minus_independent_reservation_swap_violation_count,wait_count_total_independent,wait_count_total_coordinated,delta_coordinated_minus_independent_wait_count_total,anomaly_top_band_selection_ratio_pre_first_detection_independent,anomaly_top_band_selection_ratio_pre_first_detection_coordinated,delta_coordinated_minus_independent_anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_independent,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_coordinated,delta_coordinated_minus_independent_unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
open_water,0,anomaly_upper_tail,independent,coordinated,True,,,21,11,-10.0,183,85,-98.0,81.0,,,1.0,1.0,0.0,3,3,0.0,0.6774977895667551,0.41732979664014147,-0.26016799292661363,366,,,0.02185792349726776,0.0,-0.02185792349726776,0.33879781420765026,0.0058823529411764705,-0.3329154612664738,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.6190476190476191,0.45454545454545453,-0.16450216450216454,0.033022685652222196,0.030413021441315153,-0.002609664210907043
open_water,1,anomaly_upper_tail,independent,coordinated,True,,,22,21,-1.0,192,230,38.0,85.0,,,1.0,1.0,0.0,3,3,0.0,0.7926613616268788,0.812555260831123,0.019893899204244114,384,,,0.0,0.0,0.0,0.15104166666666666,0.04782608695652174,-0.10321557971014492,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.4090909090909091,0.23809523809523808,-0.17099567099567103,0.032853495466243325,0.02533641070577062,-0.007517084760472706
open_water,2,anomaly_upper_tail,independent,coordinated,False,,,67,79,12.0,,,,7.0,,,0.6666666666666666,0.6666666666666666,0.0,2,2,0.0,0.7285587975243147,0.7961980548187445,0.06763925729442977,480,,,0.0,0.0,0.0,0.42291666666666666,0.014583333333333334,-0.4083333333333333,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3656716417910448,0.2088607594936709,-0.1568108822973739,0.024045189328003057,0.02329323791646932,-0.0007519514115337383
open_water,3,anomaly_upper_tail,independent,coordinated,False,,,112,169,57.0,,,,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,2,1.0,0.6695402298850575,0.8388594164456233,0.16931918656056588,480,,,0.0,0.0,0.0,0.42083333333333334,0.09375,-0.32708333333333334,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3482142857142857,0.34911242603550297,0.0008981403212172667,0.020220999857344542,0.021421972991701316,0.0012009731343567732
open_water,4,anomaly_upper_tail,independent,coordinated,True,,,204,137,-67.0,228,188,-40.0,12.0,,,1.0,1.0,0.0,3,3,0.0,0.8231653404067197,0.7183908045977011,-0.10477453580901863,456,,,0.0043859649122807015,0.0,-0.0043859649122807015,0.35964912280701755,0.0026595744680851063,-0.3569895483389324,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3431372549019608,0.2664233576642336,-0.0767138972377272,0.022149772167521783,0.01890067121958425,-0.003249100947937532
open_water,5,anomaly_upper_tail,independent,coordinated,False,,,44,44,0.0,,102,,65.0,,,0.6666666666666666,1.0,0.33333333333333337,2,3,1.0,0.765473032714412,0.4666224580017683,-0.2988505747126437,480,,,0.004166666666666667,0.0,-0.004166666666666667,0.3333333333333333,0.0,-0.3333333333333333,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.23863636363636365,0.125,-0.11363636363636365,0.021672076606670462,0.021361055078268697,-0.0003110215284017649
open_water,6,anomaly_upper_tail,independent,coordinated,True,,,23,21,-2.0,98,93,-5.0,37.5,,,1.0,1.0,0.0,3,3,0.0,0.4484969053934571,0.3775419982316534,-0.07095490716180369,196,,,0.0,0.0,0.0,0.030612244897959183,0.06989247311827956,0.03928022822032038,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.13043478260869565,0.14285714285714285,0.0124223602484472,0.03247668705829506,0.026071372735985254,-0.006405314322309806
open_water,7,anomaly_upper_tail,independent,coordinated,True,,,43,43,0.0,168,75,-93.0,62.5,,,1.0,1.0,0.0,3,3,0.0,0.6290893015030946,0.371131741821397,-0.2579575596816976,336,,,0.0,0.0,0.0,0.03571428571428571,0.06,0.024285714285714285,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3023255813953488,0.20930232558139536,-0.09302325581395346,0.023344672019122048,0.023274061741002418,-7.061027811963022e-05
open_water,8,anomaly_upper_tail,independent,coordinated,True,,,9,20,11.0,93,102,9.0,42.0,,,1.0,1.0,0.0,3,3,0.0,0.42793987621573826,0.44297082228116713,0.015030946065428874,186,,,0.0,0.0,0.0,0.0967741935483871,0.014705882352941176,-0.08206831119544591,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.1111111111111111,0.35,0.23888888888888887,0.0295234868604133,0.028673956728238775,-0.0008495301321745259
open_water,9,anomaly_upper_tail,independent,coordinated,True,,,32,39,7.0,195,,,81.5,,,1.0,0.6666666666666666,-0.33333333333333337,3,2,-1.0,0.6660035366931919,0.773209549071618,0.10720601237842609,390,,,0.0,0.0,0.0,0.0641025641025641,0.0,-0.0641025641025641,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.1875,0.3333333333333333,0.14583333333333331,0.022446040796405754,0.02883870613690832,0.006392665340502566
