assignment_mode,avoidance_group,map_kind,episode_seed,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,known_free_observation_ratio_final,planning_time_ms_mean,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count
coordinated,full_dual_avoidance_v1,harbor_cove,2,soft_clearance_astar_v1,reservation_v1,1.0,1.0,50,,0.3333333333333333,0.7680921052631579,137.50050958332167,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,harbor_cove,3,soft_clearance_astar_v1,reservation_v1,1.0,1.0,12,47,1.0,0.29139254385964913,100.83860000002537,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,harbor_cove,4,soft_clearance_astar_v1,reservation_v1,1.0,1.0,13,79,1.0,0.45915570175438597,108.91295569624013,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,peninsula_passage,0,soft_clearance_astar_v1,reservation_v1,1.0,1.0,90,,0.6666666666666666,0.7481221832749124,203.9550520832904,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,peninsula_passage,1,soft_clearance_astar_v1,reservation_v1,1.0,1.0,21,,0.6666666666666666,0.7078117175763645,189.4885966666417,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,peninsula_passage,2,soft_clearance_astar_v1,reservation_v1,1.0,1.0,13,,0.6666666666666666,0.8813219829744617,228.72401124999064,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,peninsula_passage,3,soft_clearance_astar_v1,reservation_v1,1.0,1.0,192,,0.3333333333333333,0.8532799198798198,240.28380874998825,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,peninsula_passage,4,soft_clearance_astar_v1,reservation_v1,1.0,1.0,37,,0.3333333333333333,0.7986980470706059,241.1379279166681,0,0,0,0.0,0,0
independent,execution_only,open_water,0,off,off,1.0,1.0,6,,0.6666666666666666,0.623342175066313,50.035687083322955,0,0,0,0.0,0,0
independent,execution_only,open_water,1,off,off,1.0,1.0,21,,0.6666666666666666,0.6273209549071618,58.22363916665836,0,0,0,0.0,0,0
independent,execution_only,open_water,2,off,off,1.0,1.0,,,0.0,0.5497347480106101,46.1494758333212,0,0,0,0.0,0,0
independent,execution_only,open_water,3,off,off,1.0,1.0,168,,0.3333333333333333,0.5570291777188329,47.248191666604576,0,0,0,0.0,0,0
independent,execution_only,open_water,4,off,off,1.0,1.0,,,0.0,0.6074270557029178,54.388980416634546,0,0,0,0.0,0,0
independent,execution_only,harbor_cove,0,off,off,1.0,1.0,,,0.0,0.778234649122807,57.0162687500139,0,0,0,0.0,0,0
independent,execution_only,harbor_cove,1,off,off,1.0,1.0,76,,0.6666666666666666,0.7439692982456141,54.68180083334649,0,0,0,0.0,0,0
independent,execution_only,harbor_cove,2,off,off,1.0,1.0,53,,0.6666666666666666,0.8610197368421053,53.81839791665849,0,0,0,0.0,0,0
independent,execution_only,harbor_cove,3,off,off,1.0,1.0,43,221,1.0,0.6932565789473685,48.1861520361832,0,0,0,0.0,0,0
independent,execution_only,harbor_cove,4,off,off,1.0,1.0,13,193,1.0,0.7711074561403509,54.64192953373273,0,0,0,0.0,0,0
independent,execution_only,peninsula_passage,0,off,off,1.0,1.0,134,,0.3333333333333333,0.6547320981472209,44.09709791664985,0,0,0,0.0,0,0
independent,execution_only,peninsula_passage,1,off,off,1.0,1.0,69,,0.3333333333333333,0.4769654481722584,42.024330833362455,0,0,0,0.0,0,0
independent,execution_only,peninsula_passage,2,off,off,1.0,1.0,112,194,1.0,0.6224336504757135,46.067183505132114,0,0,0,0.0,0,0
independent,execution_only,peninsula_passage,3,off,off,1.0,1.0,61,,0.6666666666666666,0.7048072108162243,53.944619166660836,0,0,0,0.0,0,0
independent,execution_only,peninsula_passage,4,off,off,1.0,1.0,108,,0.3333333333333333,0.6517275913870806,51.019854166653055,0,0,0,0.0,0,0
independent,obstacle_only,open_water,0,soft_clearance_astar_v1,off,1.0,1.0,6,212,1.0,0.7115384615384616,128.53672971695198,0,0,0,0.0,0,0
independent,obstacle_only,open_water,1,soft_clearance_astar_v1,off,1.0,1.0,18,,0.6666666666666666,0.5366931918656057,53.10676000000285,0,0,0,0.0,0,0
independent,obstacle_only,open_water,2,soft_clearance_astar_v1,off,1.0,1.0,195,,0.3333333333333333,0.7106542882404951,76.835142499984,0,0,0,0.0,0,0
independent,obstacle_only,open_water,3,soft_clearance_astar_v1,off,1.0,1.0,128,,0.3333333333333333,0.5592396109637489,50.34862958332648,0,0,0,0.0,0,0
independent,obstacle_only,open_water,4,soft_clearance_astar_v1,off,1.0,1.0,189,,0.3333333333333333,0.6162687886825818,53.746016249969365,0,0,0,0.0,0,0
independent,obstacle_only,harbor_cove,0,soft_clearance_astar_v1,off,1.0,1.0,147,,0.3333333333333333,0.7828947368421053,82.58171583333554,0,0,0,0.0,0,0
