scene,tick,rgb_present,rangefinder_raw_beams,rangefinder_hit_beam_indices,any_rangefinder_hit,rangefinder_min_positive_range_m
target_front_center_35m,11,False,"[-1.0, -1.0, -1.0, -1.0, 32.80254364013672, -1.0, -1.0, -1.0, -1.0]",[4],True,32.80254364013672
target_front_center_35m,12,False,"[-1.0, -1.0, -1.0, -1.0, 32.802921295166016, -1.0, -1.0, -1.0, -1.0]",[4],True,32.802921295166016
target_front_center_40m,1,True,"[-1.0, -1.0, -1.0, -1.0, 37.80687713623047, -1.0, -1.0, -1.0, -1.0]",[4],True,37.80687713623047
target_front_center_40m,2,False,"[-1.0, -1.0, -1.0, -1.0, 37.806236267089844, -1.0, -1.0, -1.0, -1.0]",[4],True,37.806236267089844
target_front_center_40m,3,False,"[-1.0, -1.0, -1.0, -1.0, 37.805660247802734, -1.0, -1.0, -1.0, -1.0]",[4],True,37.805660247802734
target_front_center_40m,4,False,"[-1.0, -1.0, -1.0, -1.0, 37.805789947509766, -1.0, -1.0, -1.0, -1.0]",[4],True,37.805789947509766
target_front_center_40m,5,False,"[-1.0, -1.0, -1.0, -1.0, 37.80619812011719, -1.0, -1.0, -1.0, -1.0]",[4],True,37.80619812011719
target_front_center_40m,6,False,"[-1.0, -1.0, -1.0, -1.0, 37.807212829589844, -1.0, -1.0, -1.0, -1.0]",[4],True,37.807212829589844
target_front_center_40m,7,True,"[-1.0, -1.0, -1.0, -1.0, 37.808597564697266, -1.0, -1.0, -1.0, -1.0]",[4],True,37.808597564697266
target_front_center_40m,8,False,"[-1.0, -1.0, -1.0, -1.0, 37.81013870239258, -1.0, -1.0, -1.0, -1.0]",[4],True,37.81013870239258
target_front_center_40m,9,False,"[-1.0, -1.0, -1.0, -1.0, 37.811702728271484, -1.0, -1.0, -1.0, -1.0]",[4],True,37.811702728271484
target_front_center_40m,10,False,"[-1.0, -1.0, -1.0, -1.0, 37.81281280517578, -1.0, -1.0, -1.0, -1.0]",[4],True,37.81281280517578
target_front_center_40m,11,False,"[-1.0, -1.0, -1.0, -1.0, 37.8133430480957, -1.0, -1.0, -1.0, -1.0]",[4],True,37.8133430480957
target_front_center_40m,12,False,"[-1.0, -1.0, -1.0, -1.0, 37.8129997253418, -1.0, -1.0, -1.0, -1.0]",[4],True,37.8129997253418
target_front_center_45m,1,True,"[-1.0, -1.0, -1.0, -1.0, 42.8272705078125, -1.0, -1.0, -1.0, -1.0]",[4],True,42.8272705078125
target_front_center_45m,2,False,"[-1.0, -1.0, -1.0, -1.0, 42.82911682128906, -1.0, -1.0, -1.0, -1.0]",[4],True,42.82911682128906
target_front_center_45m,3,False,"[-1.0, -1.0, -1.0, -1.0, 42.83018493652344, -1.0, -1.0, -1.0, -1.0]",[4],True,42.83018493652344
target_front_center_45m,4,False,"[-1.0, -1.0, -1.0, -1.0, 42.82967758178711, -1.0, -1.0, -1.0, -1.0]",[4],True,42.82967758178711
target_front_center_45m,5,False,"[-1.0, -1.0, -1.0, -1.0, 42.8278694152832, -1.0, -1.0, -1.0, -1.0]",[4],True,42.8278694152832
target_front_center_45m,6,False,"[-1.0, -1.0, -1.0, -1.0, 42.824424743652344, -1.0, -1.0, -1.0, -1.0]",[4],True,42.824424743652344
target_front_center_45m,7,True,"[-1.0, -1.0, -1.0, -1.0, 42.81996536254883, -1.0, -1.0, -1.0, -1.0]",[4],True,42.81996536254883
target_front_center_45m,8,False,"[-1.0, -1.0, -1.0, -1.0, 42.81513214111328, -1.0, -1.0, -1.0, -1.0]",[4],True,42.81513214111328
target_front_center_45m,9,False,"[-1.0, -1.0, -1.0, -1.0, 42.811134338378906, -1.0, -1.0, -1.0, -1.0]",[4],True,42.811134338378906
target_front_center_45m,10,False,"[-1.0, -1.0, -1.0, -1.0, 42.80818176269531, -1.0, -1.0, -1.0, -1.0]",[4],True,42.80818176269531
target_front_center_45m,11,False,"[-1.0, -1.0, -1.0, -1.0, 42.806644439697266, -1.0, -1.0, -1.0, -1.0]",[4],True,42.806644439697266
target_front_center_45m,12,False,"[-1.0, -1.0, -1.0, -1.0, 42.807254791259766, -1.0, -1.0, -1.0, -1.0]",[4],True,42.807254791259766
target_front_center_50m,1,True,"[-1.0, -1.0, -1.0, -1.0, 47.8182373046875, -1.0, -1.0, -1.0, -1.0]",[4],True,47.8182373046875
target_front_center_50m,2,False,"[-1.0, -1.0, -1.0, -1.0, 47.81910705566406, -1.0, -1.0, -1.0, -1.0]",[4],True,47.81910705566406
target_front_center_50m,3,False,"[-1.0, -1.0, -1.0, -1.0, 47.818416595458984, -1.0, -1.0, -1.0, -1.0]",[4],True,47.818416595458984
target_front_center_50m,4,False,"[-1.0, -1.0, -1.0, -1.0, 47.81691360473633, -1.0, -1.0, -1.0, -1.0]",[4],True,47.81691360473633
target_front_center_50m,5,False,"[-1.0, -1.0, -1.0, -1.0, 47.814918518066406, -1.0, -1.0, -1.0, -1.0]",[4],True,47.814918518066406
target_front_center_50m,6,False,"[-1.0, -1.0, -1.0, -1.0, 47.81305694580078, -1.0, -1.0, -1.0, -1.0]",[4],True,47.81305694580078
target_front_center_50m,7,True,"[-1.0, -1.0, -1.0, -1.0, 47.811798095703125, -1.0, -1.0, -1.0, -1.0]",[4],True,47.811798095703125
target_front_center_50m,8,False,"[-1.0, -1.0, -1.0, -1.0, 47.81095886230469, -1.0, -1.0, -1.0, -1.0]",[4],True,47.81095886230469
target_front_center_50m,9,False,"[-1.0, -1.0, -1.0, -1.0, 47.810909271240234, -1.0, -1.0, -1.0, -1.0]",[4],True,47.810909271240234
target_front_center_50m,10,False,"[-1.0, -1.0, -1.0, -1.0, 47.81098175048828, -1.0, -1.0, -1.0, -1.0]",[4],True,47.81098175048828
target_front_center_50m,11,False,"[-1.0, -1.0, -1.0, -1.0, 47.81063461303711, -1.0, -1.0, -1.0, -1.0]",[4],True,47.81063461303711
target_front_center_50m,12,False,"[-1.0, -1.0, -1.0, -1.0, 47.81037902832031, -1.0, -1.0, -1.0, -1.0]",[4],True,47.81037902832031
