run_kind,policy_step,tick_in_policy_step,tick_global,post_arrival_stabilization_tick,standoff_viewpoint_hold_tick,post_arrival_scan_tick,post_scan_recenter_tick,scan_direction,capture_phase,agent_name,planner_callback_step,planned_path_source,preset_trajectory_used,target_cell,target_world,standoff_anchor_cell,standoff_anchor_world,standoff_anchor_source,wait_applied,loc_x,loc_y,loc_z,projected_row,projected_col,projection_matches_target,arrived,distance_to_waypoint_m,heading_deg,selected_sensor,fallback_used,rgb_present,rangefinder_present,any_rangefinder_hit,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,cmd_l,cmd_r,target_heading_deg,heading_error_deg,inter_vessel_distance_m
calibration,1,1,1,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,149.99993896484375,0.15590636432170868,25,2,False,False,10.00006103515625,0.13008423760418752,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.0,90.0,99.99987411499023
calibration,1,1,1,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,50.000064849853516,0.15175345540046692,35,2,False,False,10.000064849853516,359.8699157623958,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,270.0,-90.0,99.99987411499023
calibration,1,2,2,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,149.9998016357422,0.17426887154579163,25,2,False,False,10.000198364257812,0.38700010708596083,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.0,89.8699157623958,99.9996109008789
calibration,1,2,2,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,50.00019073486328,0.1715879887342453,35,2,False,False,10.000190734863281,359.61299989291405,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,270.0,-89.8699157623958,99.9996109008789
calibration,1,3,3,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,149.99961853027344,0.18916742503643036,25,2,False,False,10.000381469726562,0.7675759491342693,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.0,89.61299989291405,99.99923706054688
calibration,1,3,3,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,50.00038146972656,0.18839915096759796,35,2,False,False,10.000381469726562,359.23242415757784,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,270.0,-89.61299989291405,99.99923706054688
calibration,1,4,4,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,149.99935913085938,0.198890820145607,25,2,False,False,10.000640869187189,1.2687186832452182,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.0,89.23242405086575,99.99872589111328
calibration,1,4,4,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,50.000633239746094,0.20072564482688904,35,2,False,False,10.000633239792657,358.7312814234503,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,270.0,-89.23242415757784,99.99872589111328
calibration,1,5,5,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,149.99905395507812,0.20254553854465485,25,2,False,False,10.000946044968435,1.8874124604113272,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00017484163769,88.73145615839246,99.99811172485352
calibration,1,5,5,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,50.00094223022461,0.20748743414878845,35,2,False,False,10.00094223027117,358.1125879662439,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.99982515822893,-88.73145626522137,99.99811172485352
calibration,1,6,6,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,149.99868774414062,0.2002680003643036,25,2,False,False,10.001312255905935,2.620715351897545,LocationSensor,False,True,True,False,[],,-8000.0,8000.0,90.00017483630245,88.11276237589112,99.99737548828125
calibration,1,6,6,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,50.001312255859375,0.20871175825595856,35,2,False,False,10.001312255905935,357.37928528776297,LocationSensor,False,True,True,False,[],,8000.0,-8000.0,269.9998251636309,-88.11276280261302,99.99737548828125
calibration,1,7,7,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99993896484375,149.99826049804688,0.19300399720668793,25,2,False,False,10.001739502139356,3.465758205094925,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.0001748299006,87.37945947800307,99.99652481079102
calibration,1,7,7,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99993896484375,50.00173568725586,0.20465824007987976,35,2,False,False,10.00173568744209,356.5342428601703,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.99982517009937,-87.3794601176636,99.99652481079102
calibration,1,8,8,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999084472656,149.99777221679688,0.18242794275283813,25,2,False,False,10.002227783622125,4.41974173062793,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00034964486471,86.53459143976977,99.99555587768555
calibration,1,8,8,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999084472656,50.00221633911133,0.19632476568222046,35,2,False,False,10.00221633953033,355.5802595462243,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.9996503550019,-86.5345925051684,99.99555587768555
calibration,1,9,9,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9998474121094,149.9972381591797,0.1699879914522171,25,2,False,False,10.002761841984142,5.479933815647059,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00052444169401,85.58078271106609,99.9944839477539
calibration,1,9,9,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9998474121094,50.00275421142578,0.18496227264404297,35,2,False,False,10.002754212589613,354.52006703422467,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.999475557706,-85.5807839885183,99.9944839477539
calibration,1,10,10,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9997863769531,149.9966583251953,0.15757548809051514,25,2,False,False,10.003341677085665,6.643670062979517,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00087402282252,84.52094020717544,99.99331665039062
calibration,1,10,10,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9997863769531,50.00334167480469,0.17228461802005768,35,2,False,False,10.003341677085665,353.35632993702046,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.99912597651087,-84.5209410577138,99.99331665039062
calibration,1,11,11,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9997253417969,149.99600219726562,0.14671605825424194,25,2,False,False,10.003997806504723,7.908348125459017,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00122356102479,83.35755349804526,99.99201583862305
calibration,1,11,11,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9997253417969,50.00398635864258,0.15971656143665314,35,2,False,False,10.003986362412931,352.09164933757876,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.9987764389752,-83.35755349804526,99.99201583862305
calibration,1,12,12,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9996032714844,149.9953155517578,0.13872379064559937,25,2,False,False,10.004684456108176,9.271429695820533,LocationSensor,False,True,True,False,[],,-8000.0,8000.0,90.00157304671133,82.09322492125233,99.99063491821289
calibration,1,12,12,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9996032714844,50.00468063354492,0.14871668815612793,35,2,False,False,10.004680641410914,350.7285638556227,LocationSensor,False,True,True,False,[],,8000.0,-8000.0,269.9984269514892,-82.09322238608956,99.99063491821289
calibration,1,13,13,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9994812011719,149.9945526123047,0.13442842662334442,25,2,False,False,10.005447401145595,10.730436538970764,LocationSensor,False,False,True,False,[],,-7903.227636410119,8000.0,90.00227202263734,80.7308423268168,99.98912048339844
calibration,1,13,13,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9994812011719,50.00543212890625,0.14036233723163605,35,2,False,False,10.005432142356554,349.2695533948829,LocationSensor,False,False,True,False,[],,8000.0,-7903.226480545092,269.9977279764963,-80.7308358791264,99.98912048339844
calibration,1,14,14,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9992980957031,149.99374389648438,0.1338123232126236,25,2,False,False,10.006256128133705,12.282950384363488,LocationSensor,False,False,True,False,[],,-7566.825935542289,8000.0,90.00297087997063,79.27253434099987,99.98750305176247
calibration,1,14,14,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99932861328125,50.00624084472656,0.13538776338100433,35,2,False,False,10.006240867250511,347.71703387294207,LocationSensor,False,False,True,False,[],,8000.0,-7566.825156204807,269.99702911549866,-79.27252427938424,99.98750305176247
calibration,1,15,15,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9991149902344,149.9928741455078,0.13662444055080414,25,2,False,False,10.007125893626414,13.92661162961126,LocationSensor,False,False,True,False,[],,-7209.830948317297,8000.0,90.00401910098553,77.72106871662203,99.98577499389648
calibration,1,15,15,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9991149902344,50.00709915161133,0.13392458856105804,35,2,False,False,10.00709919074566,346.07336849555224,LocationSensor,False,False,True,False,[],,8000.0,-7209.788949993618,269.99615563667265,-77.72087823626941,99.98577499389648
calibration,1,16,16,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9988708496094,149.99195861816406,0.14240367710590363,25,2,False,False,10.008041445533745,15.659116471888112,LocationSensor,False,False,True,False,[],,-6833.014551062834,8000.0,90.00506712166943,76.0784554920582,99.98394775390625
calibration,1,16,16,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9988708496094,50.00801086425781,0.1356797069311142,35,2,False,False,10.008010927955814,344.340858666031,LocationSensor,False,False,True,False,[],,8000.0,-6833.013483988569,269.99493286480947,-76.07843563074277,99.98394775390625
calibration,1,17,17,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99859619140625,149.99099731445312,0.15002936124801636,25,2,False,False,10.009002783992177,17.478219194846034,LocationSensor,False,False,True,False,[],,-6437.353336474323,8000.0,90.00646435691816,74.34734788503005,99.98202514648438
calibration,1,17,17,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99859619140625,50.00897216796875,0.14021296799182892,35,2,False,False,10.008972266414352,342.52175329715675,LocationSensor,False,False,True,False,[],,8000.0,-6437.352131992037,269.99353562337,-74.347323042661,99.98202514648438
calibration,1,18,18,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9982604980469,149.989990234375,0.15819892287254333,25,2,False,False,10.01000991676706,19.381727914589245,LocationSensor,False,True,True,False,[],,-6023.7456752758735,8000.0,90.00803599615922,72.52981680131319,99.98000717163086
