run_kind,policy_step,tick_in_policy_step,tick_global,post_arrival_stabilization_tick,standoff_viewpoint_hold_tick,post_arrival_scan_tick,post_scan_recenter_tick,scan_direction,capture_phase,agent_name,planner_callback_step,planned_path_source,preset_trajectory_used,target_cell,target_world,standoff_anchor_cell,standoff_anchor_world,standoff_anchor_source,wait_applied,loc_x,loc_y,loc_z,projected_row,projected_col,projection_matches_target,arrived,distance_to_waypoint_m,heading_deg,selected_sensor,fallback_used,rgb_present,rangefinder_present,any_rangefinder_hit,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,cmd_l,cmd_r,target_heading_deg,heading_error_deg,inter_vessel_distance_m
calibration,1,7,7,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99993896484375,50.00173568725586,0.21343228220939636,35,2,False,False,10.00173568744209,356.5342407296398,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.99982517009937,-87.37945905156272,99.99652481079102
calibration,1,8,8,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999084472656,149.99777221679688,0.20002737641334534,25,2,False,False,10.002227783622125,4.41974173062793,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00034964486471,86.53459143976977,99.99555587768555
calibration,1,8,8,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999084472656,50.00221633911133,0.2012757509946823,35,2,False,False,10.00221633953033,355.5802561412851,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.9996503550019,-86.5345903746379,99.99555587768555
calibration,1,9,9,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9998474121094,149.9972381591797,0.18717533349990845,25,2,False,False,10.002761841984142,5.479935090454619,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00052444169401,85.58078271106609,99.99448776245117
calibration,1,9,9,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9998474121094,50.002750396728516,0.18676665425300598,35,2,False,False,10.002750397892347,354.5200627848661,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.999475557706,-85.5807805835791,99.99448776245117
calibration,1,10,10,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9997863769531,149.9966583251953,0.1736275553703308,25,2,False,False,10.003341677085665,6.643672607101287,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00087402282252,84.52093893236793,99.99332046508789
calibration,1,10,10,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9997863769531,50.00333786010742,0.1721392422914505,35,2,False,False,10.0033378623884,353.3563252727973,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.99912597617754,-84.52093680868859,99.99332046508789
calibration,1,11,11,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9997253417969,149.9960174560547,0.16104085743427277,25,2,False,False,10.003982547715667,7.908352353729363,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00122356102479,83.35755095392346,99.99203491210938
calibration,1,11,11,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9997253417969,50.00398254394531,0.15916898846626282,35,2,False,False,10.003982547715667,352.09164510930844,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.9987764385086,-83.35754883428865,99.99203491210938
calibration,1,12,12,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9996032714844,149.9953155517578,0.1505534052848816,25,2,False,False,10.004684456108176,9.271436986997921,LocationSensor,False,True,True,False,[],,-8000.0,8000.0,90.00157304911066,82.09322069538132,99.99063491821289
