map_kind,baseline_clue_acquisition_mode,challenger_clue_acquisition_mode,assignment_mode,viewpoint_generation_mode,target_motion_mode,path_safety_mode,team_path_avoidance_mode,time_to_first_detection_delta_mean,time_to_all_found_delta_mean,detection_rate_delta_mean,found_count_delta_mean,known_free_observation_ratio_final_delta_mean,planning_time_ms_mean_delta_mean,anomaly_top_band_selection_ratio_pre_first_detection_delta_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_delta_mean,duplicate_viewpoint_ratio_delta_mean,cross_region_assignment_ratio_delta_mean,conflict_intervention_count_delta_mean,wait_count_total_delta_mean
ALL,ucb,anomaly_upper_tail,independent,simple_ring_v1,random_walk,soft_clearance_astar_v1,reservation_v1,-10.666666666666666,-18.666666666666668,0.02222222222222222,0.06666666666666667,-0.032410076004365185,-8.749554051162354,0.03556282031532065,0.0007259201041307264,5.2874891129953136e-05,-0.0296962515322785,0.0,0.0
open_water,ucb,anomaly_upper_tail,independent,simple_ring_v1,random_walk,soft_clearance_astar_v1,reservation_v1,-29.2,-19.75,0.03333333333333334,0.1,-0.04431918656056587,-4.998909870093299,0.027910261796550706,0.0024151523772226622,-0.014587126245913226,-0.05843366340737768,-0.3,-0.3
harbor_cove,ucb,anomaly_upper_tail,independent,simple_ring_v1,random_walk,soft_clearance_astar_v1,reservation_v1,-2.3,-22.333333333333332,0.03333333333333334,0.1,-0.0746436403508772,-3.082682723008557,0.010935200062885512,-0.0009201929383204098,-0.0016466845875101235,-0.06398296136982483,0.0,0.0
peninsula_passage,ucb,anomaly_upper_tail,independent,simple_ring_v1,random_walk,soft_clearance_astar_v1,reservation_v1,-0.5,-5.5,-5.551115123125783e-18,0.0,0.021732598898347506,-18.167069560385208,0.06784299908652573,0.000682800873489927,0.016392435506813213,0.033327870180366995,0.3,0.3
