tick_global,waypoint_index,target_cell,target_world_x,target_world_y,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
34,0,"[40, 45]",25.0,0.0,3.631917953491211,0.0,0.14899006485939026,40,41,21.36808204650879,0.0,0.0,0.0,8000.0,8000.0,False,False
35,0,"[40, 45]",25.0,0.0,3.7770638465881348,0.0,0.16953033208847046,40,41,21.222936153411865,0.0,0.0,0.0,8000.0,8000.0,False,False
36,0,"[40, 45]",25.0,0.0,3.9226348400115967,0.0,0.1874397248029709,40,41,21.077365159988403,0.0,0.0,0.0,8000.0,8000.0,False,False
37,0,"[40, 45]",25.0,0.0,4.068599224090576,0.0,0.20121988654136658,40,41,20.931400775909424,0.0,0.0,0.0,8000.0,8000.0,False,False
38,0,"[40, 45]",25.0,0.0,4.214929580688477,0.0,0.20952226221561432,40,41,20.785070419311523,0.0,0.0,0.0,8000.0,8000.0,False,False
39,0,"[40, 45]",25.0,0.0,4.3615946769714355,0.0,0.21195565164089203,40,41,20.638405323028564,0.0,0.0,0.0,8000.0,8000.0,False,False
40,0,"[40, 45]",25.0,0.0,4.5085649490356445,0.0,0.20863784849643707,40,41,20.491435050964355,0.0,0.0,0.0,8000.0,8000.0,False,False
41,0,"[40, 45]",25.0,0.0,4.655806064605713,0.0,0.2006155252456665,40,41,20.344193935394287,0.0,0.0,0.0,8000.0,8000.0,False,False
42,0,"[40, 45]",25.0,0.0,4.803283214569092,0.0,0.18947772681713104,40,41,20.196716785430908,0.0,0.0,0.0,8000.0,8000.0,False,False
43,0,"[40, 45]",25.0,0.0,4.95096492767334,0.0,0.17677219212055206,40,41,20.04903507232666,0.0,0.0,0.0,8000.0,8000.0,False,False
44,0,"[40, 45]",25.0,0.0,5.09882116317749,0.0,0.16400933265686035,40,41,19.90117883682251,0.0,0.0,0.0,8000.0,8000.0,False,False
45,0,"[40, 45]",25.0,0.0,5.246824741363525,0.0,0.15266568958759308,40,41,19.753175258636475,0.0,0.0,0.0,8000.0,8000.0,False,False
46,0,"[40, 45]",25.0,0.0,5.394954204559326,0.0,0.1435987949371338,40,41,19.605045795440674,0.0,0.0,0.0,8000.0,8000.0,False,False
47,0,"[40, 45]",25.0,0.0,5.543190002441406,0.0,0.1375797986984253,40,41,19.456809997558594,0.0,0.0,0.0,8000.0,8000.0,False,False
48,0,"[40, 45]",25.0,0.0,5.691515922546387,0.0,0.13506685197353363,40,41,19.308484077453613,0.0,0.0,0.0,8000.0,8000.0,False,False
49,0,"[40, 45]",25.0,0.0,5.8399224281311035,0.0,0.13594253361225128,40,41,19.160077571868896,0.0,0.0,0.0,8000.0,8000.0,False,False
50,0,"[40, 45]",25.0,0.0,5.988401412963867,0.0,0.139689639210701,40,41,19.011598587036133,0.0,0.0,0.0,8000.0,8000.0,False,False
51,0,"[40, 45]",25.0,0.0,6.136949062347412,0.0,0.1456078290939331,40,41,18.863050937652588,0.0,0.0,0.0,8000.0,8000.0,False,False
52,0,"[40, 45]",25.0,0.0,6.285562038421631,0.0,0.15289096534252167,40,41,18.71443796157837,0.0,0.0,0.0,8000.0,8000.0,False,False
53,0,"[40, 45]",25.0,0.0,6.434239387512207,0.0,0.16052015125751495,40,41,18.565760612487793,0.0,0.0,0.0,8000.0,8000.0,False,False
54,0,"[40, 45]",25.0,0.0,6.582979679107666,0.0,0.16781404614448547,40,41,18.417020320892334,0.0,0.0,0.0,8000.0,8000.0,False,False
55,0,"[40, 45]",25.0,0.0,6.731781482696533,0.0,0.17398345470428467,40,41,18.268218517303467,0.0,0.0,0.0,8000.0,8000.0,False,False
56,0,"[40, 45]",25.0,0.0,6.880642890930176,0.0,0.17861226201057434,40,41,18.119357109069824,0.0,0.0,0.0,8000.0,8000.0,False,False
57,0,"[40, 45]",25.0,0.0,7.029560089111328,0.0,0.1813848912715912,40,41,17.970439910888672,0.0,0.0,0.0,8000.0,8000.0,False,False
58,0,"[40, 45]",25.0,0.0,7.178530216217041,0.0,0.18225248157978058,40,41,17.82146978378296,0.0,0.0,0.0,8000.0,8000.0,False,False
59,0,"[40, 45]",25.0,0.0,7.327547550201416,0.0,0.18128865957260132,40,41,17.672452449798584,0.0,0.0,0.0,8000.0,8000.0,False,False
60,0,"[40, 45]",25.0,0.0,7.476606845855713,0.0,0.1789124459028244,40,41,17.523393154144287,0.0,0.0,0.0,8000.0,8000.0,False,False
61,0,"[40, 45]",25.0,0.0,7.625702381134033,0.0,0.17538322508335114,40,42,17.374297618865967,0.0,0.0,0.0,8000.0,8000.0,False,False
62,0,"[40, 45]",25.0,0.0,7.774829864501953,0.0,0.17093433439731598,40,42,17.225170135498047,0.0,0.0,0.0,8000.0,8000.0,False,False
63,0,"[40, 45]",25.0,0.0,7.923981666564941,0.0,0.16636383533477783,40,42,17.07601833343506,0.0,0.0,0.0,8000.0,8000.0,False,False
64,0,"[40, 45]",25.0,0.0,8.073151588439941,0.0,0.16209560632705688,40,42,16.92684841156006,0.0,0.0,0.0,8000.0,8000.0,False,False
65,0,"[40, 45]",25.0,0.0,8.222335815429688,0.0,0.15856973826885223,40,42,16.777664184570312,0.0,0.0,0.0,8000.0,8000.0,False,False
66,0,"[40, 45]",25.0,0.0,8.371529579162598,0.0,0.15600571036338806,40,42,16.628470420837402,0.0,0.0,0.0,8000.0,8000.0,False,False
67,0,"[40, 45]",25.0,0.0,8.520730972290039,0.0,0.154659703373909,40,42,16.47926902770996,0.0,0.0,0.0,8000.0,8000.0,False,False
68,0,"[40, 45]",25.0,0.0,8.669938087463379,0.0,0.15452693402767181,40,42,16.33006191253662,0.0,0.0,0.0,8000.0,8000.0,False,False
69,0,"[40, 45]",25.0,0.0,8.819149017333984,0.0,0.15548545122146606,40,42,16.180850982666016,0.0,0.0,0.0,8000.0,8000.0,False,False
70,0,"[40, 45]",25.0,0.0,8.968364715576172,0.0,0.1573668122291565,40,42,16.031635284423828,0.0,0.0,0.0,8000.0,8000.0,False,False
71,0,"[40, 45]",25.0,0.0,9.117587089538574,0.0,0.15978430211544037,40,42,15.882412910461426,0.0,0.0,0.0,8000.0,8000.0,False,False
72,0,"[40, 45]",25.0,0.0,9.266817092895508,0.0,0.16244888305664062,40,42,15.733182907104492,0.0,0.0,0.0,8000.0,8000.0,False,False
73,0,"[40, 45]",25.0,0.0,9.416053771972656,0.0,0.16515937447547913,40,42,15.583946228027344,0.0,0.0,0.0,8000.0,8000.0,False,False
74,0,"[40, 45]",25.0,0.0,9.565299987792969,0.0,0.16761720180511475,40,42,15.434700012207031,0.0,0.0,0.0,8000.0,8000.0,False,False
75,0,"[40, 45]",25.0,0.0,9.714557647705078,0.0,0.16943621635437012,40,42,15.285442352294922,0.0,0.0,0.0,8000.0,8000.0,False,False
