run_kind,policy_step,tick_in_policy_step,tick_global,post_arrival_stabilization_tick,agent_name,planner_callback_step,planned_path_source,preset_trajectory_used,target_cell,target_world,wait_applied,loc_x,loc_y,loc_z,projected_row,projected_col,projection_matches_target,arrived,distance_to_waypoint_m,heading_deg,selected_sensor,fallback_used,rgb_present,rangefinder_present,any_rangefinder_hit,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,cmd_l,cmd_r,target_heading_deg,heading_error_deg,inter_vessel_distance_m
calibration,1,8,8,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9999084472656,50.00221633911133,0.19568149745464325,35,2,False,False,10.00221633953033,355.5802569925199,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.9996503550019,-86.53459080074401,99.99555587768555
calibration,1,9,9,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9998474121094,149.9972381591797,0.1918417066335678,25,2,False,False,10.002761841984142,5.479932115903639,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00052444169401,85.58078483915307,99.99448776245117
calibration,1,9,9,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9998474121094,50.002750396728516,0.18185226619243622,35,2,False,False,10.002750397892347,354.5200636347378,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.999475557706,-85.5807814348139,99.99448776245117
calibration,1,10,10,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9997863769531,149.9966583251953,0.1801796853542328,25,2,False,False,10.003341677085665,6.643668790918623,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00087402282252,84.52094190691889,99.99332046508789
calibration,1,10,10,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9997863769531,50.00333786010742,0.16795428097248077,35,2,False,False,10.0033378623884,353.3563265448581,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.99912597617754,-84.52093765856029,99.99332046508789
calibration,1,11,11,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9997253417969,149.99600219726562,0.16876085102558136,25,2,False,False,10.003997806504723,7.908348971113093,LocationSensor,False,False,True,False,[],,-8000.0,8000.0,90.00122356102479,83.35755477010616,99.99201965332031
calibration,1,11,11,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9997253417969,50.00398254394531,0.15581683814525604,35,2,False,False,10.003982547715667,352.09164680061656,LocationSensor,False,False,True,False,[],,8000.0,-8000.0,269.9987764385086,-83.35755010634949,99.99201965332031
calibration,1,12,12,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9996032714844,149.9953155517578,0.15820719301700592,25,2,False,False,10.004684456108176,9.271433066303015,LocationSensor,False,True,True,False,[],,-8000.0,8000.0,90.00157304671133,82.09322407559824,99.99063491821289
calibration,1,12,12,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9996032714844,50.00468063354492,0.14685086905956268,35,2,False,False,10.004680641410914,350.72856469824336,LocationSensor,False,True,True,False,[],,8000.0,-8000.0,269.9984269508893,-82.09321984972723,99.99063491821289
calibration,1,13,13,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9994812011719,149.99456787109375,0.14925479888916016,25,2,False,False,10.005432142356554,10.730444927426088,LocationSensor,False,False,True,False,[],,-7903.226858209152,8000.0,90.00227202263734,80.73083895633431,99.98913192749023
calibration,1,13,13,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9994812011719,50.005435943603516,0.14167925715446472,35,2,False,False,10.005435957053814,349.26955758911043,LocationSensor,False,False,True,False,[],,8000.0,-7903.226675095306,269.9977279764963,-80.73083672174704,99.98913192749023
calibration,1,14,14,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.99932861328125,149.99375915527344,0.1431540697813034,25,2,False,False,10.006240867250511,12.282966127057916,LocationSensor,False,False,True,False,[],,-7566.825542678415,8000.0,90.00297088450137,79.27252595707529,99.987510681157
calibration,1,14,14,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9992980957031,50.006248474121094,0.14074492454528809,35,2,False,False,10.006248498739193,347.71704377601617,LocationSensor,False,False,True,False,[],,8000.0,-7566.825737512554,269.9970291166313,-79.27252847247911,99.987510681157
calibration,1,15,15,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9991149902344,149.99290466308594,0.14020702242851257,25,2,False,False,10.00709537604841,13.926633990486021,LocationSensor,False,False,True,False,[],,-7209.788949993618,8000.0,90.00384436332733,77.72087823626941,99.98579406738281
calibration,1,15,15,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9991149902344,50.007110595703125,0.14368221163749695,35,2,False,False,10.007110634837412,346.073382576368,LocationSensor,False,False,True,False,[],,8000.0,-7209.830486450216,269.9959808959501,-77.72106288006609,99.98579406738281
calibration,1,16,16,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9988708496094,149.9919891357422,0.1406266838312149,25,2,False,False,10.008010927955814,15.659144622327346,LocationSensor,False,False,True,False,[],,-6833.0134124168935,8000.0,90.0050671371221,76.07843314663609,99.98395919799805
calibration,1,16,16,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9988708496094,50.00802993774414,0.1497504860162735,35,2,False,False,10.008030001442021,344.3408785955738,LocationSensor,False,False,True,False,[],,8000.0,-6833.015214898794,269.99493287060426,-76.07844970576372,99.98395919799805
calibration,1,17,17,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.99859619140625,149.99102783203125,0.14413443207740784,25,2,False,False,10.008972266414352,17.47825158901663,LocationSensor,False,False,True,False,[],,-6437.35138219456,8000.0,90.00646437663,74.34731975430265,99.9820327758789
calibration,1,17,17,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.99859619140625,50.008995056152344,0.15769508481025696,35,2,False,False,10.008995154597718,342.52177652199583,LocationSensor,False,False,True,False,[],,8000.0,-6437.353885950983,269.9935356356899,-74.34734295988392,99.9820327758789
calibration,1,18,18,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9982604980469,149.99002075195312,0.15000909566879272,25,2,False,False,10.009979399189397,19.381761442329342,LocationSensor,False,True,True,False,[],,-6023.743292123388,8000.0,90.00803602066115,72.52978443164452,99.98001098632812
calibration,1,18,18,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9982604980469,50.010009765625,0.16656319797039032,35,2,False,False,10.01000991676706,340.61826934126583,LocationSensor,False,True,True,False,[],,8000.0,-6023.745945320545,269.9919639977153,-72.52981252428054,99.98001098632812
calibration,1,19,19,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.99786376953125,149.9889678955078,0.1574251651763916,25,2,False,False,10.01103233241477,21.36753395441861,LocationSensor,False,False,True,False,[],,-5593.215025712527,8000.0,90.00995667592268,70.62819523359335,99.9779052734375
calibration,1,19,19,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.99786376953125,50.01106262207031,0.17490941286087036,35,2,False,False,10.011062849992198,338.6324964660484,LocationSensor,False,False,True,False,[],,8000.0,-5593.216482869855,269.99004335443226,-70.62822598683357,99.9779052734375
calibration,1,20,20,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9974060058594,149.9878692626953,0.16540448367595673,25,2,False,False,10.01213107333733,23.433480975354563,LocationSensor,False,False,True,False,[],,-5146.8025095195935,8000.0,90.01222621072345,68.64469225630484,99.97571182250977
calibration,1,20,20,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.9974060058594,50.01215744018555,0.1819620281457901,35,2,False,False,10.012157776217293,336.5665416915622,LocationSensor,False,False,True,False,[],,8000.0,-5146.803302764907,269.98777382654674,-68.64472263950165,99.97571182250977
calibration,1,21,21,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.9969177246094,149.9867401123047,0.17312553524971008,25,2,False,False,10.013260362087342,25.57757136941677,LocationSensor,False,False,True,False,[],,-4685.593898641607,8000.0,90.01484448384801,66.58136350849344,99.97346115112771
calibration,1,21,21,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.99688720703125,50.01327896118164,0.18690894544124603,35,2,False,False,10.013279445013154,334.4224392808206,LocationSensor,False,False,True,False,[],,8000.0,-4685.59318636629,269.98515555574295,-66.58138613581923,99.97346115112771
calibration,1,22,22,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.996337890625,149.98558044433594,0.17973144352436066,25,2,False,False,10.01442022525078,27.79782148511801,LocationSensor,False,False,True,False,[],,-4210.694851743565,8000.0,90.01763675042722,64.44006538101044,99.97114944458008
calibration,1,22,22,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.996337890625,50.01443099975586,0.18907810747623444,35,2,False,False,10.014431669341812,332.20217867918086,LocationSensor,False,False,True,False,[],,8000.0,-4210.731277395647,269.9821886622201,-64.44025061860049,99.97114944458008
calibration,1,23,23,False,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]",False,-379.99566650390625,149.98439025878906,0.18474498391151428,25,2,False,False,10.015610678706906,30.092297060300005,LocationSensor,False,False,True,False,[],,-3723.3796167727146,8000.0,90.02095212815718,62.223130643039156,99.96878814697266
calibration,1,23,23,False,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]",False,-379.99566650390625,50.015602111816406,0.1886289119720459,35,2,False,False,10.01560304931309,329.90768645230224,LocationSensor,False,False,True,False,[],,8000.0,-3723.376758596519,269.9790478957861,-62.223130783394765,99.96878814697266
