map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,viewpoint_generation_mode,path_safety_mode,anomaly_tail_quantile,anomaly_weight_lambda,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,path_length_mean,path_length_std,clearance_penalty_raw_mean_mean,clearance_penalty_raw_mean_std,near_obstacle_step_ratio_mean,near_obstacle_step_ratio_std,min_clearance_cells_mean_mean,min_clearance_cells_mean_std,path_invalidations_per_episode_mean,path_invalidations_per_episode_std
ALL,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,53.166666666666664,35.21465919503158,153.05882352941177,53.777833382554554,0.8555555555555556,0.16517854163687232,2.566666666666667,0.4955356249106169,0.6481042685892748,0.16583943952033722,19.053483354665897,3.348750298817035,190.73333333333332,59.1179235840442,0.004120084761456174,0.002052233456753905,0.004120084761456174,0.002052233456753905,5.682141136764866,2.1020287399763204,0.0,0.0
open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,71.1,47.49621037514467,125.42857142857143,54.12381874093919,0.9,0.1527525231651947,2.7,0.45825756949558405,0.5355263157894736,0.18409337664940964,16.55067330315792,2.9237543872345553,159.8,69.3336858965395,0.005334631731869749,0.0026269748993014916,0.005334631731869749,0.0026269748993014916,8.137690203115739,1.0368058167817233,0.0,0.0
harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,32.6,13.893883546366725,166.0,53.455589043616385,0.8,0.16329931618554522,2.4,0.48989794855663565,0.7251689189189189,0.13329891023336174,19.676563069693884,3.3180874721362357,210.4,49.5705557765898,0.0037005029300986383,0.0016929817512650594,0.0037005029300986383,0.0016929817512650594,5.3640408120705025,1.1840936475008268,0.0,0.0
peninsula_passage,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,55.8,22.79824554653274,176.66666666666666,36.22000674887967,0.8666666666666668,0.16329931618554522,2.6,0.48989794855663565,0.6836175710594314,0.10476276946661026,20.933213691145887,1.9745047173326506,202.0,41.83061080118243,0.003325119622400135,0.0007646301867720998,0.003325119622400135,0.0007646301867720998,3.5446923951083575,0.28095239144524303,0.0,0.0
ALL,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,46.0,27.461488184971575,166.4,51.480481738227745,0.8666666666666668,0.2036700308869262,2.6,0.6110100926607787,0.6771214424972392,0.15245054738764363,21.183175924200967,4.298529981150984,190.93333333333334,54.503170142254625,0.0037602090575353233,0.0018677807610026787,0.0037602090575353233,0.0018677807610026787,5.696800122263048,1.9794537333568427,0.0,0.0
open_water,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,56.2,30.23838620032491,173.25,46.804780738723686,0.8666666666666666,0.26666666666666666,2.6,0.8,0.6650635208711433,0.17366413092933572,17.76940421460348,1.9926705347537184,186.6,49.65319727872516,0.0037376292457819106,0.0015444392701405264,0.0037376292457819106,0.0015444392701405264,7.829214270780136,0.8249550149677068,0.0,0.0
harbor_cove,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,32.4,12.026637102698327,146.14285714285714,54.11476843954251,0.8999999999999998,0.1527525231651947,2.7,0.45825756949558405,0.6439752252252252,0.14513490838935766,22.611868401451538,4.239998813394348,174.3,62.448458747994735,0.004407015888731092,0.0025262554913624458,0.004407015888731092,0.0025262554913624458,5.694136461227583,1.3614905369081878,0.0,0.0
peninsula_passage,single_usv_infosampled,random_walk,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,49.4,30.047296051392042,183.8,45.207963900180246,0.8333333333333333,0.16666666666666669,2.5,0.5,0.7223255813953487,0.12333959958117098,23.16825515654789,3.98098168300294,211.9,42.56160241344303,0.0031359820380929652,0.0009434125026423481,0.0031359820380929652,0.0009434125026423481,3.567049634781423,0.37076900339149627,0.0,0.0
