tick_global,wp_ticks,sv0_target_cell,sv0_target_world,sv0_loc_x,sv0_loc_y,sv0_loc_z,sv0_proj_row,sv0_proj_col,sv0_dist_m,sv0_heading_deg,sv0_t_heading_deg,sv0_err_deg,sv0_cmd_l,sv0_cmd_r,sv0_arrived,sv0_loc_avail,sv0_gps_avail,sv0_selected_sensor,sv1_target_cell,sv1_target_world,sv1_loc_x,sv1_loc_y,sv1_loc_z,sv1_proj_row,sv1_proj_col,sv1_dist_m,sv1_heading_deg,sv1_t_heading_deg,sv1_err_deg,sv1_cmd_l,sv1_cmd_r,sv1_arrived,sv1_loc_avail,sv1_gps_avail,sv1_selected_sensor,inter_vessel_distance_m
13,13,"[24, 2]","[-380.0, 160.0]",-379.9996032714844,149.99513244628906,0.04315100982785225,25,2,10.004867561576784,9.271244049072266,90.00227198105561,80.73102793198336,-7903.254515053113,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-379.1700744628906,50.0,0.048511702567338943,35,2,9.170074462890625,0.0,0.0,0.0,6467.123667399089,6467.123667399089,False,True,True,LocationSensor,99.99857314479631
14,14,"[24, 2]","[-380.0, 160.0]",-379.99945068359375,149.9943084716797,0.09837236255407333,25,2,10.005691543399156,10.730180740356445,90.00314556086151,79.27296482050508,-7566.90048652299,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-379.05865478515625,50.0,0.10517174750566483,35,2,9.05865478515625,0.0,0.0,0.0,6406.771341959636,6406.771341959636,False,True,True,LocationSensor,99.99873411024736
15,15,"[24, 2]","[-380.0, 160.0]",-379.999267578125,149.99343872070312,0.15589088201522827,25,2,10.006561306101377,12.282626152038574,90.00419371660396,77.72156756456536,-7209.910387541628,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-378.9434509277344,50.0,0.16308729350566864,35,2,8.943450927734375,0.0,0.0,0.0,6344.369252522786,6344.369252522786,False,True,True,LocationSensor,99.99901267507721
16,16,"[24, 2]","[-380.0, 160.0]",-379.9990539550781,149.9925079345703,0.20924870669841766,25,2,10.007492110146234,13.926229476928711,90.00541638012176,76.07918690319303,-6833.134276468345,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-378.8248291015625,50.0,0.21544314920902252,35,2,8.8248291015625,0.0,0.0,0.0,6280.1157633463545,6280.1157633463545,False,True,True,LocationSensor,99.99940223347197
17,17,"[24, 2]","[-380.0, 160.0]",-379.9988098144531,149.9915313720703,0.2524009048938751,25,2,10.008468698696838,15.658698081970215,90.0068134907434,74.3481154087732,-6437.465906747234,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-378.70306396484375,50.0,0.2561083436012268,35,2,8.70306396484375,0.0,0.0,0.0,6214.159647623698,6214.159647623698,False,True,True,LocationSensor,99.9999265171655
18,18,"[24, 2]","[-380.0, 160.0]",-379.9985046386719,149.99053955078125,0.28243178129196167,25,2,10.009460560918352,17.477794647216797,90.00855969137857,72.53076504416177,-6023.886425923987,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-378.5784912109375,50.0,0.2829073965549469,35,2,8.5784912109375,0.0,0.0,0.0,6146.6827392578125,6146.6827392578125,False,True,True,LocationSensor,100.00062218702088
19,19,"[24, 2]","[-380.0, 160.0]",-379.9981689453125,149.989501953125,0.2997126877307892,25,2,10.01049821433726,19.381322860717773,90.01048016831831,70.62915730760054,-5593.338930795739,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-378.45135498046875,50.0,0.2972269356250763,35,2,8.45135498046875,0.0,0.0,0.0,6077.817281087239,6077.817281087239,False,True,True,LocationSensor,100.00146566063832
20,20,"[24, 2]","[-380.0, 160.0]",-379.9977722167969,149.98846435546875,0.30545923113822937,25,2,10.01153589239622,21.367145538330078,90.0127495498827,68.64560401155262,-5146.907628931875,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-378.32196044921875,50.0,0.30031490325927734,35,2,8.32196044921875,0.0,0.0,0.0,6007.728576660156,6007.728576660156,False,True,True,LocationSensor,100.0025067148079
21,21,"[24, 2]","[-380.0, 160.0]",-379.997314453125,149.9873809814453,0.3008241653442383,25,2,10.012619378708303,23.433176040649414,90.01536765731795,66.58219161666852,-4685.673099322774,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-378.19049072265625,50.0,0.2932944893836975,35,2,8.19049072265625,0.0,0.0,0.0,5936.515808105469,5936.515808105469,False,True,True,LocationSensor,100.00370476898182
22,22,"[24, 2]","[-380.0, 160.0]",-379.996826171875,149.98629760742188,0.28684499859809875,25,2,10.013702895548171,25.57736587524414,90.01815981175035,64.44079393650622,-4210.752238274547,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-378.0571594238281,50.0,0.27717649936676025,35,2,8.057159423828125,0.0,0.0,0.0,5864.294687906901,5864.294687906901,False,True,True,LocationSensor,100.00510995110906
23,23,"[24, 2]","[-380.0, 160.0]",-379.99627685546875,149.98519897460938,0.2647494077682495,25,2,10.014801717456534,27.79773712158203,90.02130051888096,62.22356339729893,-3723.377930134859,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-377.92218017578125,50.0,0.25287070870399475,35,2,7.92218017578125,0.0,0.0,0.0,5791.180928548177,5791.180928548177,False,True,True,LocationSensor,100.00670923007576
24,24,"[24, 2]","[-380.0, 160.0]",-379.99566650390625,149.98410034179688,0.23617160320281982,25,2,10.015900595671958,30.092344284057617,90.02478968736592,59.93244540330829,-3224.809755140046,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-377.7856750488281,50.0,0.22119586169719696,35,2,7.785675048828125,0.0,0.0,0.0,5717.240651448567,5717.240651448567,False,True,True,LocationSensor,100.00852155386573
25,25,"[24, 2]","[-380.0, 160.0]",-379.9949951171875,149.9829864501953,0.20369979739189148,25,2,10.017014800119977,32.45928192138672,90.02862715886587,57.569345237479155,-2716.355733282181,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-377.6478576660156,50.0,0.1855972558259964,35,2,7.647857666015625,0.0,0.0,0.0,5642.589569091797,5642.589569091797,False,True,True,LocationSensor,100.01053261389339
26,26,"[24, 2]","[-380.0, 160.0]",-379.9942321777344,149.98184204101562,0.17113380134105682,25,2,10.018159619358023,34.8967170715332,90.03298728545116,55.13627021391795,-2199.407241679253,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-377.50885009765625,50.0,0.15076665580272675,35,2,7.50885009765625,0.0,0.0,0.0,5567.293802897136,5567.293802897136,False,True,True,LocationSensor,100.01272849991932
27,27,"[24, 2]","[-380.0, 160.0]",-379.993408203125,149.98069763183594,0.1417754888534546,25,2,10.0193045365676,37.40284729003906,90.03769544744478,52.63484815740571,-1675.3494354287068,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-377.36883544921875,50.0,0.12122028321027756,35,2,7.36883544921875,0.0,0.0,0.0,5491.452534993489,5491.452534993489,False,True,True,LocationSensor,100.0151402593085
28,28,"[24, 2]","[-380.0, 160.0]",-379.99249267578125,149.9795379638672,0.11883079260587692,25,2,10.020464848373846,39.97592544555664,90.04292595602288,50.067000510466244,-1145.6735200683388,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-377.2279052734375,50.0,0.09995943307876587,35,2,7.2279052734375,0.0,0.0,0.0,5415.1153564453125,5415.1153564453125,False,True,True,LocationSensor,100.01775319898742
29,29,"[24, 2]","[-380.0, 160.0]",-379.9900817871094,149.9794921875,0.10486552864313126,25,2,10.020512720979925,42.59892654418945,90.0567108537813,47.45778430959183,-616.9845053234731,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-377.0861511230469,50.0,0.088562972843647,35,2,7.086151123046875,0.0,0.0,0.0,5338.331858317058,5338.331858317058,False,True,True,LocationSensor,100.021656011946
30,30,"[24, 2]","[-380.0, 160.0]",-379.9844970703125,149.98231506347656,0.10074633359909058,25,2,10.017696932343156,45.24773406982422,90.08866836376971,44.84093429394551,-97.60239581486712,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-376.9437255859375,50.0,0.08821350336074829,35,2,6.9437255859375,0.0,0.0,0.0,5261.1846923828125,5261.1846923828125,False,True,True,LocationSensor,100.02854400955998
31,31,"[24, 2]","[-380.0, 160.0]",-379.97430419921875,149.98971557617188,0.10579710453748703,25,2,10.010317403564871,47.89925003051758,90.14707451257009,42.24782448205252,405.02825668061087,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-376.8006591796875,50.0,0.09779688715934753,35,2,6.8006591796875,0.0,0.0,0.0,5183.6903889973955,5183.6903889973955,False,True,True,LocationSensor,100.04006819126897
32,32,"[24, 2]","[-380.0, 160.0]",-379.9585266113281,150.00335693359375,0.11871668696403503,25,2,9.996729097014487,50.53170394897461,90.23770344545082,39.70599949647621,884.6518279972806,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-376.6570129394531,50.0,0.11448930948972702,35,2,6.657012939453125,0.0,0.0,0.0,5105.882008870442,5105.882008870442,False,True,True,LocationSensor,100.05784022510845
33,33,"[24, 2]","[-380.0, 160.0]",-379.9365539550781,150.02474975585938,0.13734515011310577,25,2,9.975452011505235,53.124874114990234,90.36441607916633,37.23954196417611,1336.1620642394782,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-376.5128173828125,50.0,0.13569405674934387,35,2,6.5128173828125,0.0,0.0,0.0,5027.7760823567705,5027.7760823567705,False,True,True,LocationSensor,100.08332796144698
34,34,"[24, 2]","[-380.0, 160.0]",-379.9080810546875,150.05526733398438,0.15951262414455414,25,2,9.945157459337967,55.66026306152344,90.52956854943471,34.86930548791128,1755.5247066126963,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-376.3681335449219,50.0,0.1583719551563263,35,2,6.368133544921875,0.0,0.0,0.0,4949.405670166016,4949.405670166016,False,True,True,LocationSensor,100.11786928239621
35,35,"[24, 2]","[-380.0, 160.0]",-379.8738098144531,150.0950469970703,0.18240541219711304,25,2,9.905756808703421,58.13229751586914,90.72991501391206,32.59761749804292,2142.9215547763724,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-376.2229919433594,50.0,0.17967276275157928,35,2,6.222991943359375,0.0,0.0,0.0,4870.787302652995,4870.787302652995,False,True,True,LocationSensor,100.16160394319577
36,36,"[24, 2]","[-380.0, 160.0]",-379.8348388671875,150.1435546875,0.2034650593996048,25,2,9.857828990101986,60.54261016845703,90.95999622619681,30.417386057739776,2500.5928193339428,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-376.0774230957031,50.0,0.19662155210971832,35,2,6.077423095703125,0.0,0.0,0.0,4791.937510172526,4791.937510172526,False,True,True,LocationSensor,100.21401957175505
37,37,"[24, 2]","[-380.0, 160.0]",-379.792236328125,150.20021057128906,0.22074198722839355,25,2,9.801991562454317,62.89278793334961,91.21453614765495,28.32174821430533,2830.7376925217195,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-375.93145751953125,50.0,0.20818617939949036,35,2,5.93145751953125,0.0,0.0,0.0,4712.872823079428,4712.872823079428,False,True,True,LocationSensor,100.27456213586552
38,38,"[24, 2]","[-380.0, 160.0]",-379.7469177246094,150.2645263671875,0.23365665972232819,25,2,9.738762626396863,65.18437957763672,91.4891192454762,26.3047396678395,3135.325805561339,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-375.78509521484375,50.0,0.2133198082447052,35,2,5.78509521484375,0.0,0.0,0.0,4633.593241373697,4633.593241373697,False,True,True,LocationSensor,100.34276897333122
39,39,"[24, 2]","[-380.0, 160.0]",-379.69964599609375,150.3359832763672,0.24162818491458893,25,2,9.668683041775504,67.41887664794922,91.78015824147404,24.361281593524836,3416.159068609515,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-375.6383972167969,50.0,0.2119026631116867,35,2,5.638397216796875,0.0,0.0,0.0,4554.131825764975,4554.131825764975,False,True,True,LocationSensor,100.41814219394212
40,40,"[24, 2]","[-380.0, 160.0]",-379.65118408203125,150.41412353515625,0.24466194212436676,25,2,9.592220813965538,69.59774017333984,92.08398948421461,22.48624931087477,3674.976513148943,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-375.4914245605469,50.0,0.20476730167865753,35,2,5.491424560546875,0.0,0.0,0.0,4474.521636962891,4474.521636962891,False,True,True,LocationSensor,100.5002477838249
41,41,"[24, 2]","[-380.0, 160.0]",-379.6022033691406,150.49847412109375,0.2432321161031723,25,2,9.509849430303735,71.72238159179688,92.397379703971,20.674998112174137,3913.4016725798683,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-375.3441467285156,50.0,0.1937217265367508,35,2,5.344146728515625,0.0,0.0,0.0,4394.746144612631,4394.746144612631,False,True,True,LocationSensor,100.58863925425634
42,42,"[24, 2]","[-380.0, 160.0]",-379.55328369140625,150.58860778808594,0.2383524626493454,25,2,9.42198805066321,73.79417419433594,92.7175324233749,18.923358229038968,4132.915433500066,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-375.1966552734375,50.0,0.18039323389530182,35,2,5.1966552734375,0.0,0.0,0.0,4314.854939778646,4314.854939778646,False,True,True,LocationSensor,100.6829093139329
43,43,"[24, 2]","[-380.0, 160.0]",-379.5048828125,150.68408203125,0.2308167666196823,25,2,9.329065796200444,75.814453125,93.04226169320948,17.22780856820947,4334.866208153457,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-375.0489807128906,50.0,0.16612860560417175,35,2,5.048980712890625,0.0,0.0,0.0,4234.864552815756,4234.864552815756,False,True,True,LocationSensor,100.7826346053564
44,44,"[24, 2]","[-380.0, 160.0]",-379.45751953125,150.78453063964844,0.2216324508190155,25,2,9.231422457593068,77.78451538085938,93.36890206712278,15.5843866862634,4520.580904057822,8000.0,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-374.901123046875,50.0,0.1530810445547104,35,3,4.901123046875,0.0,0.0,0.0,4154.774983723959,4154.774983723959,True,True,True,LocationSensor,100.88747377735783
45,45,"[24, 2]","[-380.0, 160.0]",-379.41156005859375,150.88955688476562,0.21176378428936005,25,2,9.129426888943446,79.70564270019531,93.69557849965332,13.98993579945801,4691.241988557638,7816.623644150181,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-374.75311279296875,50.0,0.14271679520606995,35,3,4.75311279296875,0.0,0.0,0.0,4074.6027628580728,4074.6027628580728,True,True,True,LocationSensor,100.99704856742581
46,46,"[24, 2]","[-380.0, 160.0]",-379.36737060546875,150.998779296875,0.2025478035211563,25,2,9.023424743255251,81.57904052734375,94.0202867264771,12.441246199133332,4847.988594942499,7627.389673036665,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-374.6050109863281,50.0,0.13606031239032745,35,3,4.605010986328125,0.0,0.0,0.0,3994.3809509277344,3994.3809509277344,True,True,True,LocationSensor,101.11099588373604
47,47,"[24, 2]","[-380.0, 160.0]",-379.32525634765625,151.11187744140625,0.19495107233524323,25,2,8.913697415380517,83.40592193603516,94.34129386898994,10.93537193295478,4991.850231174111,7434.835769225151,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-374.456787109375,50.0,0.1336209625005722,35,3,4.456787109375,0.0,0.0,0.0,3914.093017578125,3914.093017578125,True,True,True,LocationSensor,101.22901635623082
48,48,"[24, 2]","[-380.0, 160.0]",-379.28546142578125,151.22850036621094,0.18954786658287048,25,2,8.80055516428414,85.18745422363281,94.65711068370304,9.469656460070212,5123.795831926173,7239.337390466669,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-374.3085021972656,50.0,0.13538609445095062,35,3,4.308502197265625,0.0,0.0,0.0,3833.7720235188804,3833.7720235188804,True,True,True,LocationSensor,101.35077409449951
49,49,"[24, 2]","[-380.0, 160.0]",-379.24822998046875,151.34835815429688,0.18655946850776672,25,2,8.684242326685006,86.92475891113281,94.96614758615229,8.041388675019476,5244.730986266307,7041.194459055737,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-374.1601257324219,50.0,0.14057990908622742,35,3,4.160125732421875,0.0,0.0,0.0,3753.401438395182,3753.401438395182,True,True,True,LocationSensor,101.47599965218686
50,50,"[24, 2]","[-380.0, 160.0]",-379.2137451171875,151.47113037109375,0.1861248016357422,25,2,8.56503437749236,88.61895751953125,95.26706564672287,6.64810812719162,5355.51097442628,6840.7125852818035,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-374.01165771484375,50.0,0.14826959371566772,35,3,4.01165771484375,0.0,0.0,0.0,3672.9812622070312,3672.9812622070312,True,True,True,LocationSensor,101.60438972863882
51,51,"[24, 2]","[-380.0, 160.0]",-379.1822204589844,151.59657287597656,0.18830864131450653,25,2,8.443124469441187,90.2711181640625,95.55823719159537,5.287119027532867,5456.942749186016,6638.096476869719,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-373.8631286621094,50.0,0.15738125145435333,35,3,3.863128662109375,0.0,0.0,0.0,3592.5280253092446,3592.5280253092446,True,True,True,LocationSensor,101.73571820008546
52,52,"[24, 2]","[-380.0, 160.0]",-379.1537170410156,151.7244110107422,0.19258007407188416,25,2,8.318747980663467,91.88227844238281,95.83891609686206,3.956637654479266,5549.71289245069,6433.634228502516,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-373.71453857421875,50.0,0.16653764247894287,35,3,3.71453857421875,0.0,0.0,0.0,3512.0417277018228,3512.0417277018228,True,True,True,LocationSensor,101.86972296946759
53,53,"[24, 2]","[-380.0, 160.0]",-379.12841796875,151.85438537597656,0.19846023619174957,25,2,8.192111622793133,93.45346069335938,96.10742003536643,2.653959342007056,5634.575275099622,6227.475482870315,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-373.56585693359375,50.0,0.17450004816055298,35,3,3.56585693359375,0.0,0.0,0.0,3431.5058390299478,3431.5058390299478,True,True,True,LocationSensor,102.00616601749026
54,54,"[24, 2]","[-380.0, 160.0]",-379.10638427734375,151.9862823486328,0.2055758386850357,25,2,8.063387604202868,94.98564910888672,96.36280953802769,1.3771604291409858,5712.1431111322345,6019.803703985845,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-373.4171142578125,50.0,0.18033039569854736,35,3,3.4171142578125,0.0,0.0,0.0,3350.9368896484375,3350.9368896484375,True,True,True,LocationSensor,102.14484607972244
55,55,"[24, 2]","[-380.0, 160.0]",-379.08770751953125,152.119873046875,0.21329595148563385,25,2,7.932759820345433,96.4798355102539,96.6038075570231,0.12397204676921092,5783.050189161355,5810.745810237311,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-373.2682800292969,50.0,0.18330222368240356,35,3,3.268280029296875,0.0,0.0,0.0,3270.318349202474,3270.318349202474,True,True,True,LocationSensor,102.28555229075103
56,56,"[24, 2]","[-380.0, 160.0]",-379.0724182128906,152.2549591064453,0.22087542712688446,25,2,7.8003888630382665,97.9369125366211,96.82947753388679,-1.1074350027342916,5847.842913723367,5600.439559489181,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-373.119384765625,50.0,0.18346716463565826,35,3,3.119384765625,0.0,0.0,0.0,3189.666748046875,3189.666748046875,True,True,True,LocationSensor,102.42809804484835
57,57,"[24, 2]","[-380.0, 160.0]",-379.0605773925781,152.39134216308594,0.22781899571418762,25,2,7.666432606797576,99.35782623291016,97.03854997196204,-2.319276260948129,5907.0861969064645,5388.954907090298,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-372.9704284667969,50.0,0.18110686540603638,35,3,2.970428466796875,0.0,0.0,0.0,3108.9820861816406,3108.9820861816406,True,True,True,LocationSensor,102.57230066590265
58,58,"[24, 2]","[-380.0, 160.0]",-379.05218505859375,152.52883911132812,0.23379740118980408,25,2,7.531042304194901,100.74346160888672,97.2300999721728,-3.5133616367139098,5961.274713668159,5176.3821904820525,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-372.8214416503906,50.0,0.17659229040145874,35,3,2.821441650390625,0.0,0.0,0.0,3028.280893961589,3028.280893961589,True,True,True,LocationSensor,102.71798777690046
59,59,"[24, 2]","[-380.0, 160.0]",-379.0472717285156,152.66726684570312,0.23868952691555023,25,2,7.394367225896357,102.09468078613281,97.40286240943027,-4.6918183767025425,6010.91561429731,4962.753328485662,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-372.6723937988281,50.0,0.17078648507595062,35,3,2.672393798828125,0.0,0.0,0.0,2947.5466410319013,2947.5466410319013,True,True,True,LocationSensor,102.86499283130888
60,60,"[24, 2]","[-380.0, 160.0]",-379.0458679199219,152.80648803710938,0.24238523840904236,25,2,7.256513101103362,103.4123306274414,97.55548852124325,-5.856842106198144,6056.478814607464,4748.047729518223,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-372.5233154296875,50.0,0.16458363831043243,35,3,2.5233154296875,0.0,0.0,0.0,2866.7958577473955,2866.7958577473955,True,True,True,LocationSensor,103.01319174509727
61,61,"[24, 2]","[-380.0, 160.0]",-379.04791259765625,152.9463348388672,0.2447255253791809,25,2,7.117630408154139,104.69723510742188,97.68719216031528,-7.010042947106598,6098.379755784766,4532.321130079589,False,True,True,LocationSensor,"[35, 3]","[-370.0, 50.0]",-372.37420654296875,50.0,0.15919989347457886,35,3,2.37420654296875,0.0,0.0,0.0,2786.028544108073,2786.028544108073,True,True,True,LocationSensor,103.16242634438439
