map_kind,baseline_clue_acquisition_mode,challenger_clue_acquisition_mode,target_motion_mode,planner_adaptation_mode,policy_name,path_safety_mode,time_to_first_detection_delta_mean,time_to_all_found_delta_mean,detection_rate_delta_mean,found_count_delta_mean,known_free_observation_ratio_final_delta_mean,planning_time_ms_mean_delta_mean,path_length_delta_mean,clearance_penalty_raw_mean_delta_mean,near_obstacle_step_ratio_delta_mean,min_clearance_cells_mean_delta_mean,path_invalidations_per_episode_delta_mean,anomaly_top_band_selection_ratio_pre_first_detection_delta_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_delta_mean
ALL,ucb,anomaly_upper_tail,random_walk,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,8.791666666666666,73.0,-0.03333333333333334,-0.1,0.027889714664718946,-0.42977395949225916,9.933333333333334,0.003991551501716656,0.003991551501716656,-0.05769236544656723,0.0,0.02974005214378043,-0.00025949526191417757
open_water,ucb,anomaly_upper_tail,random_walk,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,15.666666666666666,73.0,-0.03333333333333333,-0.1,0.01920866489832007,-1.5251539341194302,7.3,-0.0001644855432980027,-0.0001644855432980027,0.8388406698392098,0.0,0.009076306596502834,2.2227082083440057e-05
harbor_cove,ucb,anomaly_upper_tail,random_walk,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,-6.714285714285714,,0.03333333333333332,0.1,0.02472587719298247,0.43381967470077926,5.7,0.00017930327868852453,0.00017930327868852453,-0.9195218579234972,0.0,0.018390100833440344,-0.0003780608667988534
peninsula_passage,ucb,anomaly_upper_tail,random_walk,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,14.625,,-0.10000000000000002,-0.3,0.039734601902854286,-0.19798761905812653,16.8,0.011959836769759449,0.011959836769759449,-0.0923959082554144,0.0,0.06175374900139813,-0.00042265200102711945
