motion,mode,vs,clue,map_kind,n_pairs,success_all_found_delta_mean,success_all_found_paired_n,found_count_delta_mean,found_count_paired_n,detection_rate_delta_mean,detection_rate_paired_n,time_to_first_detection_delta_mean,time_to_first_detection_paired_n,time_to_all_found_delta_mean,time_to_all_found_paired_n,known_free_observation_ratio_final_delta_mean,known_free_observation_ratio_final_paired_n,planning_time_ms_mean_delta_mean,planning_time_ms_mean_paired_n,path_length_delta_mean,path_length_paired_n,replan_count_delta_mean,replan_count_paired_n,switch_count_delta_mean,switch_count_paired_n,clearance_penalty_raw_mean_delta_mean,clearance_penalty_raw_mean_paired_n,near_obstacle_step_ratio_delta_mean,near_obstacle_step_ratio_paired_n,min_clearance_cells_mean_delta_mean,min_clearance_cells_mean_paired_n,path_invalidations_per_episode_delta_mean,path_invalidations_per_episode_paired_n,search_info_gain_mean_delta_mean,search_info_gain_mean_paired_n,recency_bias_mean_delta_mean,recency_bias_mean_paired_n,candidate_pool_size_mean_delta_mean,candidate_pool_size_mean_paired_n,selected_viewpoint_rank_mean_delta_mean,selected_viewpoint_rank_mean_paired_n
static,no_kappa,adaptive,anomaly_upper_tail,harbor_cove,10,0.2,10,0.5,10,0.16666666666666669,10,-48.42857142857143,7,,0,0.014117324561403494,10,-1.0171766202344195,10,-7.6,10,9.8,10,12.3,10,0.00010017010985407444,10,0.00010017010985407444,10,-0.2234972946384654,10,0.0,10,4.262014253655686,10,0.005392567587154962,10,-0.08109339989703698,10,0.006721316869288429,10
static,no_kappa,adaptive,anomaly_upper_tail,peninsula_passage,10,0.0,10,0.0,10,0.0,10,1.625,8,,0,-0.002003004506760148,10,-0.4364284021361975,10,0.0,10,11.4,10,11.6,10,-0.01494047619047619,10,-0.01494047619047619,10,0.18083333333333335,10,0.0,10,0.4973502388120689,10,0.044864298706746394,10,-0.0007359413036102325,10,-0.21878616437639004,10
static,no_alpha_kappa,adaptive,ucb,open_water,10,0.0,10,-0.1,10,-0.03333333333333334,10,3.857142857142857,7,,0,-0.008532272325375772,10,-0.423284198769138,10,-3.4,10,10.7,10,9.1,10,4.7587056320680775e-05,10,4.7587056320680775e-05,10,0.10002295375657813,10,0.0,10,0.42760985868650037,10,0.10399786772575345,10,-0.8404380918140305,10,-0.30347063381649847,10
static,no_alpha_kappa,adaptive,ucb,harbor_cove,10,0.0,10,0.3,10,0.1,10,16.0,7,,0,-0.02140899122807019,10,-3.3774449146308605,10,0.0,10,11.9,10,11.9,10,-0.00041666666666666675,10,-0.00041666666666666675,10,0.7033333333333331,10,0.0,10,-1.286138659762861,10,0.2889456836994218,10,0.06844247421403508,10,0.01914738671848353,10
static,no_alpha_kappa,adaptive,ucb,peninsula_passage,10,0.0,10,0.1,10,0.03333333333333333,10,-5.166666666666667,6,,0,-0.002153229844767146,10,-1.2871805187250331,10,0.0,10,10.8,10,9.5,10,0.003038194444444443,10,0.003038194444444443,10,0.058333333333333307,10,0.0,10,0.7772018160270612,10,0.05496204487202756,10,-0.2136803336089219,10,-0.3119518963136777,10
static,no_alpha_kappa,adaptive,anomaly_upper_tail,open_water,10,0.2,10,0.4,10,0.13333333333333336,10,12.625,8,,0,0.008244916003536707,10,1.6193710151906182,10,-4.2,10,10.6,10,10.1,10,5.300588687419212e-05,10,5.300588687419212e-05,10,-2.0229678056108726,10,0.0,10,3.390770420034375,10,-0.0350883015825064,10,0.05249971759467442,10,-0.2797120690333357,10
static,no_alpha_kappa,adaptive,anomaly_upper_tail,harbor_cove,10,0.2,10,0.3,10,0.1,10,-37.857142857142854,7,,0,0.004002192982456143,10,-3.48182259707363,10,-2.0,10,10.8,10,10.9,10,2.3478372681547685e-05,10,2.3478372681547685e-05,10,0.2577684876654236,10,0.0,10,1.7813179423107806,10,0.3665472002901905,10,-0.3478617715459823,10,-0.11385270608954831,10
static,no_alpha_kappa,adaptive,anomaly_upper_tail,peninsula_passage,10,0.1,10,0.1,10,0.03333333333333334,10,1.5,8,,0,-0.02205808713069605,10,-2.8025808504232934,10,-0.6,10,11.3,10,12.0,10,-0.013941735347985349,10,-0.013941735347985349,10,0.11034188034188039,10,0.0,10,-1.532844176034602,10,0.24859755448020132,10,0.27490934845235027,10,-0.08049790625746756,10
random_walk,no_alpha,adaptive,ucb,open_water,10,0.1,10,0.1,10,0.03333333333333334,10,-4.666666666666667,9,,0,-0.010344827586206907,10,1.6620260766462613,10,-10.6,10,-1.7,10,-1.2,10,0.0002060012437810945,10,0.0002060012437810945,10,-0.6168781094527362,10,0.0,10,1.3430429334631413,10,-0.08419013483364776,10,0.21262548569673073,10,-0.0038125714409411593,10
random_walk,no_alpha,adaptive,ucb,harbor_cove,10,-0.1,10,-0.5,10,-0.16666666666666669,10,2.857142857142857,7,-12.0,1,-0.01869517543859649,10,0.16379026613707737,10,1.7,10,0.4,10,0.1,10,-1.47746300070323e-05,10,-1.47746300070323e-05,10,0.9685334328414703,10,0.0,10,-2.639921866172331,10,0.37727737192682215,10,-0.07508970955658789,10,-0.052647704419482896,10
random_walk,no_alpha,adaptive,ucb,peninsula_passage,10,0.0,10,-0.2,10,-0.06666666666666667,10,0.0,7,-12.0,1,-0.0013269904857285825,10,1.2809142152956945,10,1.2,10,0.3,10,0.2,10,0.0007332936039376535,10,0.0007332936039376535,10,-0.11423367289641803,10,0.0,10,-0.5862840204680836,10,0.16806018488543922,10,0.14163231126466477,10,-0.026808654529242727,10
