step,policy_name,mode,robot_cell,viewpoint_cell,segment_endpoint_cell,anchor_cell,anchor_source,anchor_centroid_cell,anchor_cluster_size,anchor_cluster_peak,anchor_cluster_mean,viewpoint_rule,replanned_this_step,replan_reason,commit_remaining,planned_commit_window,commit_policy,path_length_current,planned_segment_length,planned_viewpoint_path_length,segment_path_length,fraction_of_path_executed_before_replan,switch_count,explore_utility_raw,explore_utility_norm,focus_utility_raw,focus_utility_norm,recency_utility_raw,recency_utility_norm,exec_cost_raw,exec_cost_norm,segment_turn_count,alpha_focus,kappa_commit,same_anchor_cluster,viewpoint_drift_norm,anchor_retention_bonus,viewpoint_retention_bonus,u_turn_penalty_term,u_turn_penalty_applied,planned_first_move_dir,current_viewpoint_score,best_alternative_score,total_score,anchor_switch_count,focus_anchor_active,focus_on_anchor_cluster_steps,time_since_last_detection,remaining_intensity_mass,peak_intensity_ratio,known_free_observation_ratio,effective_observation_gain,stale_refresh_ratio,detected_count_this_step,collision_this_step,collision_cell,path_invalidations_per_episode
1,marine_knownmap_path_v2,SEARCH,"(1, 2)","(18, 24)","(1, 9)","(21, 26)",clue,"(21, 26)",1671,0.517319836916003,0.49964650505110925,anchor_viewpoint_ring,True,initial_plan|commit_expired|segment_empty,4,4,adaptive_knownmap_soft,8,8,40,8,0.0,1,40.38954824531249,0.0,1.0426622086224386,0.0,0.0,0.0,9.05,0.0,0,0.007710525982072159,0.0,False,0.0,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,1,21,3.9485629456091114,1.1143289550049265,0.018018018018018018,0.1935483870967742,0.0,0,False,,0
2,marine_knownmap_path_v2,SEARCH,"(1, 3)","(18, 24)","(1, 9)","(21, 26)",clue,"(21, 26)",1671,0.517319836916003,0.49964650505110925,anchor_viewpoint_ring,False,,3,4,adaptive_knownmap_soft,7,8,40,8,0.125,1,40.38954824531249,0.0,1.0426622086224386,0.0,0.0,0.0,9.05,0.0,0,0.007710525982072159,0.0,False,0.0,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,2,22,3.933387827939792,1.1762543588442063,0.021396396396396396,0.16666666666666666,0.0,0,False,,0
3,marine_knownmap_path_v2,SEARCH,"(1, 4)","(18, 24)","(1, 9)","(21, 26)",clue,"(21, 26)",1671,0.517319836916003,0.49964650505110925,anchor_viewpoint_ring,False,,2,4,adaptive_knownmap_soft,6,8,40,8,0.25,1,40.38954824531249,0.0,1.0426622086224386,0.0,0.0,0.0,9.05,0.0,0,0.007710525982072159,0.0,False,0.0,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,3,23,3.9196639434150446,1.1849366471609957,0.024774774774774775,0.14634146341463414,0.0,0,False,,0
4,marine_knownmap_path_v2,SEARCH,"(1, 5)","(18, 24)","(1, 9)","(21, 26)",clue,"(21, 26)",1671,0.517319836916003,0.49964650505110925,anchor_viewpoint_ring,False,,1,4,adaptive_knownmap_soft,5,8,40,8,0.375,1,40.38954824531249,0.0,1.0426622086224386,0.0,0.0,0.0,9.05,0.0,0,0.007710525982072159,0.0,False,0.0,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,4,24,3.906542967304709,1.1975769562043512,0.028153153153153154,0.13333333333333333,0.0,0,False,,0
5,marine_knownmap_path_v2,SEARCH,"(1, 6)","(18, 24)","(1, 9)","(21, 26)",clue,"(21, 26)",1671,0.517319836916003,0.49964650505110925,anchor_viewpoint_ring,False,,0,4,adaptive_knownmap_soft,4,8,40,8,0.5,1,40.38954824531249,0.0,1.0426622086224386,0.0,0.0,0.0,9.05,0.0,0,0.007710525982072159,0.0,False,0.0,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,5,25,3.893708377110908,1.2001534545719736,0.03153153153153153,0.13043478260869565,0.0,0,False,,0
6,marine_knownmap_path_v2,SEARCH,"(1, 5)","(9, 5)","(8, 5)","(12, 7)",clue,"(12, 7)",28,0.7108942153841397,0.6559887989421774,anchor_viewpoint_ring,True,commit_expired,6,6,adaptive_knownmap_soft,8,8,9,8,0.625,2,48.0035387421875,0.7896370590391592,1.7926292960152637,1.0,0.3216848544973545,0.8180835765164959,8.38125,0.0,1,0.3030351497716417,0.6475,False,1.0,0.0,0.0,2.0,True,"(0, -1)",3.047741917259514,8.644677061351054,8.644677061351054,1,True,6,26,3.8884337349484053,1.2019587628899442,0.03153153153153153,0.0,0.0,0,False,,0
7,marine_knownmap_path_v2,SEARCH,"(2, 5)","(9, 5)","(8, 5)","(12, 7)",clue,"(12, 7)",28,0.7108942153841397,0.6559887989421774,anchor_viewpoint_ring,False,,5,6,adaptive_knownmap_soft,7,8,9,8,0.125,2,48.0035387421875,0.7896370590391592,1.7926292960152637,1.0,0.3216848544973545,0.8180835765164959,8.38125,0.0,1,0.3030351497716417,0.6475,False,1.0,0.0,0.0,2.0,True,"(0, -1)",3.047741917259514,8.644677061351054,8.644677061351054,1,True,7,27,3.8791036264391714,1.2026738908484667,0.03322072072072072,0.05555555555555555,0.0,0,False,,0
8,marine_knownmap_path_v2,SEARCH,"(3, 5)","(9, 5)","(8, 5)","(12, 7)",clue,"(12, 7)",28,0.7108942153841397,0.6559887989421774,anchor_viewpoint_ring,False,,4,6,adaptive_knownmap_soft,6,8,9,8,0.25,2,48.0035387421875,0.7896370590391592,1.7926292960152637,1.0,0.3216848544973545,0.8180835765164959,8.38125,0.0,1,0.3030351497716417,0.6475,False,1.0,0.0,0.0,2.0,True,"(0, -1)",3.047741917259514,8.644677061351054,8.644677061351054,1,True,8,28,3.8655564211008215,1.205184641556282,0.03772522522522523,0.14285714285714285,0.015873015873015872,0,False,,0
9,marine_knownmap_path_v2,SEARCH,"(4, 5)","(9, 5)","(8, 5)","(12, 7)",clue,"(12, 7)",28,0.7108942153841397,0.6559887989421774,anchor_viewpoint_ring,False,,3,6,adaptive_knownmap_soft,5,8,9,8,0.375,2,48.0035387421875,0.7896370590391592,1.7926292960152637,1.0,0.3216848544973545,0.8180835765164959,8.38125,0.0,1,0.3030351497716417,0.6475,False,1.0,0.0,0.0,2.0,True,"(0, -1)",3.047741917259514,8.644677061351054,8.644677061351054,1,True,9,29,3.8486566922386185,1.2082253627928785,0.04279279279279279,0.125,0.0,0,False,,0
10,marine_knownmap_path_v2,SEARCH,"(5, 5)","(9, 5)","(8, 5)","(12, 7)",clue,"(12, 7)",28,0.7108942153841397,0.6559887989421774,anchor_viewpoint_ring,False,,2,6,adaptive_knownmap_soft,4,8,9,8,0.5,2,48.0035387421875,0.7896370590391592,1.7926292960152637,1.0,0.3216848544973545,0.8180835765164959,8.38125,0.0,1,0.3030351497716417,0.6475,False,1.0,0.0,0.0,2.0,True,"(0, -1)",3.047741917259514,8.644677061351054,8.644677061351054,1,True,10,30,3.829589035627902,1.2121919392672764,0.04842342342342342,0.12658227848101267,0.0,0,False,,0
