map_kind,episode_seed,baseline_mode,challenger_mode,success_all_found_baseline,success_all_found_conditional,delta_success_all_found,time_to_first_detection_baseline,time_to_first_detection_conditional,delta_time_to_first_detection,time_to_all_found_baseline,time_to_all_found_conditional,delta_time_to_all_found,detection_rate_baseline,detection_rate_conditional,delta_detection_rate,found_count_baseline,found_count_conditional,delta_found_count,known_free_observation_ratio_final_baseline,known_free_observation_ratio_final_conditional,delta_known_free_observation_ratio_final,path_length_baseline,path_length_conditional,delta_path_length,path_length_total_baseline,path_length_total_conditional,delta_path_length_total,duplicate_viewpoint_ratio_baseline,duplicate_viewpoint_ratio_conditional,delta_duplicate_viewpoint_ratio,cross_region_assignment_ratio_baseline,cross_region_assignment_ratio_conditional,delta_cross_region_assignment_ratio,reservation_wait_fallback_count_baseline,reservation_wait_fallback_count_conditional,delta_reservation_wait_fallback_count,anomaly_conditional_alpha_mean_baseline,anomaly_conditional_alpha_mean_conditional,delta_anomaly_conditional_alpha_mean,anomaly_conditional_trigger_rate_baseline,anomaly_conditional_trigger_rate_conditional,delta_anomaly_conditional_trigger_rate
harbor_cove,9,ucb,ucb_anomaly_conditional,,False,,17.0,17.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8744369369369369,0.8744369369369369,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,0,ucb,ucb_anomaly_conditional,,True,,67.0,67.0,0.0,162.0,162.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7188630490956073,0.7188630490956073,0.0,162.0,162.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,1,ucb,ucb_anomaly_conditional,,True,,30.0,30.0,0.0,154.0,154.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6082687338501293,0.6082687338501293,0.0,154.0,154.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,2,ucb,ucb_anomaly_conditional,,True,,64.0,64.0,0.0,221.0,221.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7850129198966408,0.7850129198966408,0.0,221.0,221.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,3,ucb,ucb_anomaly_conditional,,False,,57.0,57.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8873385012919897,0.8873385012919897,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,4,ucb,ucb_anomaly_conditional,,False,,34.0,34.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8630490956072352,0.8630490956072352,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,5,ucb,ucb_anomaly_conditional,,False,,45.0,45.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7271317829457364,0.7271317829457364,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,6,ucb,ucb_anomaly_conditional,,False,,34.0,34.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7545219638242894,0.7545219638242894,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,7,ucb,ucb_anomaly_conditional,,True,,19.0,19.0,0.0,230.0,230.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7266149870801034,0.7266149870801034,0.0,230.0,230.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,8,ucb,ucb_anomaly_conditional,,False,,145.0,145.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7457364341085271,0.7457364341085271,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,9,ucb,ucb_anomaly_conditional,,True,,34.0,34.0,0.0,174.0,174.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6516795865633075,0.6516795865633075,0.0,174.0,174.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
