run_kind,tick_global,policy_step,tick_in_policy_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,planned_observer_world_location,observer_pose_source,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,8,1,8,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.691985607147217, 5.958863258361816, 0.2083166390657425]","[4.382978723404255, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,9,1,9,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.732353687286377, -5.952296257019043, 0.1959264874458313]","[4.723404255319149, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,9,1,9,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.732326030731201, 5.952262878417969, 0.2006303369998932]","[4.723404255319149, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,10,1,10,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.773496389389038, -5.9450483322143555, 0.1823960244655609]","[5.0638297872340425, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,10,1,10,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.773486852645874, 5.945130825042725, 0.18980534374713898]","[5.0638297872340425, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,11,1,11,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.8153529167175293, -5.937228202819824, 0.16831327974796295]","[5.404255319148936, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[7],28.39889144897461,,,False,False,False,False,False
target,11,1,11,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.8153774738311768, 5.937492370605469, 0.1772148609161377]","[5.404255319148936, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[],,,,False,False,False,False,False
target,12,1,12,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,True,True,False,True,"[31.069489795223493, -8.397048483120226, 0.0]","[31.0, 0.0, 0.5]",8.397336009682588,"[2.857837677001953, -5.928848743438721, 0.15579290688037872]","[5.74468085106383, -6.0, 0.0]",live_location_sensor,28.319416046142578,-5.0,-1.9709374999999962,7,-5.0,3.0290625000000038,True,20,16039.786503890355,1,1,18,"[45, 127, 168, 154]",[7],28.319416046142578,sv0,28.319416046142578,False,False,False,False,False
target,12,1,12,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.8579177856445312, 5.929375171661377, 0.16468273103237152]","[5.74468085106383, 6.0, 0.0]",live_location_sensor,,,,,,,False,0,,1,1,28,"[48, 127, 275, 169]",[],,,,False,False,False,False,False
target,13,2,1,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,True,False,False,False,False,,"[31.0, 0.0, 0.5]",,"[2.9008748531341553, -5.919923782348633, 0.1466788500547409]","[6.085106382978723, -6.0, 0.0]",live_location_sensor,,,,,,,False,0,,0,0,0,,[7],28.434709548950195,,,False,False,False,False,False
