run_kind,tick_global,policy_step,tick_in_policy_step,agent_name,rgb_present,rangefinder_present,any_rangefinder_hit,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,loc_x,loc_y,loc_z,selected_sensor,fallback_used,target_waypoint,distance_to_waypoint_m,heading_deg,target_heading_deg,heading_error_deg,cmd_l,cmd_r,inter_vessel_distance_m
baseline,1,1,1,sv0,False,True,False,[],,2.4427690505981445,-5.9888763427734375,0.12773238122463226,LocationSensor,False,"[2.0, -6.0, 0.0]",0.44290875800516327,9.243227005004883,181.4391353094935,172.19590830448863,-8000.0,8000.0,11.977767944336023
baseline,1,1,1,sv1,False,True,False,[],,2.442770481109619,5.9888916015625,0.13149063289165497,LocationSensor,False,"[2.0, 6.0, 0.0]",0.4429098051047074,350.7567892074585,178.56284262578,-172.1939465816785,8000.0,-8000.0,11.977767944336023
baseline,2,1,2,sv0,False,True,False,[],,2.473759412765503,-5.98635721206665,0.14631947875022888,LocationSensor,False,"[2.3404255319148937, -6.0, 0.0]",0.134030031878228,10.009262084960938,185.8422005355413,175.8329384505804,-8000.0,8000.0,11.972717285156287
baseline,2,1,2,sv1,False,True,False,[],,2.4737584590911865,5.9863600730896,0.1511726975440979,LocationSensor,False,"[2.3404255319148937, 6.0, 0.0]",0.13402879196471063,350.01758575439453,174.15897466874014,-175.8586110856544,8000.0,-8000.0,11.972717285156287
baseline,3,1,3,sv0,False,True,False,[],,2.5065879821777344,-5.983287811279297,0.16606858372688293,LocationSensor,False,"[2.6808510638297873, -6.0, 0.0]",0.1750626141662076,10.799476623535156,354.5219698443262,-16.277506779209034,3349.112599689145,-287.31731791591505,11.966554164887842
baseline,3,1,3,sv1,False,True,False,[],,2.506582260131836,5.983266353607178,0.17020253837108612,LocationSensor,False,"[2.6808510638297873, 6.0, 0.0]",0.17507035975262952,349.28082275390625,5.48484182426591,16.204019070359664,-278.5325519684211,3341.480053903282,11.966554164887842
baseline,4,1,4,sv0,False,True,False,[],,2.5410542488098145,-5.979625701904297,0.18410174548625946,LocationSensor,False,"[3.0212765957446805, -6.0, 0.0]",0.48065436076095625,11.552570343017578,357.5705803268416,-13.981990016176042,3270.001450689003,146.39490011943917,11.95919847489046
baseline,4,1,4,sv1,False,True,False,[],,2.541041851043701,5.979572772979736,0.18635421991348267,LocationSensor,False,"[3.0212765957446805, 6.0, 0.0]",0.48066899382189426,348.6058521270752,2.4356604916183318,13.829808364543112,164.52513372109001,3254.1339769995475,11.95919847489046
baseline,5,1,5,sv0,False,True,False,[],,2.576982021331787,-5.97536563873291,0.19906336069107056,LocationSensor,False,"[3.3617021276595747, -6.0, 0.0]",0.785106678757818,12.27418041229248,358.20193016803,-14.072250244262477,3439.374109747785,295.60323068274147,11.95064401628265
baseline,5,1,5,sv1,False,True,False,[],,2.5769619941711426,5.975278377532959,0.19797691702842712,LocationSensor,False,"[3.3617021276595747, 6.0, 0.0]",0.7851294388346709,347.99112606048584,1.804388831299875,13.813262770814049,326.64128095060255,3412.5538031120113,11.95064401628265
baseline,6,1,6,sv0,True,True,False,[],,2.61421275138855,-5.9705047607421875,0.2095571607351303,LocationSensor,False,"[3.702127659574468, -6.0, 0.0]",1.0883146680037212,12.96644115447998,358.4469935735055,-14.519447580974429,3644.608321077143,400.93259808540165,11.940892696412641
baseline,6,1,6,sv1,True,True,False,[],,2.614185094833374,5.970387935638428,0.20393753051757812,LocationSensor,False,"[3.702127659574468, 6.0, 0.0]",1.0883454867509594,347.435133934021,1.5591149474035322,14.123981013382547,448.69037485320496,3604.0180186636467,11.940892696412641
baseline,7,1,7,sv0,False,True,False,[],,2.6526029109954834,-5.965041637420654,0.21444405615329742,LocationSensor,False,"[4.042553191489361, -6.0, 0.0]",1.3903898264009407,13.630790710449219,358.5592689977764,-15.071521712672848,3859.1298493428167,492.11958154177955,11.92995262150599
baseline,7,1,7,sv1,False,True,False,[],,2.6525697708129883,5.964910984039307,0.20433320105075836,LocationSensor,False,"[4.042553191489361, 6.0, 0.0]",1.3904262471617401,346.93640899658203,1.4460788441355545,14.509669847553539,560.5385644164803,3802.0299207960384,11.92995262150599
baseline,8,1,8,sv0,False,True,False,[],,2.692023754119873,-5.958979606628418,0.2138158231973648,LocationSensor,False,"[4.382978723404255, -6.0, 0.0]",1.691452447105713,14.268387794494629,358.6103506116205,-15.658037182874068,4075.5568512187874,577.5177697359084,11.9178414345289
baseline,8,1,8,sv1,False,True,False,[],,2.6919891834259033,5.958861827850342,0.199721559882164,LocationSensor,False,"[4.382978723404255, 6.0, 0.0]",1.6914898679933061,346.49351501464844,1.3936093327210588,14.900094318072604,670.6232323100216,3999.3362525732687,11.9178414345289
baseline,9,1,9,sv0,False,True,False,[],,2.73235821723938,-5.952324390411377,0.2082841545343399,LocationSensor,False,"[4.723404255319149, -6.0, 0.0]",1.9916167526667357,14.880248069763184,358.6283143262997,-16.251933743463496,4291.10334253682,660.3864959524292,11.904584407840204
baseline,9,1,9,sv1,False,True,False,[],,2.732329845428467,5.9522600173950195,0.19101601839065552,LocationSensor,False,"[4.723404255319149, 6.0, 0.0]",1.9916466583359242,346.1050567626953,1.3735174904706036,15.268460727775278,782.2797411621261,4193.286607224568,11.904584407840204
baseline,10,1,10,sv0,False,True,False,[],,2.773501396179199,-5.9450836181640625,0.19898755848407745,LocationSensor,False,"[5.0638297872340425, -6.0, 0.0]",2.290986675619441,15.467289924621582,358.6264528119868,-16.840837112634745,4504.540189689373,742.2610676729705,11.89021062851458
baseline,10,1,10,sv1,False,True,False,[],,2.7734904289245605,5.945127010345459,0.1797441840171814,LocationSensor,False,"[5.0638297872340425, 6.0, 0.0]",2.290996600000776,345.76967430114746,1.3724557254228154,15.60278142427535,897.1034912113564,4382.7983177408305,11.89021062851458
baseline,11,1,11,sv0,False,True,False,[],,2.8153586387634277,-5.937268257141113,0.1875387728214264,LocationSensor,False,"[5.404255319148936, -6.0, 0.0]",2.589656597557525,16.03037452697754,358.6119334421453,-17.41844108483224,4715.281672578775,823.9645846430888,11.874756813070018
baseline,11,1,11,sv1,False,True,False,[],,2.815380811691284,5.937488555908203,0.1675160676240921,LocationSensor,False,"[5.404255319148936, 6.0, 0.0]",2.589629103946459,345.4860439300537,1.383205741610021,15.897161811556316,1015.9710312594937,4567.431067534234,11.874756813070018
baseline,12,1,12,sv0,True,True,False,[],,2.8578450679779053,-5.928890705108643,0.17562438547611237,LocationSensor,False,"[5.74468085106383, -6.0, 0.0]",2.8877114416654015,16.570308685302734,358.588960692591,-17.98134799271179,4923.04947419926,905.9777760271754,11.858262539150761
baseline,12,1,12,sv1,True,True,False,[],,2.8579206466674805,5.9293718338012695,0.15578046441078186,LocationSensor,False,"[5.74468085106383, 6.0, 0.0]",2.8876240779483484,345.25286960601807,1.4015326507426578,16.14866304472457,1139.4062128296418,4747.052163877016,11.858262539150761
baseline,13,2,1,sv0,False,True,False,[],,2.900883913040161,-5.919963359832764,0.1641741394996643,LocationSensor,False,"[6.085106382978723, -6.0, 0.0]",3.185228186775776,17.08785629272461,358.5601520135,-18.527704279224622,5127.72779217242,988.5989280660197,11.840769768775369
