tick_global,waypoint_index,wp_ticks,sv0_target_cell,sv0_target_world,sv0_loc_x,sv0_loc_y,sv0_loc_z,sv0_proj_row,sv0_proj_col,sv0_dist_m,sv0_heading_deg,sv0_t_heading_deg,sv0_err_deg,sv0_cmd_l,sv0_cmd_r,sv0_arrived,sv0_timeout,sv1_target_cell,sv1_target_world,sv1_loc_x,sv1_loc_y,sv1_loc_z,sv1_proj_row,sv1_proj_col,sv1_dist_m,sv1_heading_deg,sv1_t_heading_deg,sv1_err_deg,sv1_cmd_l,sv1_cmd_r,sv1_arrived,sv1_timeout,inter_vessel_distance_m
11,0,11,"[39, 35]","[-50.0, 10.0]",-49.99979782104492,-0.0034100592602044344,-0.011674553155899048,40,35,10.003410061303322,6.643594264984131,90.00115800519644,83.3575637402123,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00019836425781,0.003402345348149538,-0.035419296473264694,40,45,10.0034023473149,353.356397151947,269.99886384308206,-83.35753330886496,8000.0,-8000.0,False,False,99.99999641734702
12,0,12,"[39, 35]","[-50.0, 10.0]",-49.99971008300781,-0.004103424958884716,0.019442835822701454,40,35,10.004103429159754,7.908219814300537,90.00166042066452,82.09344060636397,-8000.0,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00028610229492,0.004093564581125975,-0.009688477963209152,40,45,10.004093568672177,352.0917692184448,269.99836142536077,-82.09340779308405,8000.0,-8000.0,False,False,99.99999652125592
13,0,13,"[39, 35]","[-50.0, 10.0]",-49.999595642089844,-0.004864045884460211,0.06680097430944443,40,35,10.004864054055751,9.271236419677734,90.00231567381084,80.73107925413308,-7903.266670782562,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00040054321289,0.0048524970188736916,0.033294759690761566,40,45,10.004852505036725,350.72875022888184,269.99770616952065,-80.73104405936118,8000.0,-7903.259552304707,False,False,99.99999665735878
14,0,14,"[39, 35]","[-50.0, 10.0]",-49.99945068359375,-0.00568681675940752,0.12218311429023743,40,35,10.005686831838258,10.73017406463623,90.00314556234272,79.27297149770652,-7566.902499725001,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.000545501708984,0.005675558932125568,0.08685770630836487,40,45,10.00567557380229,349.26981353759766,269.99687627832554,-79.27293725927211,8000.0,-7566.895747502502,False,False,99.99999683082066
15,0,15,"[39, 35]","[-50.0, 10.0]",-49.99927520751953,-0.006565042771399021,0.17826023697853088,40,35,10.006565069020372,12.282623291015625,90.00415003049534,77.72152673947971,-7209.900575786325,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00072479248047,0.006556741427630186,0.14388330280780792,40,45,10.006556767676626,347.7173681259155,269.9958499660618,-77.7215181598537,8000.0,-7209.899561137772,False,False,100.0000008609061
16,0,16,"[39, 35]","[-50.0, 10.0]",-49.99905776977539,-0.007491067983210087,0.22908781468868256,40,35,10.00749111233987,13.926231384277344,90.00539454041713,76.07916315613977,-6833.128969780018,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.000938415527344,0.00748815992847085,0.19773750007152557,40,45,10.007488203926709,346.073766708374,269.9946272982661,-76.07913941010793,8000.0,-6833.12391230689,False,False,99.99999730718912
17,0,17,"[39, 35]","[-50.0, 10.0]",-49.99880599975586,-0.008454332128167152,0.26831820607185364,40,35,10.008454403349782,15.658708572387695,90.00683533861795,74.34812676623025,-6437.470585560461,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00119400024414,0.008460449054837227,0.24262870848178864,40,45,10.008460520276408,344.3413019180298,269.9931646655597,-74.34813725247011,8000.0,-6437.472082725586,False,False,100.0000014305491
18,0,18,"[39, 35]","[-50.0, 10.0]",-49.998512268066406,-0.00944762397557497,0.29387927055358887,40,35,10.009447734538435,17.477811813354492,90.00851603039611,72.5307042170416,-6023.874707625465,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00149154663086,0.009464150294661522,0.27445968985557556,40,45,10.009464261425054,342.52220916748047,269.99146214772543,-72.53074701975504,8000.0,-6023.881733793816,False,False,100.00000560297322
19,0,19,"[39, 35]","[-50.0, 10.0]",-49.998172760009766,-0.01046772114932537,0.30707859992980957,40,35,10.010467887915059,19.381345748901367,90.0104583663173,70.62911261741593,-5593.33429360766,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.001834869384766,0.01049448549747467,0.2934194803237915,40,45,10.010494653658279,340.6186828613281,269.9894979942619,-70.62918486706621,8000.0,-5593.345790118515,False,False,100.00000982646488
20,0,20,"[39, 35]","[-50.0, 10.0]",-49.99778747558594,-0.011511252261698246,0.3091517388820648,40,35,10.01151149674348,21.36717414855957,90.01266225505195,68.6454881064924,-5146.886450974416,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00222396850586,0.011547885835170746,0.30067700147628784,40,45,10.011548132851711,338.63286209106445,269.98727229710005,-68.6455897939644,8000.0,-5146.902026562981,False,False,100.0000141027107
21,0,21,"[39, 35]","[-50.0, 10.0]",-49.99734878540039,-0.012574594467878342,0.3012106120586395,40,35,10.012574945473439,23.433204650878906,90.01517126311099,66.58196661223207,-4685.6325820819975,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00266647338867,0.012620724737644196,0.2974018156528473,40,45,10.012621079793549,336.566837310791,269.9847414905704,-66.58209582022062,8000.0,-4685.651410202485,False,False,100.00001843280909
22,0,22,"[39, 35]","[-50.0, 10.0]",-49.996856689453125,-0.013653871603310108,0.2842559814453125,40,35,10.01365436494975,25.577402114868164,90.01798528533429,64.44058317046614,-4210.7170589981415,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00315856933594,0.013709121383726597,0.28464651107788086,40,45,10.013709619528813,334.42264556884766,269.9819275071751,-64.44071806167256,8000.0,-4210.733919565884,False,False,100.00001900245535
23,0,23,"[39, 35]","[-50.0, 10.0]",-49.99631118774414,-0.014745206572115421,0.2593061327934265,40,35,10.014745885937147,27.797771453857422,90.02110421780675,62.223332763949315,-3723.341599608913,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00371170043945,0.01480931881815195,0.263534814119339,40,45,10.014810006635525,332.2022762298584,269.9787649716045,-62.22351125825389,8000.0,-3723.3644383660417,False,False,100.00002725553236
24,0,24,"[39, 35]","[-50.0, 10.0]",-49.99570083618164,-0.01584661938250065,0.22821833193302155,40,35,10.015847542060802,30.092374801635742,90.02459342045263,59.932218618816876,-3224.775098596378,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00432586669922,0.01591852866113186,0.23560728132724762,40,45,10.015919462830162,329.9076728820801,269.9752540030671,-59.93241887901297,8000.0,-3224.7988975034737,False,False,100.00003174800253
25,0,25,"[39, 35]","[-50.0, 10.0]",-49.995025634765625,-0.016960106790065765,0.1943698227405548,40,35,10.016961341910687,32.459312438964844,90.02845275484971,57.56914031588485,-2716.327464610701,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.0050048828125,0.01703590899705887,0.20313262939453125,40,45,10.017037159309558,327.5407257080078,269.97137290503326,-57.56935280297455,8000.0,-2716.350855253617,False,False,100.00003629622164
26,0,26,"[39, 35]","[-50.0, 10.0]",-49.9942741394043,-0.018091067671775818,0.16215285658836365,40,35,10.018092703985353,34.89673614501953,90.03274751729391,55.13601137227437,-2199.3733729811943,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00575256347656,0.01816375181078911,0.1694466918706894,40,45,10.018165403410055,325.1032829284668,269.96710000150443,-55.13618292696236,8000.0,-2199.3870425296313,False,False,100.00003327493856
27,0,27,"[39, 35]","[-50.0, 10.0]",-49.99343490600586,-0.019244037568569183,0.13522569835186005,40,35,10.019246188452128,37.40285110473633,90.03754296459162,52.63469185985531,-1675.3361392158868,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.006587982177734,0.0193075742572546,0.13884542882442474,40,45,10.019309740150662,322.5971488952637,269.96232638661945,-52.63482250864422,8000.0,-1675.3423952460753,False,False,100.0000303193155
28,0,28,"[39, 35]","[-50.0, 10.0]",-49.992496490478516,-0.02042139135301113,0.1162324994802475,40,35,10.020424200748197,39.97590637207031,90.04290431808901,50.06699794601872,-1145.687128675344,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.007511138916016,0.02047068625688553,0.114488385617733,40,45,10.020473501354184,320.02406311035156,269.95705226909024,-50.06701084126132,8000.0,-1145.6726232832589,False,False,100.0000159902036
29,0,29,"[39, 35]","[-50.0, 10.0]",-49.9901008605957,-0.020476719364523888,0.1059403270483017,40,35,10.020481608999008,42.59889602661133,90.0566019701511,47.45770594353979,-616.980164881832,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.00989532470703,0.0205092690885067,0.09819395840167999,40,45,10.020514154939343,317.4010543823242,269.943420025559,-47.4576343567652,8000.0,-616.9538715987601,False,False,100.00000458455895
30,0,30,"[39, 35]","[-50.0, 10.0]",-49.98448944091797,-0.017662545666098595,0.10477376729249954,40,35,10.017674553322463,45.24768829345703,90.08871219798903,44.841023904531994,-97.62863924692465,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.0154914855957,0.017677005380392075,0.09080307185649872,40,45,10.017688983505778,314.7522430419922,269.91139701998645,-44.840846022005735,8000.0,-97.58806428670232,False,False,99.99998717093402
31,0,31,"[39, 35]","[-50.0, 10.0]",-49.97429656982422,-0.01026206836104393,0.11189410090446472,40,35,10.010295067758529,47.89919662475586,90.14711850913358,42.24792188437772,405.0005089297065,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.02566909790039,0.010260031558573246,0.09249803423881531,40,45,10.010292942866661,312.1007270812988,269.8530779674687,-42.24764911383011,8000.0,405.05228260659806,False,False,99.99996777350823
32,0,32,"[39, 35]","[-50.0, 10.0]",-49.958526611328125,0.0033672901336103678,0.12591217458248138,40,35,9.996718740563754,50.531654357910156,90.23770369170944,39.706049333799285,884.6381028425667,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.04142761230469,-0.0033827978186309338,0.10239763557910919,40,45,9.996703043204281,309.4682731628418,269.76255830305377,-39.70571485978803,8000.0,884.694710728465,False,False,99.99995445145134
33,0,33,"[39, 35]","[-50.0, 10.0]",-49.936553955078125,0.02475503273308277,0.14441266655921936,40,35,9.975446734738258,53.12482833862305,90.36441627193611,37.23958793331306,1336.1513022357176,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.063392639160156,-0.024779517203569412,0.11854373663663864,40,45,9.975421911232685,306.8751106262207,269.63588957381205,-37.23922105240865,8000.0,1336.2083286230863,False,False,99.99995886260227
34,0,34,"[39, 35]","[-50.0, 10.0]",-49.90807342529297,0.055277019739151,0.16558383405208588,40,35,9.945147844515214,55.66022872924805,90.52961301761562,34.86938428836757,1755.506216442227,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.09186553955078,-0.05530700087547302,0.1386539787054062,40,45,9.94511730067541,304.33972930908203,269.4707370063387,-34.86899230274332,8000.0,1755.5633643017636,False,False,100.00000010899046
35,0,35,"[39, 35]","[-50.0, 10.0]",-49.87379455566406,0.095070019364357,0.1875806301832199,40,35,9.905733982672603,58.13227081298828,90.73000496152588,32.5977341485376,2142.8905779263832,8000.0,False,False,"[41, 45]","[50.0, -10.0]",50.12614059448242,-0.09510326385498047,0.16028352081775665,40,45,9.905699914860769,301.8677177429199,269.27036765761,-32.59735008530993,8000.0,2142.94272490491,False,False,100.00011597948851
