map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,viewpoint_generation_mode,path_safety_mode,anomaly_tail_quantile,anomaly_weight_lambda,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,planning_time_ms_mean_mean,planning_time_ms_mean_std,path_length_mean,path_length_std,clearance_penalty_raw_mean_mean,clearance_penalty_raw_mean_std,near_obstacle_step_ratio_mean,near_obstacle_step_ratio_std,min_clearance_cells_mean_mean,min_clearance_cells_mean_std,path_invalidations_per_episode_mean,path_invalidations_per_episode_std
ALL,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,45.3,20.840905290637767,158.28571428571428,45.32963170161524,0.8111111111111112,0.1862561623804468,2.433333333333333,0.5587684871413402,0.6518258344551449,0.12091567908849712,20.848192082182567,5.71629247743176,201.86666666666667,51.1935759858815,0.0037445517391234903,0.0014701002056469621,0.0037445517391234903,0.0014701002056469621,6.040817403106549,2.105954483443361,0.0,0.0
open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,48.7,18.788560349318942,166.4,49.63305350268105,0.8333333333333334,0.16666666666666669,2.5,0.5,0.6094827586206897,0.10802323037354039,17.7842246881465,2.2737116323438338,203.2,50.852335246279495,0.0033763369935413392,0.0012199233982822745,0.0033763369935413392,0.0012199233982822745,8.354988457753354,1.2190454086339395,0.0,0.0
harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,33.3,12.514391715141413,123.0,22.838563877792318,0.8,0.22110831935702666,2.4,0.66332495807108,0.6371058558558558,0.12058262037111853,17.32056921788923,2.8081917862262267,181.5,60.688137226314666,0.003929771334267155,0.0014837943034275128,0.003929771334267155,0.0014837943034275128,6.096387136157785,0.8694210391465477,0.0,0.0
peninsula_passage,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,,,53.9,23.746368143360364,192.25,25.849323008543184,0.8,0.16329931618554522,2.4,0.48989794855663565,0.7088888888888889,0.11129605424273857,27.439782340511965,4.437478109156176,220.9,28.539271189012517,0.003927546889561975,0.0016094563022946277,0.003927546889561975,0.0016094563022946277,3.671076615408512,0.29836410827581206,0.0,0.0
ALL,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,45.8,23.958853617539106,163.0909090909091,41.233160850449096,0.9,0.1753303759784389,2.7,0.5259911279353167,0.6331991387622797,0.10664397706368318,24.345475248817543,6.466928294134248,183.6,49.0255715587964,0.0039963853142893895,0.001775528776482004,0.0039963853142893895,0.001775528776482004,5.7398637893229,1.7641211525030263,0.0,0.0
open_water,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,47.4,17.56245996436718,149.75,34.97052330177517,0.9,0.21343747458109494,2.7,0.6403124237432849,0.5602994555353902,0.08189006615480791,19.979892918233507,2.336565032302766,167.8,47.765678054435696,0.004046806910319484,0.0011949967666365488,0.004046806910319484,0.0011949967666365488,7.960916666527966,0.6727549138592301,0.0,0.0
harbor_cove,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,32.2,12.592060990957755,148.14285714285714,40.18325369542666,0.8999999999999998,0.1527525231651947,2.7,0.45825756949558405,0.6386261261261261,0.10874344093671842,22.456036595979803,4.617453465160512,175.7,53.8721634984154,0.004053195521152112,0.001726462554169267,0.004053195521152112,0.001726462554169267,5.3382132152670465,0.5903136384729367,0.0,0.0
peninsula_passage,single_usv_infosampled,static,anomaly_upper_tail,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,57.8,30.39012997668815,193.28571428571428,31.503806054481217,0.9,0.1527525231651947,2.7,0.45825756949558405,0.700671834625323,0.07544079769479409,30.600496232239315,6.0769644577147135,207.3,33.956000942396024,0.003889153511396573,0.0022431113856928556,0.003889153511396573,0.0022431113856928556,3.9204614861736813,0.3614929439863785,0.0,0.0
