step,robot_pos_before,next_cell,final_projected_cell,ticks,arrived,timeout,intensity_mass_before,intensity_mass_after,peak_intensity_before,peak_intensity_after,found_count
50,"[43, 40]","[43, 39]","[43, 39]",103,True,False,1.0000000000000002,1.0,1.0632993150463912,1.0640116815547276,0
51,"[43, 39]","[43, 38]","[43, 38]",86,True,False,1.0,0.9999999999999999,1.0640116815547276,1.0647335956351731,0
52,"[43, 38]","[43, 37]","[43, 37]",69,True,False,0.9999999999999999,1.0000000000000002,1.0647335956351731,1.0654629437645786,0
53,"[43, 37]","[43, 36]","[43, 36]",95,True,False,1.0000000000000002,1.0,1.0654629437645786,1.0661973344305384,0
54,"[43, 36]","[44, 36]","[44, 36]",65,True,False,1.0,0.9999999999999999,1.0661973344305384,1.0671931061489477,0
55,"[44, 36]","[45, 36]","[45, 36]",97,True,False,0.9999999999999999,1.0,1.0671931061489477,1.0684912016656691,0
56,"[45, 36]","[45, 35]","[45, 35]",85,True,False,1.0,0.9999999999999998,1.0684912016656691,1.0696070865450675,0
57,"[45, 35]","[45, 34]","[45, 34]",68,True,False,0.9999999999999998,0.9999999999999999,1.0696070865450675,1.0707412000778016,0
58,"[45, 34]","[45, 33]","[45, 33]",90,True,False,0.9999999999999999,1.0000000000000004,1.0707412000778016,1.0719316550605922,0
59,"[45, 33]","[45, 32]","[45, 32]",90,True,False,1.0000000000000004,0.9999999999999998,1.0719316550605922,1.0731940700052918,0
60,"[45, 32]","[46, 32]","[46, 32]",64,True,False,0.9999999999999998,0.9999999999999998,1.0731940700052918,1.0744358067590258,0
61,"[46, 32]","[46, 33]","[46, 33]",70,True,False,0.9999999999999998,0.9999999999999998,1.0744358067590258,1.0749422890537272,0
62,"[46, 33]","[46, 34]","[46, 34]",94,True,False,0.9999999999999998,1.0,1.0749422890537272,1.0752803328742826,0
63,"[46, 34]","[46, 35]","[46, 35]",84,True,False,1.0,1.0,1.0752803328742826,1.0756139829874607,0
64,"[46, 35]","[47, 35]","[47, 35]",69,True,False,1.0,1.0,1.0756139829874607,1.0763706075970176,0
65,"[47, 35]","[48, 35]","[48, 35]",69,True,False,1.0,0.9999999999999998,1.0763706075970176,1.07757379244558,0
66,"[48, 35]","[48, 36]","[48, 36]",76,True,False,0.9999999999999998,1.0000000000000002,1.07757379244558,1.0785520598213598,0
67,"[48, 36]","[48, 37]","[48, 37]",91,True,False,1.0000000000000002,1.0,1.0785520598213598,1.0794847817302695,0
68,"[48, 37]","[48, 38]","[48, 38]",89,True,False,1.0,1.0,1.0794847817302695,1.0804161528904943,0
69,"[48, 38]","[48, 37]","[48, 37]",71,True,False,1.0,1.0,1.0804161528904943,1.0807135374025527,0
70,"[48, 37]","[48, 36]","[48, 36]",107,True,False,1.0,1.0000000000000002,1.0807135374025527,1.0808678027408147,0
71,"[48, 36]","[48, 35]","[48, 35]",75,True,False,1.0000000000000002,1.0,1.0808678027408147,1.0810571403185765,0
72,"[48, 35]","[48, 34]","[48, 34]",75,True,False,1.0,1.0,1.0810571403185765,1.0814023753094888,0
73,"[48, 34]","[49, 34]","[49, 34]",82,True,False,1.0,0.9999999999999998,1.0814023753094888,1.0821143009615173,0
74,"[49, 34]","[48, 34]","[48, 34]",69,True,False,0.9999999999999998,1.0,1.0821143009615173,1.0822327195052532,0
75,"[48, 34]","[48, 33]","[48, 33]",49,True,False,1.0,0.9999999999999999,1.0822327195052532,1.0825487456581446,0
76,"[48, 33]","[48, 32]","[48, 32]",86,True,False,0.9999999999999999,1.0,1.0825487456581446,1.0831802089466485,0
77,"[48, 32]","[47, 32]","[47, 32]",80,True,False,1.0,1.0000000000000004,1.0831802089466485,1.083453907451462,0
78,"[47, 32]","[46, 32]","[46, 32]",92,True,False,1.0000000000000004,0.9999999999999997,1.083453907451462,1.0835903918464875,0
79,"[46, 32]","[46, 31]","[46, 31]",82,True,False,0.9999999999999997,1.0000000000000002,1.0835903918464875,1.0841630875275836,0
80,"[46, 31]","[45, 31]","[45, 31]",66,True,False,1.0000000000000002,1.0000000000000002,1.0841630875275836,1.0845236010663788,0
81,"[45, 31]","[44, 31]","[44, 31]",70,True,False,1.0000000000000002,1.0,1.0845236010663788,1.084778047658302,0
82,"[44, 31]","[43, 31]","[43, 31]",91,True,False,1.0,0.9999999999999998,1.084778047658302,1.0849632310981423,0
83,"[43, 31]","[42, 31]","[42, 31]",91,True,False,0.9999999999999998,1.0,1.0849632310981423,1.0851022775685217,0
84,"[42, 31]","[41, 31]","[41, 31]",67,True,False,1.0,1.0000000000000002,1.0851022775685217,1.0852133729727507,0
85,"[41, 31]","[40, 31]","[40, 31]",93,True,False,1.0000000000000002,0.9999999999999998,1.0852133729727507,1.0853070101885651,0
86,"[40, 31]","[39, 31]","[39, 31]",87,True,False,0.9999999999999998,1.0000000000000004,1.0853070101885651,1.0853665827138084,0
87,"[39, 31]","[38, 31]","[38, 31]",72,True,False,1.0000000000000004,0.9999999999999998,1.0853665827138084,1.0854244040983458,0
88,"[38, 31]","[37, 31]","[37, 31]",99,True,False,0.9999999999999998,1.0,1.0854244040983458,1.085486232639182,0
89,"[37, 31]","[36, 31]","[36, 31]",86,True,False,1.0,0.9999999999999994,1.085486232639182,1.0855690789684562,0
90,"[36, 31]","[35, 31]","[35, 31]",69,True,False,0.9999999999999994,1.0000000000000004,1.0855690789684562,1.0857003821730449,0
91,"[35, 31]","[34, 31]","[34, 31]",95,True,False,1.0000000000000004,0.9999999999999999,1.0857003821730449,1.0859922985734252,0
92,"[34, 31]","[33, 31]","[33, 31]",85,True,False,0.9999999999999999,1.0,1.0859922985734252,1.0867504834129895,0
93,"[33, 31]","[32, 31]","[32, 31]",73,True,False,1.0,0.9999999999999998,1.0867504834129895,1.087938806397043,0
94,"[32, 31]","[31, 31]","[31, 31]",99,True,False,0.9999999999999998,1.0000000000000004,1.087938806397043,1.0894233482499383,0
95,"[31, 31]","[30, 31]","[30, 31]",87,True,False,1.0000000000000004,0.9999999999999998,1.0894233482499383,1.0910731726859169,0
96,"[30, 31]","[29, 31]","[29, 31]",68,True,False,0.9999999999999998,1.0000000000000002,1.0910731726859169,1.0928447265418506,0
97,"[29, 31]","[29, 32]","[29, 32]",77,True,False,1.0000000000000002,1.0,1.0928447265418506,1.0940102142939399,0
98,"[29, 32]","[29, 33]","[29, 33]",71,True,False,1.0,0.9999999999999996,1.0940102142939399,1.0950215772287089,0
99,"[29, 33]","[29, 34]","[29, 34]",100,True,False,0.9999999999999996,1.0,1.0950215772287089,1.0959961100509328,0
100,"[29, 34]","[29, 35]","[29, 35]",86,True,False,1.0,0.9999999999999999,1.0959961100509328,1.0969692817798729,0
101,"[29, 35]","[29, 36]","[29, 36]",70,True,False,0.9999999999999999,1.0000000000000004,1.0969692817798729,1.0979701276302745,0
102,"[29, 36]","[29, 37]","[29, 37]",99,True,False,1.0000000000000004,0.9999999999999997,1.0979701276302745,1.0990084781494054,0
103,"[29, 37]","[29, 38]","[29, 38]",85,True,False,0.9999999999999997,1.0,1.0990084781494054,1.1000946656272594,0
104,"[29, 38]","[29, 39]","[29, 39]",70,True,False,1.0,1.0,1.1000946656272594,1.1012485997783474,0
105,"[29, 39]","[29, 40]","[29, 40]",99,True,False,1.0,1.0000000000000004,1.1012485997783474,1.1025301530597182,0
106,"[29, 40]","[29, 41]","[29, 41]",85,True,False,1.0000000000000004,1.0000000000000002,1.1025301530597182,1.1039810783619217,0
107,"[29, 41]","[29, 42]","[29, 42]",70,True,False,1.0000000000000002,0.9999999999999999,1.1039810783619217,1.1055994894683872,0
108,"[29, 42]","[29, 43]","[29, 43]",99,True,False,0.9999999999999999,0.9999999999999999,1.1055994894683872,1.1073230477292604,0
109,"[29, 43]","[29, 44]","[29, 44]",85,True,False,0.9999999999999999,1.0000000000000002,1.1073230477292604,1.1091091137370845,0
110,"[29, 44]","[29, 45]","[29, 45]",70,True,False,1.0000000000000002,0.9999999999999998,1.1091091137370845,1.1109538548671691,0
111,"[29, 45]","[29, 46]","[29, 46]",100,True,False,0.9999999999999998,1.0,1.1109538548671691,1.112834819552053,0
112,"[29, 46]","[29, 47]","[29, 47]",85,True,False,1.0,1.0,1.112834819552053,1.1147285076675448,0
113,"[29, 47]","[29, 48]","[29, 48]",70,True,False,1.0,1.0000000000000002,1.1147285076675448,1.116631625072654,0
114,"[29, 48]","[29, 49]","[29, 49]",98,True,False,1.0000000000000002,1.0,1.116631625072654,1.118568670886201,0
115,"[29, 49]","[28, 49]","[28, 49]",86,True,False,1.0,0.9999999999999999,1.118568670886201,1.1200212128806524,0
116,"[28, 49]","[27, 49]","[27, 49]",67,True,False,0.9999999999999999,1.0,1.1200212128806524,1.121556097085603,0
117,"[27, 49]","[26, 49]","[26, 49]",66,True,False,1.0,1.0,1.121556097085603,1.123241197898078,0
118,"[26, 49]","[25, 49]","[25, 49]",69,True,False,1.0,0.9999999999999998,1.123241197898078,1.1250355843216704,0
119,"[25, 49]","[24, 49]","[24, 49]",77,True,False,0.9999999999999998,1.0,1.1250355843216704,1.1269325173827445,0
120,"[24, 49]","[23, 49]","[23, 49]",73,True,False,1.0,1.0,1.1269325173827445,1.128886689545541,0
