policy_name,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,clue_mode_note,robot_pos_before,segment_path,next_cell,target_cell_source,segment_path_0_equals_robot_pos_before,next_cell_equals_segment_path_1,final_projected_cell_equals_next_cell,target_world,final_world,ticks,arrived,timeout,distance_to_target_m,final_projected_cell,replanned,replan_reason,committed_vp,committed_anchor,anchor_source,found_count,completed_steps,path_length,remaining_intensity_mass,search_info_map_peak,search_info_map_mean
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 10]","[[2, 10], [2, 11], [2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 11]",algorithm_segment_path,True,True,True,"[-145.0, 190.0]","[-147.49307250976562, 190.0, 0.16048181056976318]",220,True,False,2.493072509765625,"[2, 11]",True,commit_expired,"[38, 39]","[41, 41]",search_info,0,11,11,0.9999999999999998,1.0,0.9276842296231456
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 11]","[[2, 11], [2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 12]",algorithm_segment_path,True,True,True,"[-140.0, 190.0]","[-142.49307250976562, 190.0, 0.1603822112083435]",220,True,False,2.493072509765625,"[2, 12]",False,none,"[38, 39]","[41, 41]",search_info,0,12,12,1.0,1.0,0.9285532941575021
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 12]","[[2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 13]",algorithm_segment_path,True,True,True,"[-135.0, 190.0]","[-137.49307250976562, 190.0, 0.16047804057598114]",220,True,False,2.493072509765625,"[2, 13]",False,none,"[38, 39]","[41, 41]",search_info,0,13,13,1.0,1.0,0.9265967212803311
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 13]","[[2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 14]",algorithm_segment_path,True,True,True,"[-130.0, 190.0]","[-132.49307250976562, 190.0, 0.1604536771774292]",220,True,False,2.493072509765625,"[2, 14]",False,none,"[38, 39]","[41, 41]",search_info,0,14,14,0.9999999999999997,1.0,0.9228635526731954
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 14]","[[2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 15]",algorithm_segment_path,True,True,True,"[-125.0, 190.0]","[-127.49307250976562, 190.0, 0.1603821963071823]",220,True,False,2.493072509765625,"[2, 15]",False,none,"[38, 39]","[41, 41]",search_info,0,15,15,1.0000000000000002,1.0,0.9224468702295774
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 15]","[[2, 15], [2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 16]",algorithm_segment_path,True,True,True,"[-120.0, 190.0]","[-122.49307250976562, 190.0, 0.16045981645584106]",220,True,False,2.493072509765625,"[2, 16]",True,commit_expired,"[39, 39]","[42, 41]",search_info,0,16,16,1.0,1.0,0.9235189188183399
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 16]","[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 17]",algorithm_segment_path,True,True,True,"[-115.0, 190.0]","[-117.49307250976562, 190.0, 0.16047680377960205]",220,True,False,2.493072509765625,"[2, 17]",False,none,"[39, 39]","[42, 41]",search_info,0,17,17,0.9999999999999999,1.0,0.9117101392113581
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 17]","[[2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 18]",algorithm_segment_path,True,True,True,"[-110.0, 190.0]","[-112.49307250976562, 190.0, 0.16051466763019562]",220,True,False,2.493072509765625,"[2, 18]",False,none,"[39, 39]","[42, 41]",search_info,0,18,18,1.0,1.0,0.920216693236135
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 18]","[[2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 19]",algorithm_segment_path,True,True,True,"[-105.0, 190.0]","[-107.49307250976562, 190.0, 0.16045419871807098]",220,True,False,2.493072509765625,"[2, 19]",False,none,"[39, 39]","[42, 41]",search_info,0,19,19,1.0,1.0,0.9194938195464993
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 19]","[[2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 20]",algorithm_segment_path,True,True,True,"[-100.0, 190.0]","[-102.49307250976562, 190.0, 0.1604134440422058]",220,True,False,2.493072509765625,"[2, 20]",False,none,"[39, 39]","[42, 41]",search_info,0,20,20,0.9999999999999996,1.0,0.9186890383628166
