tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step
1,0,1,2,-190.0,195.0,-194.3096923828125,194.98724365234375,0.13744214177131653,-194.3096923828125,194.98724365234375,0.13744214177131653,1,1,4.309711261659835,False,False,1
2,0,1,2,-190.0,195.0,-194.26963806152344,194.98538208007812,0.15822827816009521,-194.26963806152344,194.98538208007812,0.15822827816009521,1,1,4.269663085068008,False,False,1
3,0,1,2,-190.0,195.0,-194.2315216064453,194.98348999023438,0.177188441157341,-194.2315216064453,194.98348999023438,0.177188441157341,1,1,4.23155381464492,False,False,1
4,0,1,2,-190.0,195.0,-194.19512939453125,194.98158264160156,0.1923895627260208,-194.19512939453125,194.98158264160156,0.1923895627260208,1,1,4.195169822063287,False,False,1
5,0,1,2,-190.0,195.0,-194.1603546142578,194.97964477539062,0.20273849368095398,-194.1603546142578,194.97964477539062,0.20273849368095398,1,1,4.160404409615148,False,False,1
6,0,1,2,-190.0,195.0,-194.12701416015625,194.9776611328125,0.20748640596866608,-194.12701416015625,194.9776611328125,0.20748640596866608,1,1,4.127074618069973,False,False,1
7,0,1,2,-190.0,195.0,-194.0950164794922,194.97561645507812,0.20648832619190216,-194.0950164794922,194.97561645507812,0.20648832619190216,1,1,4.095089074070984,False,False,1
8,0,1,2,-190.0,195.0,-194.064208984375,194.97352600097656,0.20055441558361053,-194.064208984375,194.97352600097656,0.20055441558361053,1,1,4.064295208433901,False,False,1
9,0,1,2,-190.0,195.0,-194.03451538085938,194.9713897705078,0.19088421761989594,-194.03451538085938,194.9713897705078,0.19088421761989594,1,1,4.034616822403642,False,False,1
10,0,1,2,-190.0,195.0,-194.00582885742188,194.9691925048828,0.17879246175289154,-194.00582885742188,194.9691925048828,0.17879246175289154,1,1,4.005947320760626,False,False,1
11,0,1,2,-190.0,195.0,-193.9780731201172,194.96693420410156,0.16593286395072937,-193.9780731201172,194.96693420410156,0.16593286395072937,1,1,3.9782105394080505,False,False,1
12,0,1,2,-190.0,195.0,-193.951171875,194.96461486816406,0.1538524329662323,-193.951171875,194.96461486816406,0.1538524329662323,1,1,3.951330319442562,False,False,1
13,0,1,2,-190.0,195.0,-193.92503356933594,194.96224975585938,0.14370809495449066,-193.92503356933594,194.96224975585938,0.14370809495449066,1,1,3.925215102557653,False,False,1
14,0,1,2,-190.0,195.0,-193.89962768554688,194.95982360839844,0.13630574941635132,-193.89962768554688,194.95982360839844,0.13630574941635132,1,1,3.8998346411515707,False,False,1
15,0,1,2,-190.0,195.0,-193.87486267089844,194.9573516845703,0.1321941465139389,-193.87486267089844,194.9573516845703,0.1321941465139389,1,1,3.8750973661485157,False,False,1
16,0,1,2,-190.0,195.0,-193.8507080078125,194.95481872558594,0.13169072568416595,-193.8507080078125,194.95481872558594,0.13169072568416595,1,1,3.8509730600185965,False,False,1
17,0,1,2,-190.0,195.0,-193.8271026611328,194.95225524902344,0.13455195724964142,-193.8271026611328,194.95225524902344,0.13455195724964142,1,1,3.827400467692879,False,False,1
18,0,1,2,-190.0,195.0,-193.80401611328125,194.9496307373047,0.1399119347333908,-193.80401611328125,194.9496307373047,0.1399119347333908,1,1,3.8043495702587395,False,False,1
19,0,1,2,-190.0,195.0,-193.78138732910156,194.94696044921875,0.1469326764345169,-193.78138732910156,194.94696044921875,0.1469326764345169,1,1,3.7817592898857173,False,False,1
20,0,1,2,-190.0,195.0,-193.75921630859375,194.94424438476562,0.1546836644411087,-193.75921630859375,194.94424438476562,0.1546836644411087,1,1,3.7596297614828225,False,False,1
21,0,1,2,-190.0,195.0,-193.73744201660156,194.94149780273438,0.16232755780220032,-193.73744201660156,194.94149780273438,0.16232755780220032,1,1,3.7378998561416354,False,False,1
22,0,1,2,-190.0,195.0,-193.71604919433594,194.93870544433594,0.16922837495803833,-193.71604919433594,194.93870544433594,0.16922837495803833,1,1,3.7165546729839485,False,False,1
23,0,1,2,-190.0,195.0,-193.6949920654297,194.9358673095703,0.17451980710029602,-193.6949920654297,194.9358673095703,0.17451980710029602,1,1,3.695548587905468,False,False,1
24,0,1,2,-190.0,195.0,-193.6742706298828,194.93299865722656,0.17777498066425323,-193.6742706298828,194.93299865722656,0.17777498066425323,1,1,3.674881473129832,False,False,1
25,0,1,2,-190.0,195.0,-193.6538543701172,194.9300994873047,0.17872728407382965,-193.6538543701172,194.9300994873047,0.17872728407382965,1,1,3.6545229291522494,False,False,1
26,0,1,2,-190.0,195.0,-193.63372802734375,194.92715454101562,0.17760716378688812,-193.63372802734375,194.92715454101562,0.17760716378688812,1,1,3.6344581215909124,False,False,1
27,0,1,2,-190.0,195.0,-193.6138458251953,194.9241943359375,0.17468075454235077,-193.6138458251953,194.9241943359375,0.17468075454235077,1,1,3.6146408046976877,False,False,1
28,0,1,2,-190.0,195.0,-193.59423828125,194.92120361328125,0.17054037749767303,-193.59423828125,194.92120361328125,0.17054037749767303,1,1,3.595101903001205,False,False,1
29,0,1,2,-190.0,195.0,-193.57484436035156,194.91819763183594,0.16566027700901031,-193.57484436035156,194.91819763183594,0.16566027700901031,1,1,3.575780170560632,False,False,1
30,0,1,2,-190.0,195.0,-193.55567932128906,194.91517639160156,0.16082006692886353,-193.55567932128906,194.91517639160156,0.16082006692886353,1,1,3.556690945300755,False,False,1
31,0,1,2,-190.0,195.0,-193.53672790527344,194.91212463378906,0.15654493868350983,-193.53672790527344,194.91212463378906,0.15654493868350983,1,1,3.537819435178475,False,False,1
32,0,1,2,-190.0,195.0,-193.51795959472656,194.90907287597656,0.15307234227657318,-193.51795959472656,194.90907287597656,0.15307234227657318,1,1,3.5191344748406324,False,False,1
33,0,1,2,-190.0,195.0,-193.4993896484375,194.906005859375,0.15079233050346375,-193.4993896484375,194.906005859375,0.15079233050346375,1,1,3.500651769322873,False,False,1
