step,policy_name,clue_acquisition_mode,mode,robot_cell,viewpoint_cell,segment_endpoint_cell,anchor_cell,anchor_source,anchor_centroid_cell,anchor_cluster_size,anchor_cluster_peak,anchor_cluster_mean,viewpoint_rule,replanned_this_step,replan_reason,commit_remaining,planned_commit_window,commit_policy,path_length_current,planned_segment_length,planned_viewpoint_path_length,segment_path_length,fraction_of_path_executed_before_replan,switch_count,explore_utility_raw,explore_utility_norm,focus_utility_raw,focus_utility_norm,recency_utility_raw,recency_utility_norm,search_info_gain_raw,search_info_gain_norm,recency_bias_raw,recency_bias_norm,exec_cost_raw,exec_cost_norm,clearance_penalty_raw,segment_min_clearance_cells,segment_mean_clearance_cells,near_obstacle_step_flag,near_obstacle_step_ratio,path_safety_mode,planner_adaptation_mode,safe_nav_lambda_clearance,marginal_information_gain_raw,marginal_information_gain_norm,execution_cost_raw,execution_cost_norm,continuity_bonus_raw,continuity_bonus_anchor_raw,continuity_bonus_viewpoint_raw,marginal_information_gain_score_term,recency_bias_score_term,execution_cost_score_term,continuity_bonus_score_term,maneuver_penalty_raw,maneuver_penalty_score_term,segment_turn_count,alpha_focus,kappa_commit,same_anchor_cluster,viewpoint_drift_norm,anchor_retention_bonus,viewpoint_retention_bonus,anchor_info_clue_share,anchor_info_intensity_share,candidate_pool_size,reachable_pool_size,a_star_checked_pool_size,selected_viewpoint_rank,sampling_priority_raw,sampling_priority_norm,viewpoint_sampling_mode,selected_by_final_score,sssp_build_time_ms,path_reconstruct_time_ms,sampling_pool_build_time_ms,priority_feature_time_ms,tree_depth,tree_first_layer_top_m,tree_second_layer_top_n,tree_discount_gamma,tree_root_rank,tree_child_rank,tree_root_score_raw,tree_child_score_raw,tree_total_score,tree_conditional_gain_lvl2,tree_redundant_visible_ratio_lvl2,tree_unique_visible_count_lvl1,tree_unique_visible_count_lvl2,tree_expansion_count,tree_planning_time_ms,tree_child_oracle_score_raw,tree_child_budget_score_raw,tree_child_oracle_gap_raw,tree_child_oracle_rank_of_budgeted,tree_child_budget_matches_oracle,tree_child_oracle_viewpoint_cell,tree_child_budget_viewpoint_cell,tree_child_full_candidate_count,u_turn_penalty_term,u_turn_penalty_applied,planned_first_move_dir,current_viewpoint_score,best_alternative_score,total_score,anchor_switch_count,focus_anchor_active,focus_on_anchor_cluster_steps,time_since_last_detection,remaining_intensity_mass,peak_intensity_ratio,known_free_observation_ratio,search_info_map_peak,search_info_map_mean,anomaly_viewpoint_prob,anomaly_viewpoint_weight,anomaly_viewpoint_acq,anomaly_visible_mean,selected_in_anomaly_top_band,effective_observation_gain,stale_refresh_ratio,detected_count_this_step,collision_this_step,collision_cell,path_invalidations_per_episode
12,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,11,False,0,32,3.0000000000000004,1.013030485586343,0.01287128712871287,1.0,0.9574506708159837,0.651757344690771,1.651757344690771,0.05021926328779489,0.640695142780481,True,0.0,0.0,0,False,,0
13,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,12,False,0,33,3.0000000000000004,1.013033589437251,0.01287128712871287,1.0,0.9602260007248297,0.6559222483346382,1.655922248334638,0.0496894426319325,0.6524114034573774,True,0.0,0.0,0,False,,0
14,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,13,False,0,34,3.0,1.01303547114563,0.01287128712871287,1.0,0.9579764039226114,0.662693727394839,1.662693727394839,0.05016170941659287,0.6572298454076226,True,0.0,0.0,0,False,,0
15,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,14,False,0,35,2.999999999999999,1.0130366165518325,0.01287128712871287,1.0,0.9583492999375508,0.6032774368719613,1.6032774368719613,0.04748753393408213,0.6003486693553577,True,0.0,0.0,0,False,,0
16,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,15,False,0,36,3.0,1.0130373162664403,0.01287128712871287,1.0,0.9541706376289254,0.6041110013895397,1.6041110013895397,0.04647712671838007,0.6040484255981403,True,0.0,0.0,0,False,,0
17,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,16,False,0,37,2.9999999999999996,1.0130377450767252,0.01287128712871287,1.0,0.9509641428999477,0.5742662192033651,1.574266219203365,0.0437386337793227,0.590317746558953,True,0.0,0.0,0,False,,0
18,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,17,False,0,38,2.9999999999999996,1.0130380086158393,0.01287128712871287,1.0,0.9447885973095361,0.5464041009247558,1.5464041009247558,0.04387321616766671,0.5534209186245527,True,0.0,0.0,0,False,,0
19,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,18,False,0,39,3.0,1.013038170996014,0.01287128712871287,1.0,0.9359857903014569,0.5655244284163333,1.5655244284163334,0.04310563120472852,0.586878117924382,True,0.0,0.0,0,False,,0
20,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,19,False,0,40,3.0,1.0130382712767412,0.01287128712871287,1.0,0.9660595637611962,0.5130739251809099,1.51307392518091,0.04092474558632553,0.5535350632537275,True,0.0,0.0,0,False,,0
21,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,20,False,0,41,3.0,1.0130383333351223,0.01287128712871287,1.0,0.9589788637051627,0.6529227734124811,1.652922773412481,0.04683914879192939,0.671514982394029,True,0.0,0.0,0,False,,0
