tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step,target_proxy_x,target_proxy_y,target_proxy_z,sv_command_0,sv_command_1,sv_heading_deg,sv_target_heading_deg,sv_heading_error_deg,sv_control_scheme,target_control_scheme
21,0,1,2,-190.0,195.0,-193.18739318847656,195.0,0.09293606132268906,-193.18739318847656,195.0,0.09293606132268906,1,1,3.1873931884765625,False,False,1,-98.85993194580078,99.96085357666016,0.08708678930997849,4089.756965637207,4089.756965637207,0.0,0.0,0.0,0,1
22,0,1,2,-190.0,195.0,-193.05421447753906,195.0,0.10250574350357056,-193.05421447753906,195.0,0.10250574350357056,1,1,3.0542144775390625,False,False,1,-98.85275268554688,99.9594497680664,0.09097825735807419,3981.5492630004883,3981.5492630004883,0.0,0.0,0.0,0,1
23,0,1,2,-190.0,195.0,-192.91943359375,195.0,0.11942146718502045,-192.91943359375,195.0,0.11942146718502045,1,1,2.91943359375,False,False,1,-98.84568786621094,99.95797729492188,0.10296809673309326,3872.039794921875,3872.039794921875,0.0,0.0,0.0,0,1
24,0,1,2,-190.0,195.0,-192.78323364257812,195.0,0.14059272408485413,-192.78323364257812,195.0,0.14059272408485413,1,1,2.783233642578125,False,False,1,-98.83871459960938,99.95642852783203,0.12083503603935242,3761.3773345947266,3761.3773345947266,0.0,0.0,0.0,0,1
25,0,1,2,-190.0,195.0,-192.64572143554688,195.0,0.1627124696969986,-192.64572143554688,195.0,0.1627124696969986,1,1,2.645721435546875,False,False,1,-98.83184814453125,99.95478820800781,0.14122776687145233,3649.648666381836,3649.648666381836,0.0,0.0,0.0,0,1
26,0,1,2,-190.0,195.0,-192.5070343017578,195.0,0.1830417960882187,-192.5070343017578,195.0,0.1830417960882187,1,1,2.5070343017578125,False,False,1,-98.82506561279297,99.95306396484375,0.16201254725456238,3536.9653701782227,3536.9653701782227,0.0,0.0,0.0,0,1
27,0,1,2,-190.0,195.0,-192.36724853515625,195.0,0.19999808073043823,-192.36724853515625,195.0,0.19999808073043823,1,2,2.36724853515625,True,False,1,-98.818359375,99.95124053955078,0.18144573271274567,3423.389434814453,3423.389434814453,0.0,0.0,0.0,0,1
28,0,2,2,-190.0,190.0,-191.4021453857422,195.0,0.13975533843040466,-191.4021453857422,195.0,0.13975533843040466,1,2,5.192880865450132,False,False,2,-98.7492904663086,99.92327880859375,0.1408313363790512,8000.0,-6759.031984804717,0.0,285.6650409396163,-74.33495906038371,0,1
29,0,2,2,-190.0,190.0,-191.3580780029297,195.00006103515625,0.13876347243785858,-191.3580780029297,195.00006103515625,0.13876347243785858,1,2,5.181214743410012,False,False,2,-98.74336242675781,99.92001342773438,0.13759317994117737,8000.0,-6832.078333900662,359.86991576850414,285.19564054410955,-74.67427522439459,0,1
30,0,2,2,-190.0,190.0,-191.31842041015625,195.00018310546875,0.14141839742660522,-191.31842041015625,195.00018310546875,0.14141839742660522,1,2,5.171079526185194,False,False,2,-98.73748016357422,99.9166259765625,0.13735458254814148,8000.0,-6869.043715299782,359.61299991607666,284.7712375981446,-74.84176231793208,0,1
31,0,2,2,-190.0,190.0,-191.28273010253906,195.00038146972656,0.1467667669057846,-191.28273010253906,195.00038146972656,0.1467667669057846,1,2,5.162287415356166,False,False,2,-98.73165893554688,99.9131088256836,0.139757439494133,8000.0,-6871.538919665496,359.2324244379997,284.3876410727366,-74.84478336526314,0,1
32,0,2,2,-190.0,190.0,-191.25062561035156,195.00062561035156,0.15395085513591766,-191.25062561035156,195.00062561035156,0.15395085513591766,1,2,5.154640716109237,False,False,2,-98.72588348388672,99.90946960449219,0.14436188340187073,8000.0,-6841.042900559382,358.7312824726105,284.04130317009134,-74.68997930251913,0,1
33,0,2,2,-190.0,190.0,-191.2217254638672,195.00094604492188,0.1616109013557434,-191.2217254638672,195.00094604492188,0.1616109013557434,1,2,5.148016555264876,False,False,2,-98.72017669677734,99.90570831298828,0.15071329474449158,8000.0,-6779.076395107584,358.11259043216705,283.72839748610454,-74.38419294606251,0,1
34,0,2,2,-190.0,190.0,-191.19569396972656,195.00131225585938,0.169052392244339,-191.19569396972656,195.00131225585938,0.169052392244339,1,2,5.142257125995322,False,False,2,-98.71453094482422,99.90180969238281,0.15793222188949585,8000.0,-6687.050777066065,357.3792905807495,283.44566744336703,-73.93362313738248,0,1
35,0,2,2,-190.0,190.0,-191.17227172851562,195.00173950195312,0.17588548362255096,-191.17227172851562,195.00173950195312,0.17588548362255096,1,2,5.137277396722441,False,False,2,-98.70895385742188,99.89778900146484,0.16505083441734314,8000.0,-6566.233538586239,356.53425216674805,283.19049162218266,-73.34376054456538,0,1
36,0,2,2,-190.0,190.0,-191.15118408203125,195.00222778320312,0.18175926804542542,-191.15118408203125,195.00222778320312,0.18175926804542542,1,2,5.132982328605017,False,False,2,-98.70344543457031,99.89363098144531,0.1715508997440338,8000.0,-6417.937565527251,355.58027505874634,282.9600713502066,-72.62020370853975,0,1
37,0,2,2,-190.0,190.0,-191.13218688964844,195.0027618408203,0.1860051304101944,-191.13218688964844,195.0027618408203,0.1860051304101944,1,2,5.129276088207735,False,False,2,-98.6980209350586,99.88933563232422,0.17684850096702576,8000.0,-6243.418110972765,354.52008867263794,282.7519333844749,-71.76815528816303,0,1
38,0,2,2,-190.0,190.0,-191.1150665283203,195.00335693359375,0.18843282759189606,-191.1150665283203,195.00335693359375,0.18843282759189606,1,2,5.126105145968133,False,False,2,-98.69268035888672,99.8849105834961,0.1803005039691925,8000.0,-6043.887976299013,353.3563585281372,282.56382611484673,-70.79253241329047,0,1
39,0,2,2,-190.0,190.0,-191.09963989257812,195.00401306152344,0.1888710856437683,-191.09963989257812,195.00401306152344,0.1888710856437683,1,2,5.123412399294673,False,False,2,-98.68742370605469,99.8803482055664,0.18179847300052643,8000.0,-5820.505959697299,352.0916848182678,282.3938427630619,-69.69784205520591,0,1
40,0,2,2,-190.0,190.0,-191.08572387695312,195.0047149658203,0.18769489228725433,-191.08572387695312,195.0047149658203,0.18769489228725433,1,2,5.121129584973606,False,False,2,-98.68226623535156,99.87564849853516,0.18147996068000793,8000.0,-5574.450860071363,350.7286033630371,282.2400915193951,-68.48851184364202,0,1
41,0,2,2,-190.0,190.0,-191.07315063476562,195.00546264648438,0.185124009847641,-191.07315063476562,195.00546264648438,0.185124009847641,1,2,5.119209762282479,False,False,2,-98.67720031738281,99.87081146240234,0.17952756583690643,8000.0,-5306.897061770787,349.26959323883057,282.10079257853084,-67.16880066029972,0,1
42,0,2,2,-190.0,190.0,-191.06179809570312,195.0062713623047,0.18159140646457672,-191.06179809570312,195.0062713623047,0.18159140646457672,1,2,5.117633061198392,False,False,2,-98.6722412109375,99.86585235595703,0.17628198862075806,8000.0,-5018.9436223489565,347.7170686721802,281.97461827776505,-65.74245039441513,0,1
43,0,2,2,-190.0,190.0,-191.05152893066406,195.0071258544922,0.17766307294368744,-191.05152893066406,195.0071258544922,0.17766307294368744,1,2,5.116348543126008,False,False,2,-98.66738891601562,99.86075592041016,0.17222626507282257,8000.0,-4711.7516845777045,346.0733938217163,281.8601353186677,-64.21325850304862,0,1
44,0,2,2,-190.0,190.0,-191.042236328125,195.00802612304688,0.1736719012260437,-191.042236328125,195.00802612304688,0.1736719012260437,1,2,5.115328162765651,False,False,2,-98.66263580322266,99.85552978515625,0.16779513657093048,8000.0,-4386.446877478405,344.3408679962158,281.75620019132634,-62.58466780488948,0,1
45,0,2,2,-190.0,190.0,-191.03379821777344,195.00897216796875,0.1699175089597702,-191.03379821777344,195.00897216796875,0.1699175089597702,1,2,5.114542104094666,False,False,2,-98.65799713134766,99.85017395019531,0.1636737883090973,8000.0,-4044.226281747723,342.5217475891113,281.6614955557963,-60.86025203331502,0,1
46,0,2,2,-190.0,190.0,-191.02613830566406,195.0099639892578,0.16661062836647034,-191.02613830566406,195.0099639892578,0.16661062836647034,1,2,5.113970961592485,False,False,2,-98.65347290039062,99.84469604492188,0.15994982421398163,8000.0,-3686.215462452795,340.6182155609131,281.5752009243244,-59.04301463658868,0,1
47,0,2,2,-190.0,190.0,-191.01914978027344,195.010986328125,0.1639409065246582,-191.01914978027344,195.010986328125,0.1639409065246582,1,2,5.113575095301433,False,False,2,-98.64906311035156,99.83909606933594,0.15711355209350586,8000.0,-3313.649567294337,338.6324234008789,281.4961910240836,-57.136232376795306,0,1
48,0,2,2,-190.0,190.0,-191.01275634765625,195.01206970214844,0.1621965914964676,-191.01275634765625,195.01206970214844,0.1621965914964676,1,2,5.113366612996995,False,False,2,-98.644775390625,99.8333740234375,0.15507720410823822,8000.0,-2927.730061574315,336.5664577484131,281.4235697854007,-55.14288796301241,0,1
49,0,2,2,-190.0,190.0,-191.0069122314453,195.01318359375,0.16146062314510345,-191.0069122314453,195.01318359375,0.16146062314510345,1,2,5.113304409721599,False,False,2,-98.64060974121094,99.8275375366211,0.15393809974193573,8000.0,-2529.6282088918406,334.42235374450684,281.35691026199345,-53.06544348251339,0,1
50,0,2,2,-190.0,190.0,-191.0015106201172,195.0143280029297,0.16174888610839844,-191.0015106201172,195.0143280029297,0.16174888610839844,1,2,5.113365705987823,False,False,2,-98.6365737915039,99.82157897949219,0.1537838578224182,8000.0,-2120.6873430690016,332.20209884643555,281.29504461840156,-50.907054228033985,0,1
51,0,2,2,-190.0,190.0,-190.9965362548828,195.0155029296875,0.16284044086933136,-190.9965362548828,195.0155029296875,0.16284044086933136,1,2,5.113546141866694,False,False,2,-98.63267517089844,99.81551361083984,0.15451699495315552,8000.0,-1702.0845587599006,329.90762519836426,281.2378093759443,-48.669815822419935,0,1
52,0,2,2,-190.0,190.0,-190.99191284179688,195.01669311523438,0.16453644633293152,-190.99191284179688,195.01669311523438,0.16453644633293152,1,2,5.113814710972772,False,False,2,-98.62891387939453,99.80933380126953,0.1560497134923935,8000.0,-1275.1669202120584,327.54082107543945,281.1844025612203,-46.35641851421917,0,1
53,0,2,2,-190.0,190.0,-190.9866485595703,195.01730346679688,0.1664966493844986,-190.9866485595703,195.01730346679688,0.1664966493844986,1,2,5.11339510091232,False,False,2,-98.62529754638672,99.80304718017578,0.1581854671239853,8000.0,-845.0892815835023,325.11325454711914,281.12520980221893,-43.98804474490021,0,1
54,0,2,2,-190.0,190.0,-190.9790802001953,195.01611328125,0.16855253279209137,-190.9790802001953,195.01611328125,0.16855253279209137,1,2,5.110772005161953,False,False,2,-98.62183380126953,99.7966537475586,0.16080611944198608,8000.0,-419.93014554450474,322.6450729370117,281.0445315331403,-41.60054140387143,0,1
55,0,2,2,-190.0,190.0,-190.96780395507812,195.01187133789062,0.17038486897945404,-190.96780395507812,195.01187133789062,0.17038486897945404,1,2,5.10445871792832,False,False,2,-98.61851501464844,99.79016876220703,0.16357019543647766,8000.0,-6.854625644775297,320.155704498291,280.9294253741304,-39.22627912416061,0,1
56,0,2,2,-190.0,190.0,-190.95176696777344,195.00335693359375,0.1719503253698349,-190.95176696777344,195.00335693359375,0.1719503253698349,1,2,5.0930777498370565,False,False,2,-98.6153564453125,99.78357696533203,0.16628794372081757,8000.0,388.1305937997331,317.6635513305664,280.7704464762272,-36.893104854339185,0,1
57,0,2,2,-190.0,190.0,-190.93019104003906,194.98944091796875,0.17321813106536865,-190.93019104003906,194.98944091796875,0.17321813106536865,1,2,5.075408953460776,False,False,2,-98.61236572265625,99.77689361572266,0.16861218214035034,8000.0,760.0472802098293,315.1857566833496,280.56052564119443,-34.62523104215518,0,1
58,0,2,2,-190.0,190.0,-190.902587890625,194.96902465820312,0.17434442043304443,-190.902587890625,194.96902465820312,0.17434442043304443,1,2,5.050333746806598,False,False,2,-98.60954284667969,99.77012634277344,0.17040684819221497,8000.0,1104.9447867332537,312.73804092407227,280.2951228648005,-32.44291805927179,0,1
59,0,2,2,-190.0,190.0,-190.86875915527344,194.941162109375,0.1756521761417389,-190.86875915527344,194.941162109375,0.1756521761417389,1,2,5.016953802955995,False,False,2,-98.60688781738281,99.76326751708984,0.17166705429553986,8000.0,1419.9086056877845,310.3345375061035,279.9718709697753,-30.36266653632822,0,1
60,0,2,2,-190.0,190.0,-190.82870483398438,194.905029296875,0.17714281380176544,-190.82870483398438,194.905029296875,0.17714281380176544,1,2,4.974541597481232,False,False,2,-98.60440826416016,99.75633239746094,0.17244715988636017,8000.0,1702.8266759613416,307.98774337768555,279.58956595231575,-28.398177425369795,0,1
61,0,2,2,-190.0,190.0,-190.78326416015625,194.86074829101562,0.17878828942775726,-190.78326416015625,194.86074829101562,0.17878828942775726,1,2,4.923451705175607,False,False,2,-98.60211181640625,99.74932098388672,0.1727961003780365,7885.6333979437695,1955.2741294221983,305.69965744018555,279.1539889181093,-26.545668522076255,0,1
62,0,2,2,-190.0,190.0,-190.7334747314453,194.80877685546875,0.18055152893066406,-190.7334747314453,194.80877685546875,0.18055152893066406,1,2,4.8643930790347,False,False,2,-98.59999084472656,99.74224090576172,0.17269907891750336,7719.420070287451,2179.853681020104,303.46877670288086,278.6723880749478,-24.796388627933084,0,1
63,0,2,2,-190.0,190.0,-190.68023681640625,194.7495574951172,0.18228140473365784,-190.68023681640625,194.7495574951172,0.18228140473365784,1,2,4.798022355702228,False,False,2,-98.59806823730469,99.73509216308594,0.1722603738307953,7549.073329183642,2378.8527752079276,301.2936477661133,278.15053707122274,-23.143110694890538,0,1
64,0,2,2,-190.0,190.0,-190.6243896484375,194.68350219726562,0.1838415563106537,-190.6243896484375,194.68350219726562,0.1838415563106537,1,2,4.724939710183384,False,False,2,-98.59632110595703,99.72789001464844,0.17169135808944702,7375.21526666373,2554.395651353732,299.17282485961914,277.593714097811,-21.579110761808124,0,1
65,0,2,2,-190.0,190.0,-190.56666564941406,194.6110076904297,0.1854027509689331,-190.56666564941406,194.6110076904297,0.1854027509689331,1,2,4.645697135998813,False,False,2,-98.59477233886719,99.72063446044922,0.17112350463867188,7198.465006748985,2708.36162169245,297.10493087768555,277.0061829447837,-20.09874793290186,0,1
66,0,2,2,-190.0,190.0,-190.5077362060547,194.53248596191406,0.18694166839122772,-190.5077362060547,194.53248596191406,0.18694166839122772,1,2,4.5608360033974975,False,False,2,-98.59342193603516,99.71332550048828,0.1706751137971878,7019.426280711232,2842.5005706627385,295.08860778808594,276.3917160282841,-18.696891759801815,0,1
67,0,2,2,-190.0,190.0,-190.4481964111328,194.4482879638672,0.18843671679496765,-190.4481964111328,194.4482879638672,0.18843671679496765,1,2,4.470810422332625,False,False,2,-98.5922622680664,99.70597839355469,0.17039380967617035,6838.637265657716,2958.362236821852,293.12255096435547,275.7535367063634,-17.36901425799209,0,1
68,0,2,2,-190.0,190.0,-190.38858032226562,194.35877990722656,0.18969133496284485,-190.38858032226562,194.35877990722656,0.18969133496284485,1,2,4.376066378209322,False,False,2,-98.59130859375,99.69860076904297,0.17020484805107117,6656.625897385802,3057.3725790439207,291.20548248291016,275.0943868157659,-16.11109566714424,0,1
69,0,2,2,-190.0,190.0,-190.329345703125,194.26429748535156,0.19082176685333252,-190.329345703125,194.26429748535156,0.19082176685333252,1,2,4.276996800997466,False,False,2,-98.5905532836914,99.69119262695312,0.17021732032299042,6473.892128851581,3140.781927693459,289.3361511230469,274.4163739997374,-14.919777123309473,0,1
70,0,2,2,-190.0,190.0,-190.27093505859375,194.16517639160156,0.19169659912586212,-190.27093505859375,194.16517639160156,0.19169659912586212,1,2,4.173978938510617,False,False,2,-98.59000396728516,99.68375396728516,0.17047059535980225,6290.875525861489,3209.7959203496703,287.51334381103516,273.72171430012423,-13.791629510910923,0,1
71,0,2,2,-190.0,190.0,-190.2136993408203,194.0617218017578,0.19237303733825684,-190.2136993408203,194.0617218017578,0.19237303733825684,1,2,4.067339597715166,False,False,2,-98.58966064453125,99.67630767822266,0.17100004851818085,6108.021122296216,3265.4147743314124,285.7358932495117,273.0117255498649,-12.724167699646841,0,1
72,0,2,2,-190.0,190.0,-190.15798950195312,193.95423889160156,0.19296029210090637,-190.15798950195312,193.95423889160156,0.19296029210090637,1,2,3.9573938260655526,False,False,2,-98.58952331542969,99.66885375976562,0.17177870869636536,5925.7051069634435,3308.6255291797916,284.0026626586914,272.28800527924744,-11.714657379443963,0,1
73,0,2,2,-190.0,190.0,-190.10406494140625,193.843017578125,0.19343812763690948,-190.10406494140625,193.843017578125,0.19343812763690948,1,2,3.844426305420306,False,False,2,-98.58959197998047,99.66139221191406,0.1727822721004486,5744.342246879844,3340.222607201088,282.3125305175781,271.5511313927262,-10.761399124851948,0,1
74,0,2,2,-190.0,190.0,-190.0522003173828,193.7283172607422,0.19378723204135895,-190.0522003173828,193.7283172607422,0.19378723204135895,1,2,3.7286826721890667,False,False,2,-98.58987426757812,99.65393829345703,0.17398880422115326,5564.243338400091,3360.993807527462,280.6644058227539,270.8021480623492,-9.862257760404702,0,1
75,0,2,2,-190.0,190.0,-190.0026092529297,193.61041259765625,0.19422434270381927,-190.0026092529297,193.61041259765625,0.19422434270381927,1,2,3.6104135405124715,False,False,2,-98.59036254882812,99.64649963378906,0.17526094615459442,5385.765907201898,3371.605499405672,279.05725860595703,270.04140777556074,-9.015850830396289,0,1
76,0,2,2,-190.0,190.0,-189.95545959472656,193.48956298828125,0.19494333863258362,-189.95545959472656,193.48956298828125,0.19494333863258362,1,2,3.4898472311670448,False,False,2,-98.591064453125,99.63907623291016,0.17647506296634674,5209.275687752374,3372.6149312502607,277.4900436401367,269.2687225663183,-8.221321073818444,0,1
77,0,2,2,-190.0,190.0,-189.9109344482422,193.36598205566406,0.19611756503582,-189.9109344482422,193.36598205566406,0.19611756503582,1,2,3.3671602087756964,False,False,2,-98.59197998046875,99.63168334960938,0.1775786131620407,5035.040213843694,3364.5528882226217,275.9617691040039,268.4842789877396,-7.477490116264335,0,1
78,0,2,2,-190.0,190.0,-189.86915588378906,193.2399139404297,0.19772551953792572,-189.86915588378906,193.2399139404297,0.19772551953792572,1,2,3.2425549377208167,False,False,2,-98.59310150146484,99.62432098388672,0.17846548557281494,4863.418473287208,3347.835363214618,274.4714660644531,267.68736327472885,-6.7841027897242725,0,1
79,0,2,2,-190.0,190.0,-189.8302459716797,193.11155700683594,0.19986429810523987,-189.8302459716797,193.11155700683594,0.19986429810523987,1,2,3.1161841147340428,False,False,2,-98.59442901611328,99.61700439453125,0.1790989339351654,4694.7118777344385,3322.8154853316037,273.01819610595703,266.87726851112063,-6.140927594836398,0,1
80,0,2,2,-190.0,190.0,-189.79428100585938,192.98114013671875,0.202326238155365,-189.79428100585938,192.98114013671875,0.202326238155365,1,2,2.988229713276026,False,False,2,-98.5959701538086,99.60973358154297,0.17944587767124176,4529.313852642279,3289.7514598309854,271.6010284423828,266.0524586336934,-5.548569808689422,0,1
81,0,2,2,-190.0,190.0,-189.76136779785156,192.84881591796875,0.20504099130630493,-189.76136779785156,192.84881591796875,0.20504099130630493,1,2,2.8587930079623365,False,False,2,-98.59770965576172,99.60250854492188,0.17959408462047577,4367.500408110015,3248.859731810776,270.2190704345703,265.21177437647606,-5.007296058094255,0,1
82,0,2,2,-190.0,190.0,-189.7315216064453,192.71481323242188,0.2078266143798828,-189.7315216064453,192.71481323242188,0.2078266143798828,1,2,2.72805636575541,False,False,2,-98.59965515136719,99.59535217285156,0.1795048862695694,4209.800046952599,3200.1810439358587,268.87145233154297,264.35216266052225,-4.519289671020715,0,1
83,0,2,2,-190.0,190.0,-189.70481872558594,192.5792694091797,0.21063591539859772,-189.70481872558594,192.5792694091797,0.21063591539859772,1,2,2.596105288676645,False,False,2,-98.60179901123047,99.58826446533203,0.17920228838920593,4056.5775650927408,3143.7448130808616,267.55731201171875,263.47126012956306,-4.086051882155687,0,1
84,0,2,2,-190.0,190.0,-189.68128967285156,192.44235229492188,0.21336661279201508,-189.68128967285156,192.44235229492188,0.21336661279201508,2,2,2.4630592776344655,True,False,2,-98.6041488647461,99.58124542236328,0.17870783805847168,3908.3681255427136,3079.424079795168,266.2758483886719,262.5653018829036,-3.7105465057682636,0,1
85,0,2,3,-185.0,190.0,-189.5358123779297,191.4942626953125,0.2021898776292801,-189.5358123779297,191.4942626953125,0.2021898776292801,2,2,4.77560623694864,False,False,3,-98.6419906616211,99.5106201171875,0.175270676612854,-8000.0,8000.0,254.11846923828125,341.76622426969027,87.64775503140902,0,1
86,0,2,3,-185.0,190.0,-189.52854919433594,191.45079040527344,0.20140233635902405,-189.52854919433594,191.45079040527344,0.20140233635902405,2,2,4.755265566249075,False,False,3,-98.64640808105469,99.50492095947266,0.17550577223300934,-8000.0,8000.0,253.30191802978516,342.236339998173,88.93442196838782,0,1
87,0,2,3,-185.0,190.0,-189.52195739746094,191.4116668701172,0.20112557709217072,-189.52195739746094,191.4116668701172,0.20112557709217072,2,2,4.737182924126759,False,False,3,-98.65097045898438,99.4993667602539,0.1757887750864029,-8000.0,8000.0,252.6362075805664,342.6626548252554,90.026447244689,0,1
88,0,2,3,-185.0,190.0,-189.51596069335938,191.37643432617188,0.2013087421655655,-189.51596069335938,191.37643432617188,0.2013087421655655,2,2,4.721066875000937,False,False,3,-98.6556625366211,99.49394989013672,0.17611466348171234,-8000.0,8000.0,252.1175994873047,343.04913258290986,90.93153309560518,0,1
89,0,2,3,-185.0,190.0,-189.51051330566406,191.3447265625,0.20184721052646637,-189.51051330566406,191.3447265625,0.20184721052646637,2,2,4.706699460180734,False,False,3,-98.66049194335938,99.48867797851562,0.17642009258270264,-8000.0,8000.0,251.742431640625,343.39901836368966,91.65658672306466,0,1
90,0,2,3,-185.0,190.0,-189.50555419921875,191.31617736816406,0.20276442170143127,-189.50555419921875,191.31617736816406,0.20276442170143127,2,2,4.693862109879773,False,False,3,-98.66544342041016,99.48355102539062,0.17664803564548492,-8000.0,8000.0,251.50714874267578,343.7156861976159,92.20853745494014,0,1
