step,target_waypoint_cell,target_waypoint_world,target_world_observed,target_cell_observed,target_distance_to_waypoint_m,target_ticks_this_step,target_proxy_agent_name,target_motion_source
38,"[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.1781858503818512]","[20, 25]",0.0789309917269701,10,target,holoocean_agent_proxy
39,"[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.17821551859378815]","[20, 25]",0.0789309917269701,10,target,holoocean_agent_proxy
40,"[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.17815418541431427]","[20, 25]",0.0789309917269701,10,target,holoocean_agent_proxy
41,"[25, 25]","[-75.0, 75.0]","[-74.8739013671875, 99.97834014892578, 0.17795081436634064]","[20, 25]",24.978658439969006,10,target,holoocean_agent_proxy
42,"[25, 25]","[-75.0, 75.0]","[-72.68325805664062, 91.13359069824219, 0.17475555837154388]","[22, 25]",16.299081018588975,10,target,holoocean_agent_proxy
43,"[25, 25]","[-75.0, 75.0]","[-74.1541748046875, 81.23177337646484, 0.1771453619003296]","[24, 25]",6.288912439893043,10,target,holoocean_agent_proxy
44,"[25, 25]","[-75.0, 75.0]","[-74.72015380859375, 77.0542984008789, 0.1783808022737503]","[25, 25]",2.0732717647954924,10,target,holoocean_agent_proxy
45,"[25, 25]","[-75.0, 75.0]","[-74.90296173095703, 75.71244049072266, 0.17817331850528717]","[25, 25]",0.7190186913286711,10,target,holoocean_agent_proxy
46,"[25, 25]","[-75.0, 75.0]","[-74.96162414550781, 75.28172302246094, 0.1781514286994934]","[25, 25]",0.2843247572627671,10,target,holoocean_agent_proxy
47,"[25, 25]","[-75.0, 75.0]","[-74.98045349121094, 75.14350891113281, 0.17815035581588745]","[25, 25]",0.1448339517529173,10,target,holoocean_agent_proxy
48,"[25, 25]","[-75.0, 75.0]","[-74.98649597167969, 75.09915924072266, 0.1781499683856964]","[25, 25]",0.10007454122587568,10,target,holoocean_agent_proxy
49,"[25, 25]","[-75.0, 75.0]","[-74.98843383789062, 75.08493041992188, 0.1781494915485382]","[25, 25]",0.08571436480571015,10,target,holoocean_agent_proxy
50,"[25, 25]","[-75.0, 75.0]","[-74.98905181884766, 75.08036041259766, 0.1781490445137024]","[25, 25]",0.08110276557189702,10,target,holoocean_agent_proxy
51,"[25, 25]","[-75.0, 75.0]","[-74.98925018310547, 75.07889556884766, 0.17814861238002777]","[25, 25]",0.07962455241356912,10,target,holoocean_agent_proxy
52,"[25, 25]","[-75.0, 75.0]","[-74.98931884765625, 75.07843017578125, 0.17814816534519196]","[25, 25]",0.07915415016578833,10,target,holoocean_agent_proxy
53,"[25, 25]","[-75.0, 75.0]","[-74.98933410644531, 75.07827758789062, 0.17822571098804474]","[25, 25]",0.0790008990537098,10,target,holoocean_agent_proxy
54,"[25, 25]","[-75.0, 75.0]","[-74.98934173583984, 75.07823181152344, 0.17802132666110992]","[25, 25]",0.07895451177194575,10,target,holoocean_agent_proxy
55,"[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07821655273438, 0.1780208796262741]","[25, 25]",0.07893836293311386,10,target,holoocean_agent_proxy
56,"[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07820892333984, 0.17814645171165466]","[25, 25]",0.07893080330826677,10,target,holoocean_agent_proxy
57,"[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07820892333984, 0.17815612256526947]","[25, 25]",0.07893080330826677,10,target,holoocean_agent_proxy
58,"[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07820892333984, 0.17814576625823975]","[25, 25]",0.07893080330826677,10,target,holoocean_agent_proxy
59,"[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07820892333984, 0.17816533148288727]","[25, 25]",0.07893080330826677,10,target,holoocean_agent_proxy
60,"[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07820892333984, 0.17812594771385193]","[25, 25]",0.07893080330826677,10,target,holoocean_agent_proxy
61,"[25, 30]","[-50.0, 75.0]","[-75.01685333251953, 74.8731689453125, 0.1792180985212326]","[25, 25]",25.01717483604467,10,target,holoocean_agent_proxy
62,"[25, 30]","[-50.0, 75.0]","[-67.08209228515625, 72.18399810791016, 0.17212657630443573]","[26, 27]",17.312646923415503,10,target,holoocean_agent_proxy
63,"[25, 30]","[-50.0, 75.0]","[-56.9093017578125, 73.92842102050781, 0.1776164025068283]","[25, 29]",6.9919047683589355,10,target,holoocean_agent_proxy
64,"[25, 30]","[-50.0, 75.0]","[-52.27191925048828, 74.64614868164062, 0.1785721480846405]","[25, 30]",2.2993102957721696,10,target,holoocean_agent_proxy
65,"[25, 30]","[-50.0, 75.0]","[-50.78216552734375, 74.8781967163086, 0.17820066213607788]","[25, 30]",0.7915926680325783,10,target,holoocean_agent_proxy
66,"[25, 30]","[-50.0, 75.0]","[-50.303951263427734, 74.95266723632812, 0.17803999781608582]","[25, 30]",0.3076146307575983,10,target,holoocean_agent_proxy
67,"[25, 30]","[-50.0, 75.0]","[-50.15049362182617, 74.9765625, 0.17814569175243378]","[25, 30]",0.15230773656189903,10,target,holoocean_agent_proxy
68,"[25, 30]","[-50.0, 75.0]","[-50.101253509521484, 74.9842300415039, 0.17814534902572632]","[25, 30]",0.1024742152025857,10,target,holoocean_agent_proxy
69,"[25, 30]","[-50.0, 75.0]","[-50.085453033447266, 74.9866943359375, 0.1781448870897293]","[25, 30]",0.08648272441062205,10,target,holoocean_agent_proxy
70,"[25, 30]","[-50.0, 75.0]","[-50.08038330078125, 74.98748016357422, 0.1781444400548935]","[25, 30]",0.08135245139894204,10,target,holoocean_agent_proxy
71,"[25, 30]","[-50.0, 75.0]","[-50.078758239746094, 74.98773956298828, 0.17814397811889648]","[25, 30]",0.0797068293411644,10,target,holoocean_agent_proxy
72,"[25, 30]","[-50.0, 75.0]","[-50.0782356262207, 74.9878158569336, 0.17814354598522186]","[25, 30]",0.07917870011820241,10,target,holoocean_agent_proxy
73,"[25, 30]","[-50.0, 75.0]","[-50.078067779541016, 74.98784637451172, 0.17814311385154724]","[25, 30]",0.07900815663571716,10,target,holoocean_agent_proxy
74,"[25, 30]","[-50.0, 75.0]","[-50.0780143737793, 74.98785400390625, 0.17814266681671143]","[25, 30]",0.07895421291663438,10,target,holoocean_agent_proxy
75,"[25, 30]","[-50.0, 75.0]","[-50.077999114990234, 74.98785400390625, 0.17815180122852325]","[25, 30]",0.07893913579694925,10,target,holoocean_agent_proxy
76,"[25, 30]","[-50.0, 75.0]","[-50.0779914855957, 74.98785400390625, 0.1781795769929886]","[25, 30]",0.07893159726328967,10,target,holoocean_agent_proxy
77,"[25, 30]","[-50.0, 75.0]","[-50.0779914855957, 74.98785400390625, 0.17808225750923157]","[25, 30]",0.07893159726328967,10,target,holoocean_agent_proxy
78,"[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.17818619310855865]","[25, 30]",0.07892782800300782,10,target,holoocean_agent_proxy
79,"[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.17815001308918]","[25, 30]",0.07892782800300782,10,target,holoocean_agent_proxy
80,"[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.17811235785484314]","[25, 30]",0.07892782800300782,10,target,holoocean_agent_proxy
81,"[30, 30]","[-50.0, 50.0]","[-49.87351608276367, 75.01927185058594, 0.17800694704055786]","[25, 30]",25.019591565707888,10,target,holoocean_agent_proxy
82,"[30, 30]","[-50.0, 50.0]","[-47.22356033325195, 66.8584213256836, 0.17289522290229797]","[27, 31]",17.085519799448754,10,target,holoocean_agent_proxy
83,"[30, 30]","[-50.0, 50.0]","[-48.96726608276367, 56.60712432861328, 0.178122878074646]","[29, 30]",6.687348595487138,10,target,holoocean_agent_proxy
84,"[30, 30]","[-50.0, 50.0]","[-49.65896224975586, 52.1748161315918, 0.17839878797531128]","[30, 30]",2.2013931846272925,10,target,holoocean_agent_proxy
85,"[30, 30]","[-50.0, 50.0]","[-49.88280487060547, 50.7474479675293, 0.1781332790851593]","[30, 30]",0.7565799115212337,10,target,holoocean_agent_proxy
86,"[30, 30]","[-50.0, 50.0]","[-49.9540901184082, 50.29280090332031, 0.1781093031167984]","[30, 30]",0.2963782822896506,10,target,holoocean_agent_proxy
87,"[30, 30]","[-50.0, 50.0]","[-49.97702407836914, 50.14654541015625, 0.17815984785556793]","[30, 30]",0.14833559995041964,10,target,holoocean_agent_proxy
88,"[30, 30]","[-50.0, 50.0]","[-49.98432540893555, 50.0999755859375, 0.1781812459230423]","[30, 30]",0.10119689021202322,10,target,holoocean_agent_proxy
89,"[30, 30]","[-50.0, 50.0]","[-49.986671447753906, 50.084999084472656, 0.17817236483097076]","[30, 30]",0.086037751401153,10,target,holoocean_agent_proxy
90,"[30, 30]","[-50.0, 50.0]","[-49.98741912841797, 50.080230712890625, 0.17812862992286682]","[30, 30]",0.08121111759298391,10,target,holoocean_agent_proxy
91,"[30, 30]","[-50.0, 50.0]","[-49.98766326904297, 50.078697204589844, 0.1781166046857834]","[30, 30]",0.07965830114283066,10,target,holoocean_agent_proxy
92,"[30, 30]","[-50.0, 50.0]","[-49.98773956298828, 50.07820129394531, 0.17814017832279205]","[30, 30]",0.07915655810126848,10,target,holoocean_agent_proxy
93,"[30, 30]","[-50.0, 50.0]","[-49.987762451171875, 50.07804870605469, 0.17813263833522797]","[30, 30]",0.07900226653794026,10,target,holoocean_agent_proxy
