tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step,target_proxy_x,target_proxy_y,target_proxy_z
1,0,1,2,-190.0,195.0,-193.84017944335938,194.94984436035156,-0.027564233168959618,-193.84017944335938,194.94984436035156,-0.027564233168959618,1,1,3.840506964632204,False,False,1,-99.05584716796875,99.9767074584961,-0.02215457335114479
2,0,1,2,-190.0,195.0,-193.7979736328125,194.9453887939453,0.0005764146917499602,-193.7979736328125,194.9453887939453,0.0005764146917499602,1,1,3.798366240815349,False,False,1,-99.03990936279297,99.9760971069336,0.009143293835222721
3,0,1,2,-190.0,195.0,-193.75819396972656,194.9410858154297,0.045256324112415314,-193.75819396972656,194.9410858154297,0.045256324112415314,1,1,3.758655716507257,False,False,1,-99.02503967285156,99.97552490234375,0.05648821219801903
4,0,1,2,-190.0,195.0,-193.7205810546875,194.9368896484375,0.09969950467348099,-193.7205810546875,194.9368896484375,0.09969950467348099,1,1,3.7211162708216863,False,False,1,-99.01111602783203,99.97498321533203,0.11250646412372589
5,0,1,2,-190.0,195.0,-193.68495178222656,194.93280029296875,0.15634500980377197,-193.68495178222656,194.93280029296875,0.15634500980377197,1,1,3.6855644666671896,False,False,1,-98.99803924560547,99.97444152832031,0.16962827742099762
6,0,1,2,-190.0,195.0,-193.65110778808594,194.9287567138672,0.20821799337863922,-193.65110778808594,194.9287567138672,0.20821799337863922,1,1,3.6518027994458833,False,False,1,-98.98572540283203,99.97389221191406,0.2203420102596283
7,0,1,2,-190.0,195.0,-193.61891174316406,194.9247589111328,0.24992388486862183,-193.61891174316406,194.9247589111328,0.24992388486862183,1,1,3.6196938304592385,False,False,1,-98.97409057617188,99.97332000732422,0.2598268687725067
8,0,1,2,-190.0,195.0,-193.5882110595703,194.9207763671875,0.27830928564071655,-193.5882110595703,194.9207763671875,0.27830928564071655,1,1,3.589085537016179,False,False,1,-98.96305847167969,99.97270965576172,0.28597480058670044
9,0,1,2,-190.0,195.0,-193.55885314941406,194.9168243408203,0.2940601110458374,-193.55885314941406,194.9168243408203,0.2940601110458374,1,1,3.5598249857787065,False,False,1,-98.95256805419922,99.97206115722656,0.29970821738243103
10,0,1,2,-190.0,195.0,-193.53073120117188,194.91285705566406,0.29843994975090027,-193.53073120117188,194.91285705566406,0.29843994975090027,1,1,3.5318064368926176,False,False,1,-98.94255828857422,99.97135925292969,0.30226874351501465
