step,robot_pos_before,sv_world_before,target_waypoint_cell,target_waypoint_world,target_world_current,target_cell_current,target_motion_ticks,target_distance_to_waypoint_m,segment_path,next_cell,next_cell_world,sv_final_world,sv_final_projected_cell,arrived,timeout,ticks,distance_to_next_cell_m,found_count_before,found_count_after,detected_count_this_step,found_mask,find_times,remaining_intensity_mass,search_info_map_peak,search_info_map_mean,replanned,replan_reason,committed_viewpoint,committed_anchor,anchor_source,target_cell_source,target_motion_source,target_motion_mode_for_policy,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,run_label,phase_note,world
11,"[2, 10]","[-147.49000549316406, 189.8180694580078]","[20, 20]","[-100.0, 100.0]","[-99.93032836914062, 99.96285247802734, 0.16222810745239258]","[20, 20]",10,0.07900058554577306,"[[2, 10], [2, 11], [2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 11]","[-145.0, 190.0]","[-147.49000549316406, 189.8180694580078, 0.17103277146816254]","[2, 11]",True,False,206,2.4966429616780963,0,0,0,[False],[None],0.9999999999999998,1.0,0.9274973198999391,True,commit_expired,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
12,"[2, 11]","[-142.4928741455078, 189.8142852783203]","[20, 20]","[-100.0, 100.0]","[-99.93034362792969, 99.96286010742188, 0.16222834587097168]","[20, 20]",10,0.07894942361285946,"[[2, 11], [2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 12]","[-140.0, 190.0]","[-142.4928741455078, 189.8142852783203, 0.1713043749332428]","[2, 12]",True,False,206,2.4997822831578493,0,0,0,[False],[None],1.0,1.0,0.928581891083643,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
13,"[2, 12]","[-137.4811248779297, 189.81158447265625]","[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.16232262551784515]","[20, 20]",10,0.07893910178556933,"[[2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 13]","[-135.0, 190.0]","[-137.4811248779297, 189.81158447265625, 0.17121370136737823]","[2, 13]",True,False,207,2.4882686894356545,0,0,0,[False],[None],1.0,1.0,0.9264517549639646,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
14,"[2, 13]","[-132.48977661132812, 189.8079071044922]","[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.16232284903526306]","[20, 20]",10,0.07893236964029306,"[[2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 14]","[-130.0, 190.0]","[-132.48977661132812, 189.8079071044922, 0.17128944396972656]","[2, 14]",True,False,206,2.497175855806142,0,0,0,[False],[None],0.9999999999999997,1.0,0.9226090393139152,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
15,"[2, 14]","[-127.47998046875, 189.80471801757812]","[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.1623685210943222]","[20, 20]",10,0.07893236964029306,"[[2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 15]","[-125.0, 190.0]","[-127.47998046875, 189.80471801757812, 0.17140211164951324]","[2, 15]",True,False,207,2.487657166500257,0,0,0,[False],[None],1.0000000000000002,1.0,0.9218036303260708,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
16,"[2, 15]","[-122.48928833007812, 189.80075073242188]","[20, 25]","[-75.0, 100.0]","[-96.3875503540039, 103.99662017822266, 0.16449405252933502]","[20, 20]",10,25.112774460544284,"[[2, 15], [2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 16]","[-120.0, 190.0]","[-122.48928833007812, 189.80075073242188, 0.17132516205310822]","[2, 16]",True,False,206,2.4972498194801336,0,0,0,[False],[None],1.0,1.0,0.9235901800390247,True,commit_expired,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
17,"[2, 16]","[-117.47970581054688, 189.79736328125]","[20, 25]","[-75.0, 100.0]","[-85.81189727783203, 101.80496215820312, 0.1623963713645935]","[19, 21]",10,21.26360292363618,"[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 17]","[-115.0, 190.0]","[-117.47970581054688, 189.79736328125, 0.17145177721977234]","[2, 17]",True,False,207,2.4879715727165577,0,0,0,[False],[None],0.9999999999999999,1.0,0.9108901784781901,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
18,"[2, 17]","[-112.48908233642578, 189.79319763183594]","[20, 25]","[-75.0, 100.0]","[-78.56478881835938, 100.60052490234375, 0.16325299441814423]","[20, 23]",10,10.462608685493064,"[[2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 18]","[-110.0, 190.0]","[-112.48908233642578, 189.79319763183594, 0.1713300496339798]","[2, 18]",True,False,206,2.4976585228940107,0,0,0,[False],[None],1.0,1.0,0.920246278953532,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
19,"[2, 18]","[-107.47950744628906, 189.78961181640625]","[20, 25]","[-75.0, 100.0]","[-76.19134521484375, 100.20062255859375, 0.16222454607486725]","[20, 24]",10,3.433858394256467,"[[2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 19]","[-105.0, 190.0]","[-107.47950744628906, 189.78961181640625, 0.17140386998653412]","[2, 19]",True,False,207,2.4884172407373297,0,0,0,[False],[None],1.0,1.0,0.9195035346084752,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
20,"[2, 19]","[-102.4888916015625, 189.78524780273438]","[20, 25]","[-75.0, 100.0]","[-75.43516540527344, 100.07328033447266, 0.1623280793428421]","[20, 25]",10,1.1502401584894029,"[[2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 20]","[-100.0, 190.0]","[-102.4888916015625, 189.78524780273438, 0.17155438661575317]","[2, 20]",True,False,206,2.4981392896631607,0,0,0,[False],[None],0.9999999999999996,1.0,0.9187470718235158,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
