step,robot_pos_before,sv_world_before,target_waypoint_cell,target_waypoint_world,target_world_current,target_cell_current,target_motion_ticks,target_distance_to_waypoint_m,segment_path,next_cell,next_cell_world,sv_final_world,sv_final_projected_cell,arrived,timeout,ticks,distance_to_next_cell_m,found_count_before,found_count_after,detected_count_this_step,found_mask,find_times,remaining_intensity_mass,search_info_map_peak,search_info_map_mean,replanned,replan_reason,committed_viewpoint,committed_anchor,anchor_source,target_cell_source,target_motion_source,target_motion_mode_for_policy,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,run_label,phase_note,world
11,"[2, 10]","[-147.49000549316406, 189.8180694580078]","[20, 20]","[-100.0, 100.0]","[-99.93032836914062, 99.96285247802734, 0.1781470626592636]","[20, 20]",10,0.07900058554577306,"[[2, 10], [2, 11], [2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 11]","[-145.0, 190.0]","[-147.49000549316406, 189.8180694580078, 0.1663600504398346]","[2, 11]",True,False,206,2.4966429616780963,0,0,0,[False],[None],0.9999999999999998,1.0,0.9274973198999391,True,commit_expired,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
12,"[2, 11]","[-142.4928741455078, 189.8142852783203]","[20, 20]","[-100.0, 100.0]","[-99.93034362792969, 99.96286010742188, 0.17816103994846344]","[20, 20]",10,0.07894942361285946,"[[2, 11], [2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 12]","[-140.0, 190.0]","[-142.4928741455078, 189.8142852783203, 0.16620764136314392]","[2, 12]",True,False,206,2.4997822831578493,0,0,0,[False],[None],1.0,1.0,0.928581891083643,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
13,"[2, 12]","[-137.4811248779297, 189.81158447265625]","[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.17807890474796295]","[20, 20]",10,0.07893910178556933,"[[2, 12], [2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 13]","[-135.0, 190.0]","[-137.4811248779297, 189.81158447265625, 0.16623732447624207]","[2, 13]",True,False,207,2.4882686894356545,0,0,0,[False],[None],1.0,1.0,0.9264517549639646,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
14,"[2, 13]","[-132.48977661132812, 189.8079071044922]","[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.1781487911939621]","[20, 20]",10,0.07893236964029306,"[[2, 13], [2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 14]","[-130.0, 190.0]","[-132.48977661132812, 189.8079071044922, 0.16612330079078674]","[2, 14]",True,False,206,2.497175855806142,0,0,0,[False],[None],0.9999999999999997,1.0,0.9226090393139152,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
15,"[2, 14]","[-127.47998046875, 189.80471801757812]","[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.17819668352603912]","[20, 20]",10,0.07893236964029306,"[[2, 14], [2, 15], [2, 16], [2, 17], [2, 18]]","[2, 15]","[-125.0, 190.0]","[-127.47998046875, 189.80471801757812, 0.16615037620067596]","[2, 15]",True,False,207,2.487657166500257,0,0,0,[False],[None],1.0000000000000002,1.0,0.9218036303260708,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
16,"[2, 15]","[-122.48928833007812, 189.80075073242188]","[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.17811742424964905]","[20, 20]",10,0.07893236964029306,"[[2, 15], [2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 16]","[-120.0, 190.0]","[-122.48928833007812, 189.80075073242188, 0.1662156879901886]","[2, 16]",True,False,206,2.4972498194801336,0,0,0,[False],[None],1.0,1.0,0.9235901800390247,True,commit_expired,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
17,"[2, 16]","[-117.47970581054688, 189.79736328125]","[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.17812512814998627]","[20, 20]",10,0.07893236964029306,"[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 17]","[-115.0, 190.0]","[-117.47970581054688, 189.79736328125, 0.16614441573619843]","[2, 17]",True,False,207,2.4879715727165577,0,0,0,[False],[None],0.9999999999999999,1.0,0.9115292277045941,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
18,"[2, 17]","[-112.48908233642578, 189.79319763183594]","[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.17812463641166687]","[20, 20]",10,0.07893236964029306,"[[2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 18]","[-110.0, 190.0]","[-112.48908233642578, 189.79319763183594, 0.16576896607875824]","[2, 18]",True,False,206,2.4976585228940107,0,0,0,[False],[None],1.0,1.0,0.9202764247229253,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
19,"[2, 18]","[-107.47950744628906, 189.78961181640625]","[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.17817091941833496]","[20, 20]",10,0.07893236964029306,"[[2, 18], [2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 19]","[-105.0, 190.0]","[-107.47950744628906, 189.78961181640625, 0.1660037487745285]","[2, 19]",True,False,207,2.4884172407373297,0,0,0,[False],[None],1.0,1.0,0.9195789627536819,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
20,"[2, 19]","[-102.4888916015625, 189.78524780273438]","[20, 20]","[-100.0, 100.0]","[-99.93035125732422, 99.96286010742188, 0.1781502068042755]","[20, 20]",10,0.07893236964029306,"[[2, 19], [2, 20], [2, 21], [2, 22], [2, 23]]","[2, 20]","[-100.0, 190.0]","[-102.4888916015625, 189.78524780273438, 0.1658654659986496]","[2, 20]",True,False,206,2.4981392896631607,0,0,0,[False],[None],0.9999999999999996,1.0,0.9188686574472035,False,none,"[39, 39]","[42, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
21,"[2, 20]","[-97.47931671142578, 189.78152465820312]","[20, 25]","[-75.0, 100.0]","[-96.33975982666016, 103.98208618164062, 0.17158599197864532]","[20, 20]",10,25.112774460544284,"[[2, 20], [2, 21], [2, 22], [2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 21]","[-95.0, 190.0]","[-97.47931671142578, 189.78152465820312, 0.16581329703330994]","[2, 21]",True,False,207,2.4889240306864355,0,0,0,[False],[None],0.9999999999999997,1.0,0.9168780087663982,True,commit_expired,"[39, 40]","[42, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
22,"[2, 21]","[-92.48869323730469, 189.77767944335938]","[20, 25]","[-75.0, 100.0]","[-85.81163787841797, 101.804931640625, 0.17813080549240112]","[19, 21]",10,21.213940472974375,"[[2, 21], [2, 22], [2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 22]","[-90.0, 190.0]","[-92.48869323730469, 189.77767944335938, 0.16563886404037476]","[2, 22]",True,False,206,2.498603701932558,0,0,0,[False],[None],1.0000000000000004,1.0,0.9093758938460721,False,none,"[39, 40]","[42, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
23,"[2, 22]","[-87.47913360595703, 189.77532958984375]","[20, 25]","[-75.0, 100.0]","[-78.5464096069336, 100.59742736816406, 0.17865073680877686]","[20, 23]",10,10.462347804873854,"[[2, 22], [2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 23]","[-85.0, 190.0]","[-87.47913360595703, 189.77532958984375, 0.16579215228557587]","[2, 23]",True,False,207,2.4892931184144005,0,0,0,[False],[None],1.0,1.0,0.9158708000676463,False,none,"[39, 40]","[42, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
24,"[2, 23]","[-82.4885482788086, 189.77304077148438]","[20, 25]","[-75.0, 100.0]","[-76.19131469726562, 100.20061492919922, 0.17806361615657806]","[20, 24]",10,3.416171981623448,"[[2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 24]","[-80.0, 190.0]","[-82.4885482788086, 189.77304077148438, 0.165675550699234]","[2, 24]",True,False,206,2.498876352957389,0,0,0,[False],[None],1.0000000000000002,1.0,0.910865308274265,False,none,"[39, 40]","[42, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
25,"[2, 24]","[-77.4790267944336, 189.77210998535156]","[20, 25]","[-75.0, 100.0]","[-75.43328094482422, 100.07296752929688, 0.17818355560302734]","[20, 25]",10,1.150208797691973,"[[2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 25]","[-75.0, 190.0]","[-77.4790267944336, 189.77210998535156, 0.16582083702087402]","[2, 25]",True,False,207,2.4894794046740305,0,0,0,[False],[None],0.9999999999999997,1.0,0.9133467263332238,False,none,"[39, 40]","[42, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
26,"[2, 25]","[-72.48847198486328, 189.77122497558594]","[20, 25]","[-75.0, 100.0]","[-75.19188690185547, 100.03231048583984, 0.17802372574806213]","[20, 25]",10,0.4208979742845301,"[[2, 25], [2, 26], [2, 27], [2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 26]","[-70.0, 190.0]","[-72.48847198486328, 189.77122497558594, 0.16575084626674652]","[2, 26]",True,False,206,2.4989659523981222,0,0,0,[False],[None],1.0,1.0,0.8936534542674781,True,commit_expired,"[40, 40]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
27,"[2, 26]","[-67.4789810180664, 189.7715301513672]","[20, 25]","[-75.0, 100.0]","[-75.1142349243164, 100.01923370361328, 0.17807646095752716]","[20, 25]",10,0.18865422352364666,"[[2, 26], [2, 27], [2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 27]","[-65.0, 190.0]","[-67.4789810180664, 189.7715301513672, 0.16555874049663544]","[2, 27]",True,False,207,2.4894869671616795,0,0,0,[False],[None],1.0000000000000004,1.0,0.9127884777724526,False,none,"[40, 40]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
28,"[2, 27]","[-62.48845291137695, 189.77122497558594]","[20, 25]","[-75.0, 100.0]","[-75.08951568603516, 100.01507568359375, 0.17812755703926086]","[20, 25]",10,0.1139476021061588,"[[2, 27], [2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 28]","[-60.0, 190.0]","[-62.48845291137695, 189.77122497558594, 0.16554266214370728]","[2, 28]",True,False,206,2.4989469590081517,0,0,0,[False],[None],1.0,1.0,0.8847490262626985,False,none,"[40, 40]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
29,"[2, 28]","[-57.478973388671875, 189.77151489257812]","[20, 25]","[-75.0, 100.0]","[-75.08155822753906, 100.01373291015625, 0.178110733628273]","[20, 25]",10,0.09016546312072188,"[[2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 29]","[-55.0, 190.0]","[-57.478973388671875, 189.77151489257812, 0.16572929918766022]","[2, 29]",True,False,207,2.489480770372992,0,0,0,[False],[None],1.0,1.0,0.8908102902774552,False,none,"[40, 40]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
30,"[2, 29]","[-52.48845291137695, 189.77122497558594]","[20, 25]","[-75.0, 100.0]","[-75.07903289794922, 100.0133056640625, 0.1781739741563797]","[20, 25]",10,0.08251317729131735,"[[2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 30]","[-50.0, 190.0]","[-52.48845291137695, 189.77122497558594, 0.1655014008283615]","[2, 30]",True,False,206,2.4989469590081517,0,0,0,[False],[None],0.9999999999999996,1.0,0.90199077988347,False,none,"[40, 40]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
31,"[2, 30]","[-47.47896957397461, 189.77151489257812]","[20, 25]","[-75.0, 100.0]","[-75.07821655273438, 100.01316833496094, 0.17817994952201843]","[20, 25]",10,0.08007613803270866,"[[2, 30], [2, 31], [2, 32], [2, 33], [2, 34], [2, 35], [2, 36], [2, 37], [2, 38]]","[2, 31]","[-45.0, 190.0]","[-47.47896957397461, 189.77151489257812, 0.16561371088027954]","[2, 31]",True,False,207,2.4894769717764897,0,0,0,[False],[None],1.0000000000000002,1.0,0.8986909063319158,True,commit_expired,"[41, 39]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
32,"[2, 31]","[-42.48845291137695, 189.77122497558594]","[20, 25]","[-75.0, 100.0]","[-75.07795715332031, 100.01313018798828, 0.1781201809644699]","[20, 25]",10,0.07929473009931715,"[[2, 31], [2, 32], [2, 33], [2, 34], [2, 35], [2, 36], [2, 37], [2, 38]]","[2, 32]","[-40.0, 190.0]","[-42.48845291137695, 189.77122497558594, 0.16556797921657562]","[2, 32]",True,False,206,2.4989469590081517,0,0,0,[False],[None],1.0,1.0,0.9098602316546857,False,none,"[41, 39]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
33,"[2, 32]","[-37.47896957397461, 189.77151489257812]","[20, 25]","[-75.0, 100.0]","[-75.07787322998047, 100.01311492919922, 0.17814701795578003]","[20, 25]",10,0.07904764460035194,"[[2, 32], [2, 33], [2, 34], [2, 35], [2, 36], [2, 37], [2, 38]]","[2, 33]","[-35.0, 190.0]","[-37.47896957397461, 189.77151489257812, 0.16575483977794647]","[2, 33]",True,False,207,2.4894769717764897,0,0,0,[False],[None],0.9999999999999999,1.0,0.8760650341780748,False,none,"[41, 39]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
34,"[2, 33]","[-32.48845291137695, 189.77122497558594]","[20, 25]","[-75.0, 100.0]","[-75.07784271240234, 100.01310729980469, 0.17802035808563232]","[20, 25]",10,0.0789698760002287,"[[2, 33], [2, 34], [2, 35], [2, 36], [2, 37], [2, 38]]","[2, 34]","[-30.0, 190.0]","[-32.48845291137695, 189.77122497558594, 0.16564275324344635]","[2, 34]",True,False,206,2.4989469590081517,0,0,0,[False],[None],1.0000000000000004,1.0,0.8735838644612602,False,none,"[41, 39]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
