step,target_waypoint_cell,target_waypoint_world,target_world_observed,target_cell_observed,target_distance_to_waypoint_m,target_ticks_this_step,target_proxy_agent_name,target_motion_source
38,"[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.16133008897304535]","[20, 25]",0.0789309917269701,10,target,holoocean_agent_proxy
39,"[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.16129319369792938]","[20, 25]",0.0789309917269701,10,target,holoocean_agent_proxy
40,"[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.16131600737571716]","[20, 25]",0.0789309917269701,10,target,holoocean_agent_proxy
41,"[25, 25]","[-75.0, 75.0]","[-74.8739013671875, 99.97834014892578, 0.161069855093956]","[20, 25]",24.978658439969006,10,target,holoocean_agent_proxy
42,"[25, 25]","[-75.0, 75.0]","[-72.68326568603516, 91.13359832763672, 0.16672095656394958]","[22, 25]",16.299087486084137,10,target,holoocean_agent_proxy
43,"[25, 25]","[-75.0, 75.0]","[-74.15418243408203, 81.23176574707031, 0.1608058214187622]","[24, 25]",6.288903853707274,10,target,holoocean_agent_proxy
44,"[25, 25]","[-75.0, 75.0]","[-74.72015380859375, 77.0542984008789, 0.16071771085262299]","[25, 25]",2.0732717647954924,10,target,holoocean_agent_proxy
45,"[25, 25]","[-75.0, 75.0]","[-74.90296173095703, 75.71244049072266, 0.16120846569538116]","[25, 25]",0.7190186913286711,10,target,holoocean_agent_proxy
46,"[25, 25]","[-75.0, 75.0]","[-74.96162414550781, 75.28172302246094, 0.16131821274757385]","[25, 25]",0.2843247572627671,10,target,holoocean_agent_proxy
47,"[25, 25]","[-75.0, 75.0]","[-74.98045349121094, 75.14350891113281, 0.16126365959644318]","[25, 25]",0.1448339517529173,10,target,holoocean_agent_proxy
48,"[25, 25]","[-75.0, 75.0]","[-74.98649597167969, 75.09915924072266, 0.16132256388664246]","[25, 25]",0.10007454122587568,10,target,holoocean_agent_proxy
49,"[25, 25]","[-75.0, 75.0]","[-74.98843383789062, 75.08493041992188, 0.16132952272891998]","[25, 25]",0.08571436480571015,10,target,holoocean_agent_proxy
50,"[25, 25]","[-75.0, 75.0]","[-74.98905181884766, 75.08036041259766, 0.1613570600748062]","[25, 25]",0.08110276557189702,10,target,holoocean_agent_proxy
